Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.0332,2.55,0.138,0.492
0.101,0.03315,2.55,0.138,0.492
0.201,0.03315,2.55,0.138,0.492
0.3,0.0332,2.55,0.138,0.492
0.4,0.0332,2.55,0.138,0.492
0.5,0.0332,2.55,0.138,0.492
0.6,0.0332,2.55,0.138,0.492
0.7,0.0332,2.55,0.138,0.492
0.8,0.03315,2.55,0.138,0.492
0.901,0.03305,2.5485,0.138,0.4905
1.001,0.0331,2.5485,0.138,0.4905
1.101,0.03305,2.5485,0.138,0.4905
1.201,0.03305,2.5485,0.138,0.4905
1.3,0.03315,2.5485,0.138,0.492
1.4,0.03315,2.5485,0.138,0.492
1.501,0.03305,2.5485,0.138,0.492
1.6,0.03315,2.5485,0.138,0.492
1.701,0.0332,2.5485,0.138,0.4935
1.8,0.0332,2.5485,0.138,0.495
1.9,0.03315,2.5485,0.138,0.495
2.001,0.03315,2.55,0.138,0.4965
2.1,0.0332,2.55,0.138,0.498
2.201,0.03315,2.55,0.138,0.498
2.301,0.03315,2.55,0.138,0.4995
2.4,0.0331,2.5515,0.138,0.501
2.5,0.03315,2.5515,0.138,0.501
2.601,0.0331,2.553,0.138,0.5025
2.701,0.03315,2.553,0.138,0.504
2.801,0.03315,2.553,0.138,0.5055
2.9,0.0331,2.5545,0.138,0.507
3.001,0.033,2.5545,0.138,0.5085
3.101,0.033,2.556,0.138,0.51
3.201,0.0331,2.556,0.138,0.51
3.3,0.0331,2.5575,0.138,0.5115
3.401,0.03295,2.559,0.138,0.513
3.501,0.033,2.559,0.138,0.5145
3.6,0.03305,2.5605,0.138,0.516
3.7,0.0331,2.562,0.138,0.5175
3.801,0.033,2.562,0.138,0.519
3.9,0.0331,2.5635,0.138,0.519
4.001,0.0331,2.565,0.138,0.5205
4.1,0.03315,2.5665,0.138,0.522
4.2,0.03315,2.5665,0.138,0.5235
4.3,0.03305,2.568,0.138,0.525
4.401,0.03305,2.5695,0.138,0.5265
4.5,0.03315,2.571,0.138,0.528
4.6,0.03305,2.5725,0.138,0.528
4.701,0.03305,2.5725,0.138,0.5295
4.8,0.03305,2.574,0.138,0.531
4.9,0.033,2.5755,0.138,0.5325
5.001,0.033,2.577,0.138,0.534
5.1,0.033,2.5785,0.138,0.5355
5.2,0.033,2.58,0.138,0.537
5.3,0.033,2.58,0.138,0.537
5.4,0.033,2.5815,0.138,0.54
5.5,0.033,2.583,0.138,0.54
5.601,0.03315,2.5845,0.138,0.543
5.7,0.033,2.586,0.138,0.543
5.801,0.03295,2.5875,0.138,0.5445
5.901,0.033,2.589,0.138,0.546
6.001,0.03295,2.5905,0.138,0.5475
