Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.033,2.5845,0.138,0.5235
0.1,0.033,2.5845,0.138,0.5235
0.2,0.03305,2.5845,0.138,0.522
0.3,0.03305,2.5845,0.138,0.522
0.401,0.03305,2.5845,0.138,0.5235
0.5,0.03305,2.5845,0.138,0.522
0.601,0.033,2.5845,0.138,0.5235
0.7,0.03305,2.5845,0.138,0.5235
0.8,0.03305,2.583,0.138,0.522
0.901,0.033,2.583,0.138,0.522
1.001,0.033,2.583,0.138,0.522
1.1,0.0331,2.583,0.138,0.522
1.2,0.033,2.583,0.138,0.5235
1.301,0.033,2.583,0.138,0.5235
1.4,0.0331,2.583,0.138,0.5235
1.501,0.033,2.583,0.138,0.525
1.6,0.0331,2.583,0.138,0.525
1.701,0.033,2.583,0.138,0.5265
1.8,0.0331,2.583,0.138,0.5265
1.9,0.03315,2.5845,0.138,0.528
2,0.03315,2.5845,0.138,0.528
2.1,0.03315,2.5845,0.138,0.5295
2.201,0.03305,2.5845,0.138,0.531
2.3,0.03315,2.586,0.138,0.531
2.401,0.03305,2.586,0.138,0.5325
2.5,0.03315,2.586,0.138,0.534
2.6,0.0332,2.5875,0.138,0.5355
2.7,0.03315,2.5875,0.138,0.537
2.801,0.03305,2.589,0.138,0.537
2.9,0.0332,2.589,0.138,0.5385
3,0.03315,2.589,0.138,0.54
3.1,0.0332,2.5905,0.138,0.5415
3.2,0.0332,2.592,0.138,0.543
3.3,0.03315,2.592,0.138,0.5445
3.4,0.0332,2.5935,0.138,0.546
3.5,0.0332,2.5935,0.138,0.546
3.6,0.0332,2.595,0.138,0.5475
3.7,0.0332,2.595,0.138,0.549
3.8,0.0332,2.5965,0.138,0.5505
3.9,0.0332,2.5965,0.138,0.552
3.999,0.0332,2.598,0.138,0.5535
4.1,0.0332,2.5995,0.138,0.555
4.2,0.03315,2.5995,0.138,0.555
4.3,0.0332,2.601,0.138,0.5565
4.401,0.03315,2.6025,0.138,0.558
4.501,0.03315,2.6025,0.138,0.5595
4.6,0.0332,2.604,0.1365,0.561
4.7,0.03325,2.6055,0.138,0.5625
4.801,0.0332,2.607,0.138,0.564
4.9,0.03325,2.607,0.138,0.5655
4.999,0.03325,2.6085,0.138,0.567
5.1,0.03325,2.61,0.1365,0.567
5.2,0.0332,2.61,0.138,0.5685
5.3,0.03315,2.6115,0.1365,0.57
5.4,0.03325,2.613,0.1365,0.5715
5.501,0.0332,2.613,0.1365,0.573
5.6,0.03325,2.6145,0.1365,0.5745
5.7,0.03325,2.616,0.1365,0.576
5.8,0.03325,2.616,0.1365,0.576
5.901,0.0332,2.6175,0.1365,0.5775
6,0.03325,2.619,0.1365,0.579
6.101,0.03325,2.619,0.1365,0.5805
6.2,0.0333,2.6205,0.1365,0.582
6.3,0.03325,2.622,0.1365,0.582
6.4,0.03325,2.622,0.1365,0.5835
6.5,0.03325,2.6235,0.1365,0.585
6.601,0.0332,2.625,0.1365,0.5865
6.7,0.0333,2.625,0.1365,0.588
6.8,0.03325,2.6265,0.1365,0.5895
6.9,0.03325,2.628,0.1365,0.591
7,0.03325,2.628,0.1365,0.5925
7.1,0.03325,2.6295,0.1365,0.5925
7.199,0.0332,2.631,0.1365,0.5955
7.3,0.03325,2.631,0.1365,0.5955
7.4,0.0333,2.6325,0.1365,0.597
7.5,0.03325,2.634,0.1365,0.5985
7.6,0.03325,2.634,0.1365,0.6
7.7,0.03325,2.6355,0.1365,0.6015
7.8,0.03325,2.6355,0.135,0.603
7.899,0.03315,2.637,0.135,0.6045
8,0.03325,2.637,0.135,0.6045
