Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.0171,1.326,0.0705,0.498
0.1,0.0172,1.326,0.0705,0.498
0.201,0.01725,1.326,0.0705,0.4965
0.3,0.01715,1.326,0.0705,0.498
0.4,0.01715,1.326,0.0705,0.4965
0.5,0.01715,1.326,0.0705,0.4965
0.6,0.01715,1.326,0.0705,0.4965
0.7,0.01715,1.323,0.0555,0.4965
0.8,0.0171,1.326,0.0675,0.4965
0.9,0.0171,1.3245,0.069,0.4965
1.001,0.01725,1.3245,0.0645,0.4965
1.101,0.01725,1.323,0.0615,0.4965
1.2,0.0171,1.323,0.06,0.4965
1.301,0.01725,1.323,0.057,0.4965
1.4,0.0171,1.323,0.0555,0.498
1.5,0.0171,1.3215,0.0555,0.498
1.599,0.0171,1.3215,0.0555,0.498
1.7,0.0171,1.3215,0.0555,0.4995
1.8,0.0171,1.3215,0.0555,0.4995
1.9,0.0171,1.323,0.054,0.501
2,0.0172,1.323,0.054,0.5025
2.1,0.0171,1.323,0.054,0.5025
2.2,0.0171,1.323,0.0555,0.504
2.301,0.01725,1.323,0.0555,0.504
2.401,0.01725,1.323,0.0555,0.5055
2.5,0.0171,1.323,0.0555,0.507
2.6,0.0171,1.323,0.0555,0.5085
2.7,0.0172,1.3245,0.0555,0.51
2.8,0.0171,1.3245,0.057,0.5115
2.901,0.0171,1.3275,0.0705,0.5115
3,0.0171,1.329,0.0705,0.513
3.1,0.0171,1.329,0.0705,0.5145
3.201,0.01725,1.329,0.0705,0.516
3.306,0.01735,1.3305,0.0705,0.513
3.4,0.0171,1.3305,0.0705,0.519
3.5,0.0171,1.3305,0.0705,0.5205
3.601,0.0172,1.3305,0.0705,0.5205
3.7,0.0172,1.332,0.0705,0.522
3.799,0.01725,1.332,0.0705,0.525
3.9,0.0172,1.3335,0.0705,0.525
4,0.01715,1.3335,0.0705,0.5265
4.1,0.0172,1.3335,0.0705,0.528
4.201,0.01715,1.335,0.0705,0.528
4.3,0.01715,1.335,0.0705,0.5295
4.4,0.01715,1.3365,0.0705,0.531
4.501,0.01715,1.3365,0.0705,0.5325
4.6,0.01715,1.3365,0.0705,0.534
4.701,0.01725,1.338,0.0705,0.534
4.802,0.0171,1.338,0.0705,0.537
4.9,0.0171,1.3395,0.0705,0.537
5.001,0.0171,1.3395,0.0705,0.5385
5.1,0.0171,1.341,0.0705,0.54
5.2,0.01725,1.341,0.0705,0.54
5.301,0.0171,1.341,0.0705,0.543
5.401,0.0171,1.3425,0.0705,0.5445
5.5,0.01705,1.3425,0.0705,0.546
5.6,0.0172,1.344,0.0705,0.5475
5.701,0.01705,1.344,0.0705,0.549
5.801,0.0171,1.3455,0.0705,0.5505
5.901,0.0171,1.3455,0.0705,0.5505
6.001,0.01725,1.3455,0.0705,0.552
6.101,0.0171,1.347,0.0705,0.5535
6.201,0.0171,1.347,0.0705,0.555
6.3,0.0172,1.3485,0.0705,0.5565
6.401,0.01725,1.3485,0.0705,0.558
6.511,0.01725,1.35,0.0705,0.5565
6.6,0.0171,1.35,0.0705,0.561
6.7,0.0172,1.35,0.0705,0.5625
6.8,0.0172,1.3515,0.0705,0.564
6.9,0.01725,1.3515,0.0705,0.564
7,0.01725,1.353,0.0705,0.5655
7.101,0.0171,1.353,0.0705,0.567
7.2,0.01715,1.3545,0.0705,0.5685
7.3,0.0171,1.3545,0.0705,0.57
7.4,0.01725,1.3545,0.0705,0.5715
7.5,0.01725,1.356,0.0705,0.573
7.6,0.01725,1.356,0.0705,0.5745
7.7,0.01725,1.3575,0.069,0.576
7.8,0.01725,1.3575,0.0705,0.576
7.899,0.0173,1.359,0.069,0.5775
8,0.01725,1.359,0.0705,0.579
8.1,0.01725,1.359,0.0705,0.5805
8.201,0.0171,1.359,0.0705,0.5805
8.3,0.0173,1.3605,0.069,0.582
8.4,0.01725,1.3605,0.0705,0.5835
8.501,0.0172,1.362,0.0705,0.585
8.6,0.01725,1.362,0.069,0.5865
8.7,0.0173,1.3635,0.069,0.588
8.802,0.01725,1.3635,0.069,0.588
8.9,0.0173,1.3635,0.069,0.5895
9.001,0.0172,1.365,0.069,0.5925
9.1,0.0173,1.365,0.069,0.5925
9.2,0.0173,1.365,0.069,0.594
9.299,0.0173,1.3665,0.069,0.5955
9.4,0.01725,1.3665,0.069,0.597
9.5,0.01725,1.3665,0.069,0.5985
9.6,0.0173,1.368,0.069,0.6
9.7,0.0173,1.368,0.069,0.6
9.801,0.0172,1.3695,0.069,0.6015
9.901,0.01725,1.3695,0.069,0.603
10,0.0173,1.3695,0.069,0.6045
10.101,0.0172,1.371,0.069,0.606
10.2,0.0173,1.371,0.069,0.606
10.3,0.0173,1.371,0.069,0.6075
10.4,0.0173,1.3725,0.069,0.609
10.5,0.01725,1.3725,0.069,0.6105
10.6,0.0173,1.3725,0.069,0.612
10.701,0.01725,1.3725,0.069,0.6135
10.8,0.0173,1.374,0.069,0.615
10.9,0.01735,1.374,0.069,0.615
11,0.0173,1.374,0.069,0.618
11.101,0.01725,1.374,0.069,0.618
11.2,0.0173,1.3755,0.069,0.6195
11.3,0.0173,1.3755,0.069,0.621
11.401,0.01725,1.3755,0.069,0.6225
11.5,0.0173,1.377,0.069,0.624
11.6,0.0173,1.377,0.069,0.624
11.701,0.01725,1.377,0.069,0.6255
11.801,0.0173,1.377,0.069,0.627
11.901,0.01735,1.377,0.069,0.6285
12,0.0173,1.3785,0.0675,0.63
12.101,0.01725,1.3785,0.069,0.63
12.201,0.0173,1.3785,0.0675,0.6315
12.3,0.0173,1.3785,0.0675,0.633
12.4,0.01735,1.38,0.0675,0.6345
12.5,0.0173,1.38,0.0675,0.636
12.6,0.01735,1.38,0.0675,0.6375
12.7,0.01735,1.38,0.0675,0.6375
12.8,0.01735,1.38,0.0675,0.639
12.899,0.01735,1.38,0.0675,0.6405
13,0.01735,1.38,0.0675,0.642
13.101,0.0173,1.3815,0.0675,0.6435
13.2,0.01735,1.3815,0.0675,0.645
13.3,0.0173,1.3815,0.0675,0.645
13.401,0.0173,1.3815,0.0675,0.6465
13.501,0.0173,1.3815,0.0675,0.648
13.6,0.01735,1.3815,0.0675,0.6495
13.701,0.01725,1.3815,0.0675,0.651
13.8,0.01735,1.383,0.0675,0.6525
13.9,0.0173,1.383,0.0675,0.6525
14,0.01735,1.383,0.0675,0.654
14.1,0.0173,1.383,0.0675,0.657
14.201,0.0173,1.383,0.0675,0.657
14.301,0.01715,1.383,0.0675,0.6585
14.401,0.0173,1.383,0.0675,0.66
14.501,0.0173,1.383,0.0675,0.657
14.6,0.01735,1.383,0.0675,0.6615
14.701,0.01735,1.383,0.0675,0.663
14.8,0.0174,1.383,0.066,0.6645
14.899,0.01735,1.383,0.066,0.666
14.999,0.0174,1.383,0.066,0.6675
15.1,0.01735,1.383,0.066,0.669
15.201,0.0173,1.383,0.066,0.6705
15.3,0.0174,1.383,0.066,0.6705
15.399,0.0174,1.383,0.066,0.672
15.5,0.0174,1.383,0.066,0.6735
15.6,0.01735,1.383,0.066,0.675
15.701,0.0173,1.383,0.066,0.675
15.8,0.01735,1.383,0.066,0.6765
15.9,0.01735,1.383,0.066,0.678
16,0.0174,1.383,0.066,0.6795
16.1,0.01735,1.383,0.066,0.681
16.2,0.01735,1.383,0.066,0.6825
16.3,0.01735,1.383,0.066,0.6825
16.399,0.01735,1.383,0.066,0.684
16.5,0.01735,1.383,0.066,0.6855
16.601,0.0173,1.383,0.066,0.687
16.701,0.0173,1.3815,0.066,0.6885
16.801,0.01735,1.3815,0.0645,0.69
16.9,0.0173,1.3815,0.066,0.6915
17,0.01735,1.3815,0.0645,0.6915
17.101,0.0173,1.3815,0.0645,0.693
17.201,0.0173,1.3815,0.0645,0.6945
17.3,0.0173,1.3815,0.0645,0.696
17.401,0.0173,1.38,0.0645,0.6975
17.501,0.0173,1.38,0.0645,0.6975
17.599,0.01735,1.38,0.0645,0.699
17.7,0.0174,1.38,0.0645,0.7005
17.801,0.0173,1.38,0.0645,0.702
17.901,0.0173,1.3785,0.0645,0.7035
18,0.01735,1.3785,0.0645,0.7035
18.101,0.0173,1.3785,0.0645,0.705
18.2,0.0174,1.3785,0.0645,0.7065
18.3,0.0174,1.3785,0.0645,0.708
