Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.0173,1.2885,0.0705,0.441
0.099,0.01735,1.2885,0.0705,0.441
0.201,0.0173,1.2885,0.0705,0.441
0.3,0.0173,1.287,0.066,0.441
0.4,0.01735,1.284,0.051,0.441
0.5,0.01725,1.2885,0.0705,0.441
0.6,0.01735,1.2885,0.0705,0.441
0.699,0.01735,1.2855,0.057,0.441
0.8,0.01735,1.284,0.054,0.4395
0.901,0.0171,1.284,0.0525,0.441
0.999,0.01735,1.284,0.0525,0.441
1.1,0.01735,1.284,0.0525,0.441
1.199,0.01735,1.284,0.0525,0.441
1.3,0.01735,1.284,0.0525,0.4425
1.399,0.01735,1.284,0.0555,0.4425
1.5,0.01735,1.284,0.0555,0.4425
1.601,0.0173,1.2855,0.0555,0.444
1.7,0.0173,1.2855,0.0555,0.4455
1.8,0.0174,1.2855,0.0555,0.4455
1.899,0.01735,1.2855,0.057,0.447
2,0.0174,1.287,0.063,0.4485
2.099,0.01735,1.2885,0.069,0.45
2.2,0.01735,1.2885,0.0705,0.45
2.3,0.01735,1.29,0.0705,0.4515
2.4,0.01735,1.29,0.0705,0.453
2.5,0.01735,1.29,0.0705,0.4545
2.6,0.01735,1.2915,0.0705,0.456
2.7,0.0174,1.2915,0.0705,0.4575
2.801,0.01735,1.2915,0.0705,0.459
2.9,0.01735,1.293,0.0705,0.459
3,0.01735,1.293,0.0705,0.4605
3.1,0.0173,1.293,0.0705,0.462
3.2,0.0174,1.2945,0.0705,0.4635
3.299,0.0174,1.2945,0.0705,0.465
3.4,0.0174,1.296,0.0705,0.4665
3.5,0.01735,1.296,0.0705,0.468
3.599,0.0174,1.296,0.0705,0.4695
3.699,0.01735,1.2975,0.0705,0.471
3.8,0.01735,1.2975,0.0705,0.471
3.9,0.01735,1.299,0.0705,0.4725
4,0.01735,1.299,0.0705,0.474
4.1,0.01735,1.3005,0.0705,0.4755
4.2,0.01735,1.3005,0.0705,0.477
4.3,0.01735,1.302,0.0705,0.4785
4.4,0.01735,1.302,0.0705,0.48
4.499,0.01725,1.3035,0.0705,0.48
4.6,0.01735,1.3035,0.0705,0.4815
4.699,0.01735,1.305,0.0705,0.483
4.8,0.01735,1.305,0.0705,0.4845
4.9,0.01735,1.3065,0.0705,0.486
4.999,0.01725,1.3065,0.0705,0.486
5.099,0.01725,1.308,0.0705,0.4875
5.2,0.0173,1.308,0.0705,0.4905
5.3,0.01735,1.3095,0.0705,0.492
5.4,0.01735,1.3095,0.0705,0.4935
5.5,0.01735,1.311,0.0705,0.495
5.6,0.01735,1.3125,0.0705,0.495
5.7,0.01735,1.3125,0.0705,0.4965
5.799,0.01725,1.314,0.0705,0.4965
5.9,0.0173,1.314,0.0705,0.4995
5.999,0.01735,1.3155,0.0705,0.501
6.1,0.01735,1.3155,0.0705,0.5025
6.2,0.0173,1.317,0.0705,0.5025
6.299,0.0173,1.317,0.0705,0.504
6.4,0.0173,1.3185,0.0705,0.5055
6.5,0.01725,1.32,0.0705,0.507
6.6,0.01735,1.32,0.0705,0.5085
6.7,0.0174,1.32,0.0705,0.51
6.8,0.0173,1.3215,0.0705,0.5115
6.9,0.0174,1.323,0.0705,0.513
7,0.0174,1.323,0.0705,0.5145
7.1,0.0173,1.3245,0.0705,0.5145
