Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-197,-0.00135,0.14,0.0025
0.01,-197.5,-0.00135,0.14,0.0025
0.02,-197.5,-0.0012,0.14,0.002
0.03,-197,-0.00135,0.14,0.0025
0.04,-197,-0.0012,0.14,0.002
0.05,-197,-0.00135,0.14,0.002
0.06,-197,-0.00135,0.14,0.0025
0.07,-197,-0.00135,0.14,0.0025
0.08,-197.5,-0.0012,0.14,0.0025
0.09,-197,-0.00135,0.145,0.0025
0.1,-197,-0.0012,0.14,0.0025
0.11,-197,-0.0012,0.14,0.002
0.12,-197,-0.00135,0.145,0.002
0.13,-197,-0.00135,0.14,0.0025
0.14,-197,-0.0012,0.14,0.0025
0.15,-197.5,-0.00135,0.14,0.0025
0.16,-197,-0.0012,0.14,0.0025
0.17,-197,-0.0012,0.145,0.0025
0.18,-197,-0.00135,0.14,0.0025
0.19,-197,-0.00135,0.14,0.0025
0.2,-197,-0.00135,0.14,0.0025
0.21,-197,-0.00135,0.14,0.0025
0.22,-197,-0.0012,0.14,0.002
0.23,-197,-0.00135,0.145,0.0025
0.24,-197,-0.00135,0.14,0.002
0.25,-197,-0.00135,0.14,0.002
0.26,-197,-0.0012,0.14,0.0025
0.27,-197.5,-0.00135,0.14,0.0025
0.28,-197,-0.0012,0.14,0.0025
0.29,-197.5,-0.0015,0.14,0.002
0.3,-197,-0.0012,0.14,0.0025
0.31,-197,-0.0012,0.14,0.0025
0.32,-197,-0.00135,0.14,0.002
0.33,-197.5,-0.0012,0.14,0.002
0.34,-197,-0.0012,0.14,0.0025
0.35,-197,-0.00135,0.14,0.0025
0.36,-197.5,-0.0012,0.14,0.002
0.37,-197,-0.00135,0.14,0.0025
0.38,-197,-0.00135,0.145,0.0025
0.39,-197,-0.00135,0.14,0.0025
0.4,-197,-0.0012,0.14,0.002
0.41,-197.5,-0.00135,0.145,0.002
0.42,-197,-0.0012,0.14,0.002
0.43,-197,-0.00135,0.14,0.0025
0.44,-197,-0.0012,0.14,0.002
0.45,-197,-0.00135,0.145,0.0025
0.46,-197,-0.0012,0.14,0.002
0.47,-197.5,-0.0012,0.14,0.0025
0.48,-197.5,-0.0012,0.14,0.0025
0.49,-197.5,-0.00135,0.14,0.002
0.5,-197,-0.0012,0.14,0.0025
0.51,-197,-0.00135,0.14,0.002
0.52,-197,-0.0015,0.14,0.002
0.53,-197,-0.00135,0.14,0.002
0.54,-197,-0.0012,0.145,0.0025
0.55,-197.5,-0.0015,0.14,0.002
0.56,-197,-0.0012,0.145,0.0025
0.57,-197.5,-0.00135,0.145,0.0025
0.58,-197.5,-0.00135,0.16,0.0025
0.59,-197.5,-0.0015,0.16,0.0025
0.6,-197,-0.0015,0.165,0.0025
0.61,-197,-0.00165,0.17,0.0025
0.62,-197,-0.00165,0.175,0.003
0.63,-197,-0.0015,0.18,0.003
0.64,-197,-0.0015,0.19,0.003
