Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-58,0.00135,0.14,0.0025
0.01,-57.5,0.0015,0.14,0.0025
0.02,-58,0.0012,0.14,0.002
0.03,-58,0.00165,0.14,0.002
0.04,-58,0.00135,0.14,0.0025
0.05,-57.5,0.0015,0.14,0.0025
0.06,-58,0.00135,0.14,0.002
0.07,-58,0.0015,0.145,0.002
0.08,-58,0.0015,0.155,0.0025
0.09,-58,0.00195,0.17,0.003
0.1,-57.5,0.0018,0.175,0.003
0.11,-58,0.00225,0.185,0.003
0.12,-58,0.00195,0.19,0.003
0.13,-58,0.00225,0.19,0.003
0.14,-58,0.00225,0.195,0.0035
0.15,-58,0.0024,0.195,0.003
0.16,-57.5,0.0021,0.195,0.003
0.17,-58,0.00225,0.195,0.0035
0.18,-57.5,0.0021,0.2,0.003
0.19,-58,0.00225,0.2,0.0035
0.2,-57.5,0.00225,0.2,0.0035
0.21,-58,0.0024,0.205,0.0035
0.22,-58,0.0021,0.21,0.0035
0.23,-58,0.00255,0.21,0.0035
0.24,-57.5,0.0024,0.215,0.0035
0.25,-57.5,0.0027,0.215,0.0035
0.26,-58,0.0024,0.22,0.004
0.27,-58,0.0027,0.225,0.004
0.28,-57.5,0.00255,0.23,0.004
0.29,-58,0.003,0.235,0.004
0.3,-58,0.0027,0.245,0.004
0.31,-58,0.00315,0.255,0.0045
0.32,-58,0.003,0.26,0.0045
0.33,-58,0.0033,0.275,0.0045
0.34,-58,0.00315,0.285,0.005
0.35,-58,0.0036,0.29,0.005
0.36,-57.5,0.00345,0.3,0.005
0.37,-57.5,0.0039,0.32,0.0055
0.38,-57.5,0.00375,0.325,0.0055
0.39,-57.5,0.00435,0.345,0.0055
0.4,-57.5,0.00405,0.35,0.0055
0.41,-58,0.0048,0.37,0.006
0.42,-57.5,0.0045,0.38,0.006
0.43,-57.5,0.00495,0.4,0.0065
0.44,-58,0.00495,0.415,0.007
0.45,-58,0.0054,0.425,0.007
0.46,-57.5,0.00525,0.44,0.0075
0.47,-58,0.0057,0.45,0.0075
0.48,-57.5,0.00555,0.46,0.0075
0.49,-57.5,0.00585,0.465,0.0075
0.5,-57.5,0.0057,0.475,0.008
0.51,-57.5,0.00615,0.48,0.008
0.52,-57.5,0.00585,0.49,0.008
0.53,-58,0.00645,0.5,0.0085
0.54,-58,0.00615,0.51,0.0085
0.55,-58,0.00675,0.52,0.0085
0.56,-57.5,0.00645,0.53,0.009
0.57,-58,0.0069,0.54,0.009
0.58,-58,0.0066,0.55,0.009
0.59,-57.5,0.00705,0.555,0.009
0.6,-57.5,0.00705,0.565,0.0095
0.61,-58,0.00735,0.58,0.0095
0.62,-57.5,0.0072,0.585,0.01
0.63,-57.5,0.0078,0.6,0.01
0.64,-57.5,0.0075,0.605,0.01
0.65,-58,0.00795,0.62,0.0105
0.66,-57.5,0.00795,0.63,0.0105
0.67,-58,0.00825,0.635,0.0105
0.68,-57.5,0.00795,0.635,0.0105
