Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-152.5,-0.00015,0.14,0.002
0.01,-152,-0.00075,0.14,0.0025
0.02,-152.5,-0.00015,0.14,0.002
0.03,-152.5,-0.00075,0.145,0.0025
0.04,-152.5,-0.00015,0.14,0.002
0.05,-152.5,-0.00075,0.14,0.002
0.06,-152.5,-0.00015,0.14,0.002
0.07,-152,-0.0006,0.14,0.002
0.08,-152.5,-0.00015,0.14,0.002
0.09,-152,-0.0006,0.14,0.002
0.1,-152.5,0,0.14,0.002
0.11,-152,-0.00075,0.145,0.002
0.12,-152.5,-0.00015,0.14,0.002
0.13,-152,-0.00075,0.14,0.002
0.14,-152.5,0,0.14,0.002
0.15,-152,-0.00075,0.14,0.002
0.16,-152.5,-0.00015,0.14,0.0025
0.17,-152.5,-0.0006,0.14,0.002
0.18,-152.5,0,0.14,0.002
0.19,-152,-0.00075,0.14,0.002
0.2,-152.5,0,0.14,0.002
0.21,-152.5,-0.00075,0.14,0.002
0.22,-152,-0.00015,0.14,0.002
0.23,-152,-0.0006,0.14,0.002
0.24,-152.5,-0.00015,0.14,0.002
0.25,-152.5,-0.00075,0.14,0.002
0.26,-152.5,-0.00015,0.14,0.0025
0.27,-152,-0.0006,0.14,0.002
0.28,-152.5,0,0.145,0.002
0.29,-152.5,-0.00075,0.14,0.002
0.3,-152.5,0,0.14,0.002
0.31,-152.5,-0.00075,0.14,0.002
0.32,-152.5,0,0.14,0.002
0.33,-152.5,-0.00075,0.14,0.002
0.34,-152.5,-0.00015,0.14,0.002
0.35,-152.5,-0.00075,0.145,0.002
0.36,-152.5,0,0.14,0.002
0.37,-152.5,-0.00075,0.14,0.002
0.38,-152.5,-0.00015,0.145,0.002
0.39,-152,-0.0006,0.14,0.002
0.4,-152.5,-0.00015,0.145,0.002
0.41,-152,-0.0006,0.14,0.002
0.42,-152.5,-0.00015,0.14,0.0025
0.43,-152.5,-0.00075,0.14,0.0025
0.44,-152.5,-0.00015,0.14,0.002
0.45,-152,-0.00075,0.14,0.0025
0.46,-152.5,-0.00015,0.14,0.002
0.47,-152,-0.00075,0.145,0.002
0.48,-152.5,-0.00015,0.14,0.002
0.49,-152.5,-0.0006,0.14,0.002
0.5,-152.5,-0.00015,0.145,0.0025
0.51,-152,-0.0006,0.16,0.0025
0.52,-152.5,-0.00015,0.165,0.0025
0.53,-152.5,-0.0006,0.175,0.003
0.54,-152.5,-0.00015,0.18,0.003
0.55,-152.5,-0.0006,0.19,0.003
0.56,-152.5,-0.00015,0.2,0.003
0.57,-152,-0.00075,0.205,0.0035
0.58,-152.5,-0.00015,0.21,0.0035
0.59,-152.5,-0.0006,0.215,0.0035
0.6,-152.5,-0.00015,0.22,0.0035
0.61,-152,-0.00075,0.23,0.0035
0.62,-152.5,-0.00015,0.235,0.0035
0.63,-152.5,-0.00075,0.24,0.004
0.64,-152.5,-0.00015,0.245,0.004
0.65,-152.5,-0.0006,0.255,0.004
0.66,-152.5,-0.00015,0.265,0.004
0.67,-152.5,-0.00075,0.27,0.0045
0.68,-152.5,-0.00015,0.28,0.0045
0.69,-152.5,-0.00075,0.295,0.005
0.7,-152.5,-0.00015,0.31,0.005
0.71,-152.5,-0.00075,0.32,0.0055
0.72,-152.5,-0.00015,0.33,0.0055
0.73,-152,-0.0009,0.345,0.0055
0.74,-152.5,-0.00015,0.36,0.006
0.75,-152.5,-0.0009,0.37,0.006
0.76,-152.5,-0.0003,0.385,0.0065
0.77,-152.5,-0.00075,0.4,0.0065
0.78,-152.5,-0.0003,0.415,0.007
0.79,-152.5,-0.0009,0.43,0.007
0.8,-152.5,-0.0003,0.45,0.0075
0.81,-152.5,-0.00075,0.47,0.0075
0.82,-152,-0.0003,0.485,0.008
0.83,-152.5,-0.0009,0.5,0.008
0.84,-152.5,-0.0003,0.525,0.009
0.85,-152.5,-0.0009,0.54,0.009
0.86,-152.5,-0.00015,0.555,0.009
0.87,-152,-0.0009,0.57,0.0095
0.88,-152.5,-0.00015,0.59,0.01
0.89,-152.5,-0.00075,0.605,0.01
0.9,-152.5,-0.0003,0.625,0.0105
0.91,-152,-0.0009,0.635,0.0105
0.92,-152.5,-0.0003,0.645,0.0105
0.93,-152.5,-0.0009,0.655,0.011
0.94,-152,-0.0003,0.665,0.011
0.95,-152.5,-0.00075,0.68,0.011
0.96,-152.5,-0.0003,0.69,0.0115
0.97,-152.5,-0.00075,0.7,0.0115
0.98,-152.5,-0.0003,0.715,0.012
0.99,-152,-0.0009,0.725,0.012
1,-152.5,-0.00015,0.735,0.012
