Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-105.5,0.00015,0.14,0.002
0.01,-106,0.00075,0.145,0.002
0.02,-105.5,0.0003,0.14,0.002
0.03,-105.5,0.00075,0.14,0.002
0.04,-105.5,0.0003,0.14,0.002
0.05,-106,0.0009,0.145,0.002
0.06,-105.5,0.0003,0.14,0.002
0.07,-106,0.00075,0.14,0.002
0.08,-106,0.0003,0.14,0.002
0.09,-106,0.00075,0.145,0.002
0.1,-106,0.0003,0.145,0.002
0.11,-105.5,0.00075,0.14,0.002
0.12,-105.5,0.0003,0.14,0.002
0.13,-106,0.0006,0.14,0.002
0.14,-106,0.0003,0.14,0.002
0.15,-105.5,0.00075,0.14,0.002
0.16,-106,0.0003,0.145,0.002
0.17,-105.5,0.00075,0.145,0.002
0.18,-105.5,0.0003,0.14,0.002
0.19,-105.5,0.0006,0.14,0.002
0.2,-106,0.0003,0.14,0.002
0.21,-106,0.0006,0.145,0.002
0.22,-105.5,0.0003,0.14,0.002
0.23,-105.5,0.0006,0.14,0.002
0.24,-105.5,0.0003,0.145,0.002
0.25,-106,0.0009,0.165,0.0025
0.26,-105.5,0.0006,0.185,0.0025
0.27,-106,0.00105,0.21,0.003
0.28,-105.5,0.0009,0.225,0.0035
0.29,-105.5,0.00135,0.245,0.004
0.3,-105.5,0.0012,0.26,0.004
0.31,-105.5,0.00165,0.285,0.0045
0.32,-105.5,0.0012,0.3,0.0045
0.33,-106,0.0018,0.32,0.005
0.34,-105.5,0.0015,0.325,0.005
0.35,-105.5,0.00195,0.345,0.0055
0.36,-106,0.0015,0.36,0.0055
0.37,-105.5,0.0021,0.37,0.006
0.38,-105.5,0.0018,0.38,0.006
0.39,-105.5,0.0024,0.4,0.0065
0.4,-105.5,0.0021,0.405,0.0065
0.41,-105.5,0.0024,0.42,0.0065
0.42,-105.5,0.0021,0.425,0.0065
0.43,-106,0.00255,0.435,0.007
0.44,-106,0.00225,0.44,0.007
0.45,-105.5,0.0027,0.45,0.0075
0.46,-105.5,0.00225,0.455,0.0075
0.47,-106,0.0027,0.46,0.0075
0.48,-105.5,0.0024,0.465,0.0075
0.49,-106,0.0027,0.47,0.0075
0.5,-105.5,0.00255,0.48,0.0075
0.51,-106,0.00285,0.485,0.0075
0.52,-105.5,0.0027,0.49,0.008
0.53,-105.5,0.00285,0.5,0.008
0.54,-106,0.0027,0.51,0.008
0.55,-105.5,0.00315,0.52,0.0085
0.56,-105.5,0.00285,0.53,0.0085
0.57,-106,0.0033,0.54,0.0085
0.58,-105.5,0.00285,0.55,0.009
0.59,-105.5,0.00345,0.565,0.009
0.6,-105.5,0.00315,0.58,0.0095
0.61,-105.5,0.00375,0.595,0.0095
0.62,-105.5,0.00315,0.605,0.01
0.63,-105.5,0.00375,0.62,0.01
0.64,-105.5,0.00345,0.635,0.01
0.65,-105.5,0.0039,0.645,0.0105
0.66,-105.5,0.0036,0.655,0.0105
0.67,-105.5,0.00405,0.67,0.011
0.68,-105.5,0.00375,0.68,0.011
0.69,-106,0.00405,0.695,0.011
0.7,-105.5,0.00405,0.71,0.0115
0.71,-105.5,0.00435,0.72,0.012
0.72,-105.5,0.00405,0.735,0.012
0.73,-106,0.0045,0.75,0.0125
0.74,-105.5,0.00435,0.755,0.0125
0.75,-105.5,0.0048,0.77,0.0125
0.76,-105.5,0.0045,0.78,0.0125
0.77,-106,0.00495,0.795,0.013
0.78,-105.5,0.0045,0.805,0.013
0.79,-106,0.0051,0.815,0.0135
0.8,-105.5,0.0048,0.825,0.0135
0.81,-106,0.0051,0.84,0.0135
0.82,-106,0.00495,0.855,0.014
0.83,-106,0.00525,0.865,0.014
0.84,-105.5,0.0051,0.87,0.0145
0.85,-105.5,0.00525,0.88,0.0145
0.86,-105.5,0.0051,0.885,0.0145
0.87,-106,0.0054,0.9,0.0145
0.88,-105.5,0.0054,0.91,0.015
0.89,-106,0.00555,0.915,0.015
0.9,-105.5,0.00525,0.93,0.0155
0.91,-105.5,0.00585,0.94,0.0155
0.92,-105.5,0.0054,0.95,0.0155
0.93,-106,0.006,0.965,0.0155
0.94,-105.5,0.00555,0.97,0.016
0.95,-105.5,0.006,0.98,0.016
0.96,-105.5,0.0057,0.99,0.016
0.97,-106,0.00615,1,0.0165
0.98,-105.5,0.00615,1.015,0.0165
0.99,-105.5,0.0063,1.025,0.0165
1,-105.5,0.006,1.03,0.0165
1.01,-106,0.00645,1.04,0.017
1.02,-106,0.00615,1.05,0.017
1.03,-106,0.00645,1.06,0.0175
1.04,-106,0.00645,1.08,0.0175
1.05,-106,0.00675,1.085,0.0175
1.06,-105.5,0.0063,1.1,0.018
1.07,-105.5,0.00705,1.105,0.018
1.08,-105.5,0.00675,1.115,0.018
1.09,-105.5,0.00705,1.125,0.0185
1.1,-106,0.00675,1.13,0.0185
1.11,-106,0.0072,1.145,0.0185
1.12,-105.5,0.00675,1.155,0.0185
1.13,-105.5,0.0072,1.155,0.019
1.14,-105.5,0.00705,1.165,0.019
1.15,-105.5,0.00735,1.175,0.019
1.16,-105.5,0.0069,1.18,0.0195
1.17,-106,0.0075,1.2,0.0195
1.18,-105.5,0.00705,1.205,0.0195
1.19,-106,0.00765,1.215,0.0195
1.2,-105.5,0.00735,1.225,0.02
1.21,-105.5,0.00765,1.24,0.0205
1.22,-105.5,0.00735,1.25,0.0205
1.23,-105.5,0.0078,1.265,0.0205
1.24,-105.5,0.0075,1.275,0.0205
1.25,-106,0.00795,1.28,0.0205
1.26,-105.5,0.0078,1.295,0.021
1.27,-105.5,0.00825,1.31,0.0215
1.28,-105.5,0.00795,1.32,0.0215
1.29,-105.5,0.00825,1.33,0.022
1.3,-105.5,0.00795,1.345,0.022
1.31,-106,0.0084,1.35,0.022
1.32,-105.5,0.0081,1.36,0.0225
1.33,-105.5,0.00855,1.375,0.0225
1.34,-105.5,0.00825,1.38,0.0225
1.35,-105.5,0.0087,1.4,0.023
1.36,-105.5,0.0084,1.41,0.023
1.37,-106,0.00885,1.415,0.023
1.38,-105.5,0.00855,1.425,0.0235
1.39,-106,0.009,1.435,0.0235
1.4,-105.5,0.0087,1.445,0.0235
1.41,-106,0.0093,1.455,0.024
1.42,-105.5,0.00885,1.46,0.024
1.43,-105.5,0.0093,1.475,0.024
1.44,-105.5,0.009,1.485,0.0245
1.45,-106,0.00945,1.49,0.0245
1.46,-105.5,0.00915,1.505,0.0245
1.47,-105.5,0.0096,1.515,0.025
1.48,-105.5,0.00915,1.52,0.025
1.49,-106,0.0096,1.525,0.025
1.5,-105.5,0.0093,1.53,0.025
1.51,-105.5,0.0099,1.54,0.025
1.52,-105.5,0.00945,1.55,0.0255
1.53,-106,0.00975,1.56,0.0255
1.54,-105.5,0.0096,1.565,0.026
1.55,-105.5,0.0099,1.575,0.026
1.56,-105.5,0.0096,1.58,0.026
1.57,-105.5,0.01005,1.59,0.026
