Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-105,0.00015,0.14,0.002
0.01,-105,0.00075,0.14,0.002
0.02,-105,0.00015,0.14,0.002
0.03,-105.5,0.00075,0.14,0.0025
0.04,-105,0.00015,0.14,0.002
0.05,-105,0.0009,0.14,0.002
0.06,-105.5,0.00015,0.14,0.002
0.07,-105.5,0.00075,0.14,0.002
0.08,-105,0.00015,0.14,0.002
0.09,-105,0.00075,0.14,0.002
0.1,-105,0.00015,0.14,0.002
0.11,-105,0.0006,0.14,0.002
0.12,-105,0.0003,0.14,0.002
0.13,-105.5,0.00075,0.145,0.002
0.14,-105,0.0003,0.14,0.002
0.15,-105.5,0.00075,0.14,0.0025
0.16,-105,0.00015,0.14,0.002
0.17,-105.5,0.00075,0.14,0.002
0.18,-105,0.00015,0.14,0.002
0.19,-105,0.00075,0.14,0.002
0.2,-105,0.0003,0.14,0.0025
0.21,-105.5,0.00075,0.14,0.002
0.22,-105,0.00015,0.14,0.002
0.23,-105.5,0.00075,0.14,0.002
0.24,-105,0.00015,0.14,0.0025
0.25,-105.5,0.00075,0.14,0.002
0.26,-105,0.00015,0.145,0.0025
0.27,-105,0.00075,0.14,0.002
0.28,-105,0.0003,0.14,0.002
0.29,-105.5,0.00075,0.14,0.002
0.3,-105,0.00015,0.155,0.0025
0.31,-105.5,0.00105,0.17,0.003
0.32,-105,0.00045,0.18,0.003
0.33,-105.5,0.00105,0.195,0.003
0.34,-105,0.0006,0.205,0.0035
0.35,-105.5,0.00135,0.215,0.0035
0.36,-105,0.00075,0.22,0.0035
0.37,-105.5,0.00135,0.23,0.0035
0.38,-105,0.0009,0.235,0.0035
0.39,-105.5,0.0015,0.24,0.004
0.4,-105.5,0.00075,0.25,0.004
0.41,-105,0.0015,0.255,0.004
0.42,-105,0.0009,0.255,0.004
0.43,-105.5,0.0015,0.26,0.0045
0.44,-105.5,0.0009,0.265,0.0045
0.45,-105.5,0.0015,0.27,0.0045
0.46,-105,0.00105,0.275,0.0045
0.47,-105.5,0.00165,0.285,0.0045
0.48,-105,0.00105,0.29,0.0045
0.49,-105,0.0018,0.3,0.005
0.5,-105,0.00135,0.305,0.005
0.51,-105,0.0018,0.315,0.005
0.52,-105.5,0.00135,0.32,0.0055
0.53,-105,0.00195,0.325,0.0055
0.54,-105,0.0015,0.33,0.0055
0.55,-105.5,0.0021,0.34,0.0055
0.56,-105,0.00165,0.35,0.0055
0.57,-105,0.0021,0.355,0.006
0.58,-105,0.00165,0.36,0.006
0.59,-105,0.00225,0.37,0.006
0.6,-105,0.00165,0.38,0.006
0.61,-105,0.00225,0.38,0.006
0.62,-105,0.0018,0.395,0.0065
0.63,-105,0.0024,0.395,0.0065
0.64,-105,0.0018,0.405,0.0065
0.65,-105.5,0.00255,0.41,0.0065
0.66,-105,0.00195,0.415,0.0065
0.67,-105,0.00255,0.42,0.007
0.68,-105,0.0021,0.425,0.007
0.69,-105,0.0027,0.43,0.007
0.7,-105,0.0021,0.44,0.007
0.71,-105.5,0.0027,0.445,0.0075
0.72,-105.5,0.00225,0.45,0.0075
0.73,-105.5,0.00285,0.46,0.0075
0.74,-105,0.00225,0.465,0.0075
0.75,-105.5,0.00285,0.47,0.008
0.76,-105,0.0024,0.48,0.008
0.77,-105,0.003,0.49,0.008
0.78,-105,0.0024,0.495,0.008
0.79,-105.5,0.003,0.5,0.0085
0.8,-105,0.00255,0.515,0.0085
0.81,-105,0.00315,0.52,0.0085
0.82,-105,0.0027,0.525,0.0085
0.83,-105.5,0.0033,0.535,0.009
0.84,-105,0.0027,0.545,0.009
0.85,-105.5,0.0033,0.555,0.009
0.86,-105,0.003,0.565,0.0095
0.87,-105,0.00375,0.585,0.0095
0.88,-105,0.00315,0.6,0.01
0.89,-105,0.00375,0.615,0.01
0.9,-105,0.0033,0.63,0.0105
0.91,-105.5,0.0039,0.635,0.0105
0.92,-105,0.00345,0.635,0.0105
0.93,-105.5,0.00405,0.645,0.0105
0.94,-105,0.00345,0.645,0.0105
0.95,-105.5,0.00405,0.65,0.0105
0.96,-105,0.00345,0.66,0.011
0.97,-105.5,0.0042,0.67,0.011
0.98,-105,0.0036,0.68,0.011
0.99,-105,0.00435,0.695,0.0115
1,-105,0.0039,0.705,0.0115
1.01,-105.5,0.00435,0.715,0.012
1.02,-105,0.0039,0.725,0.012
1.03,-105,0.0045,0.73,0.012
1.04,-105,0.00405,0.735,0.012
1.05,-105,0.00465,0.745,0.0125
1.06,-105,0.0042,0.75,0.012
1.07,-105,0.0048,0.75,0.0125
1.08,-105,0.0042,0.765,0.0125
1.09,-105,0.00495,0.775,0.0125
1.1,-105.5,0.0042,0.78,0.013
1.11,-105,0.00495,0.795,0.013
1.12,-105,0.0045,0.8,0.0135
1.13,-105,0.00495,0.805,0.0135
1.14,-105,0.0045,0.815,0.0135
1.15,-105.5,0.0051,0.825,0.0135
1.16,-105,0.00465,0.825,0.0135
1.17,-105,0.00525,0.84,0.014
1.18,-105.5,0.00465,0.845,0.014
1.19,-105,0.00525,0.855,0.014
1.2,-105,0.00495,0.86,0.0145
1.21,-105,0.0054,0.88,0.0145
