Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-231,-0.00195,0.145,0.002
0.01,-231,-0.0018,0.145,0.0025
0.02,-231.5,-0.0021,0.14,0.002
0.03,-231,-0.0018,0.14,0.002
0.04,-231,-0.00195,0.14,0.002
0.05,-231,-0.00195,0.14,0.0025
0.06,-231,-0.00195,0.14,0.002
0.07,-231,-0.0018,0.14,0.002
0.08,-231,-0.0021,0.14,0.0025
0.09,-231,-0.00195,0.14,0.0025
0.1,-231.5,-0.0021,0.14,0.002
0.11,-231,-0.00195,0.145,0.0025
0.12,-231,-0.00195,0.14,0.0025
0.13,-231.5,-0.00195,0.14,0.002
0.14,-231,-0.0021,0.14,0.0025
0.15,-231,-0.0018,0.14,0.002
0.16,-231,-0.00195,0.14,0.002
0.17,-231.5,-0.0018,0.14,0.0025
0.18,-231,-0.00195,0.14,0.002
0.19,-231,-0.00195,0.14,0.0025
0.2,-231,-0.0021,0.14,0.0025
0.21,-231,-0.00195,0.145,0.002
0.22,-231,-0.0021,0.14,0.002
0.23,-231.5,-0.00195,0.14,0.0025
0.24,-231,-0.0021,0.14,0.0025
0.25,-231,-0.00195,0.14,0.0025
0.26,-231,-0.00195,0.14,0.002
0.27,-231,-0.00195,0.14,0.0025
0.28,-231,-0.00195,0.14,0.002
0.29,-231,-0.00195,0.14,0.0025
0.3,-231,-0.00195,0.14,0.0025
0.31,-231,-0.00195,0.14,0.0025
0.32,-231.5,-0.00195,0.14,0.002
0.33,-231,-0.00195,0.14,0.002
0.34,-231.5,-0.00195,0.14,0.002
0.35,-231,-0.00195,0.14,0.0025
0.36,-231,-0.00195,0.14,0.002
0.37,-231,-0.00195,0.145,0.002
0.38,-231,-0.00195,0.14,0.0025
0.39,-231,-0.00195,0.14,0.0025
0.4,-231,-0.0021,0.14,0.0025
0.41,-231.5,-0.0021,0.14,0.0025
0.42,-231,-0.00195,0.14,0.002
0.43,-231,-0.0018,0.14,0.0025
0.44,-231,-0.0021,0.14,0.002
0.45,-231.5,-0.00195,0.145,0.002
0.46,-231,-0.0021,0.14,0.0025
0.47,-231.5,-0.00195,0.145,0.002
0.48,-231.5,-0.00195,0.14,0.0025
0.49,-231.5,-0.00195,0.14,0.002
0.5,-231,-0.0021,0.14,0.002
0.51,-231,-0.00195,0.14,0.002
0.52,-231,-0.00195,0.14,0.002
0.53,-231,-0.0018,0.14,0.0025
0.54,-231.5,-0.0021,0.14,0.0025
0.55,-231,-0.0018,0.14,0.0025
0.56,-231,-0.0021,0.14,0.002
0.57,-231.5,-0.0018,0.14,0.002
0.58,-231,-0.0018,0.14,0.002
0.59,-231,-0.0018,0.14,0.0025
0.6,-231,-0.00195,0.14,0.0025
0.61,-231,-0.00195,0.14,0.002
0.62,-231,-0.0021,0.14,0.002
0.63,-231,-0.0021,0.14,0.002
0.64,-231.5,-0.00225,0.14,0.0025
0.65,-231,-0.0018,0.14,0.0025
0.66,-231,-0.0021,0.14,0.0025
0.67,-231,-0.0018,0.14,0.002
0.68,-231,-0.00195,0.14,0.0025
0.69,-231.5,-0.00195,0.14,0.0025
0.7,-231,-0.00195,0.14,0.002
0.71,-231,-0.00195,0.14,0.002
0.72,-231,-0.00195,0.14,0.0025
0.73,-231,-0.00195,0.14,0.0025
0.74,-231,-0.00195,0.14,0.0025
0.75,-231,-0.0018,0.14,0.002
0.76,-231,-0.0021,0.14,0.002
0.77,-231,-0.00195,0.14,0.0025
0.78,-231,-0.00195,0.14,0.0025
0.79,-231,-0.00195,0.14,0.0025
0.8,-231,-0.0021,0.14,0.002
0.81,-231,-0.0018,0.14,0.002
0.82,-231,-0.00195,0.14,0.002
0.83,-231.5,-0.00195,0.14,0.0025
0.84,-231,-0.00195,0.14,0.0025
0.85,-231,-0.0021,0.14,0.0025
0.86,-231,-0.0021,0.14,0.002
0.87,-231,-0.00195,0.14,0.002
0.88,-231,-0.00195,0.14,0.002
0.89,-231,-0.0021,0.14,0.002
0.9,-231.5,-0.0021,0.14,0.0025
0.91,-231,-0.00195,0.14,0.002
0.92,-231.5,-0.00195,0.14,0.002
0.93,-231,-0.0018,0.145,0.0025
0.94,-231,-0.0021,0.15,0.0025
0.95,-231,-0.00225,0.165,0.0025
0.96,-231,-0.00255,0.165,0.0025
0.97,-231,-0.00225,0.175,0.0025
0.98,-231,-0.00255,0.18,0.0025
0.99,-231,-0.00255,0.185,0.003
1,-231.5,-0.00255,0.195,0.003
1.01,-231,-0.00255,0.2,0.003
1.02,-231,-0.0027,0.2,0.0035
1.03,-231,-0.0027,0.205,0.003
1.04,-231,-0.00285,0.215,0.0035
1.05,-231,-0.003,0.22,0.0035
1.06,-231,-0.00315,0.23,0.004
1.07,-231,-0.003,0.24,0.004
1.08,-231,-0.00315,0.245,0.004
1.09,-231,-0.0033,0.255,0.0045
1.1,-231,-0.00345,0.26,0.004
1.11,-231.5,-0.0033,0.27,0.0045
1.12,-231.5,-0.00375,0.285,0.0045
1.13,-231,-0.0036,0.285,0.0045
1.14,-231.5,-0.00375,0.295,0.0045
1.15,-231.5,-0.0039,0.31,0.005
1.16,-231,-0.0042,0.315,0.005
1.17,-231.5,-0.0039,0.32,0.005
1.18,-231.5,-0.0042,0.325,0.0055
1.19,-231.5,-0.0042,0.33,0.0055
1.2,-231,-0.00435,0.34,0.0055
1.21,-231,-0.0042,0.345,0.0055
1.22,-231,-0.00435,0.35,0.006
1.23,-231.5,-0.00435,0.35,0.006
1.24,-231,-0.0045,0.355,0.006
1.25,-231,-0.0045,0.36,0.006
1.26,-231,-0.0048,0.37,0.006
1.27,-231,-0.0045,0.37,0.006
1.28,-231.5,-0.0048,0.38,0.0065
1.29,-231,-0.00465,0.38,0.006
1.3,-231,-0.00495,0.39,0.0065
1.31,-231,-0.00495,0.395,0.0065
1.32,-231,-0.0051,0.4,0.0065
1.33,-231,-0.00495,0.41,0.007
1.34,-231,-0.0051,0.415,0.007
1.35,-231,-0.00525,0.42,0.007
1.36,-231,-0.0054,0.425,0.007
1.37,-231.5,-0.0054,0.435,0.007
1.38,-231.5,-0.00555,0.445,0.0075
1.39,-231.5,-0.00555,0.45,0.0075
1.4,-231,-0.00585,0.455,0.0075
1.41,-231,-0.0057,0.465,0.0075
1.42,-231.5,-0.00585,0.47,0.008
1.43,-231,-0.00585,0.48,0.008
1.44,-231,-0.00615,0.485,0.008
1.45,-231,-0.006,0.495,0.008
1.46,-231,-0.0063,0.5,0.0085
1.47,-231,-0.00645,0.515,0.0085
1.48,-231,-0.0063,0.52,0.0085
1.49,-231,-0.00645,0.535,0.009
1.5,-231,-0.0066,0.535,0.009
1.51,-231,-0.0066,0.55,0.009
1.52,-231,-0.0069,0.555,0.009
1.53,-231,-0.0069,0.565,0.0095
1.54,-231.5,-0.0072,0.58,0.0095
1.55,-231,-0.0072,0.585,0.0095
1.56,-231,-0.00735,0.6,0.01
1.57,-231,-0.00735,0.61,0.01
1.58,-231.5,-0.0075,0.62,0.0105
1.59,-231,-0.00765,0.63,0.0105
1.6,-231,-0.0078,0.63,0.0105
1.61,-231,-0.0078,0.64,0.0105
1.62,-231.5,-0.0078,0.645,0.0105
1.63,-231,-0.0078,0.655,0.011
1.64,-231,-0.0081,0.665,0.011
1.65,-231,-0.0081,0.67,0.0115
1.66,-231,-0.00825,0.68,0.011
1.67,-231.5,-0.0084,0.69,0.0115
1.68,-231,-0.0084,0.695,0.0115
1.69,-231,-0.0087,0.71,0.012
