Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.0163,1.086,0.588,-0.021
0.201,0.01625,1.086,0.588,-0.021
0.4,0.0163,1.086,0.588,-0.0225
0.601,0.01625,1.086,0.5865,-0.0225
0.801,0.01635,1.086,0.5865,-0.0225
1,0.0163,1.086,0.5865,-0.0225
1.2,0.01625,1.086,0.5865,-0.021
1.401,0.01625,1.0875,0.5865,-0.021
1.6,0.01625,1.086,0.5865,-0.021
1.801,0.0163,1.0875,0.585,-0.0225
2.001,0.0163,1.0875,0.585,-0.021
2.201,0.01625,1.086,0.588,-0.021
2.401,0.0163,1.086,0.588,-0.021
2.601,0.01635,1.086,0.5895,-0.021
2.8,0.0163,1.086,0.5925,-0.0225
3,0.01625,1.086,0.594,-0.0225
3.201,0.0163,1.086,0.5955,-0.021
3.401,0.0163,1.0845,0.5985,-0.021
3.601,0.0163,1.0845,0.6015,-0.0225
3.8,0.0163,1.0845,0.6045,-0.021
4.001,0.01625,1.083,0.606,-0.021
4.201,0.0163,1.083,0.6075,-0.021
4.401,0.0163,1.0815,0.6105,-0.021
4.601,0.01625,1.0815,0.6135,-0.021
4.8,0.0163,1.08,0.6165,-0.021
5.001,0.0163,1.08,0.6195,-0.021
5.2,0.01625,1.0785,0.6225,-0.021
5.4,0.01625,1.077,0.624,-0.021
5.601,0.0163,1.077,0.6285,-0.021
5.8,0.0163,1.0755,0.63,-0.021
6,0.0163,1.074,0.633,-0.021
6.201,0.0163,1.0725,0.636,-0.021
6.4,0.01625,1.071,0.639,-0.021
6.6,0.0163,1.0695,0.6435,-0.021
6.8,0.0163,1.068,0.645,-0.021
7,0.01625,1.0665,0.6495,-0.021
7.2,0.0163,1.065,0.6525,-0.0195
7.4,0.0163,1.0635,0.6555,-0.0195
7.6,0.0163,1.062,0.6585,-0.0195
7.8,0.0163,1.0605,0.6615,-0.0195
7.999,0.01625,1.059,0.6645,-0.0195
8.201,0.0163,1.0575,0.666,-0.0195
8.401,0.0163,1.056,0.669,-0.0195
8.6,0.0163,1.053,0.672,-0.0195
8.8,0.0163,1.0515,0.675,-0.0195
9,0.0163,1.05,0.678,-0.0195
9.201,0.0163,1.047,0.681,-0.0195
9.401,0.0163,1.044,0.684,-0.0195
9.601,0.01625,1.0425,0.687,-0.0195
9.801,0.0163,1.041,0.69,-0.0195
10,0.01625,1.038,0.693,-0.0195
10.2,0.0163,1.0365,0.696,-0.018
10.401,0.01625,1.0335,0.699,-0.018
10.6,0.0163,1.0305,0.702,-0.018
10.8,0.01625,1.0275,0.705,-0.018
11.001,0.0163,1.026,0.708,-0.018
11.201,0.0163,1.023,0.711,-0.018
11.401,0.0163,1.02,0.714,-0.018
11.601,0.0163,1.017,0.717,-0.018
11.8,0.01625,1.014,0.72,-0.018
12.001,0.0163,1.011,0.723,-0.018
12.2,0.0163,1.0095,0.726,-0.018
12.4,0.0163,1.0065,0.729,-0.0165
12.601,0.0163,1.0035,0.7305,-0.0165
