Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.01635,1.095,0.516,-0.024
0.201,0.01635,1.095,0.5145,-0.024
0.4,0.0164,1.095,0.5145,-0.024
0.6,0.0164,1.095,0.5145,-0.024
0.8,0.01635,1.095,0.5145,-0.024
1,0.0164,1.095,0.5145,-0.024
1.2,0.0164,1.095,0.5145,-0.024
1.4,0.0164,1.095,0.5145,-0.024
1.6,0.0164,1.095,0.516,-0.024
1.8,0.0164,1.095,0.516,-0.024
2.001,0.0164,1.095,0.5175,-0.024
2.2,0.0164,1.095,0.519,-0.024
2.4,0.0164,1.095,0.522,-0.024
2.6,0.0164,1.095,0.5235,-0.024
2.8,0.0164,1.095,0.5265,-0.024
3,0.0164,1.095,0.528,-0.024
3.201,0.0164,1.095,0.5295,-0.024
3.401,0.01635,1.095,0.5325,-0.024
3.6,0.01635,1.095,0.5355,-0.024
3.801,0.0164,1.095,0.5385,-0.0225
4.001,0.0164,1.095,0.54,-0.0225
4.201,0.0164,1.095,0.543,-0.0225
4.401,0.0164,1.095,0.546,-0.0225
4.6,0.0164,1.095,0.549,-0.0225
4.801,0.01635,1.095,0.552,-0.0225
5,0.01635,1.095,0.555,-0.0225
5.2,0.01635,1.095,0.558,-0.0225
5.4,0.01635,1.0935,0.561,-0.0225
5.6,0.01635,1.0935,0.564,-0.0225
5.801,0.0164,1.0935,0.567,-0.0225
6.001,0.01635,1.0935,0.57,-0.0225
6.2,0.01635,1.0935,0.573,-0.0225
6.401,0.0163,1.092,0.576,-0.0225
6.601,0.0163,1.092,0.579,-0.0225
6.8,0.0163,1.092,0.582,-0.0225
7,0.0163,1.0905,0.585,-0.0225
7.201,0.0163,1.0905,0.588,-0.0225
7.401,0.0164,1.0905,0.591,-0.0225
7.6,0.0163,1.089,0.5955,-0.0225
7.8,0.01625,1.089,0.5985,-0.0225
8.001,0.0164,1.0875,0.6,-0.0225
8.2,0.0163,1.0875,0.603,-0.0225
8.4,0.0163,1.086,0.6075,-0.0225
8.6,0.0163,1.0845,0.6105,-0.021
8.8,0.0163,1.0845,0.6135,-0.021
9.001,0.0163,1.083,0.6165,-0.021
9.2,0.0163,1.0815,0.6195,-0.021
9.4,0.0163,1.08,0.6225,-0.021
9.601,0.0164,1.08,0.624,-0.021
9.8,0.0163,1.0785,0.6285,-0.021
10,0.01625,1.077,0.6315,-0.021
10.2,0.0163,1.0755,0.6345,-0.021
10.4,0.0163,1.074,0.6375,-0.021
10.6,0.01625,1.0725,0.6405,-0.021
10.8,0.0163,1.071,0.6435,-0.021
11,0.0163,1.0695,0.6465,-0.021
11.2,0.01625,1.068,0.6495,-0.021
11.401,0.0164,1.0665,0.6525,-0.021
11.601,0.0164,1.065,0.6555,-0.0195
11.801,0.01635,1.062,0.6585,-0.0195
12,0.0163,1.0605,0.6615,-0.0195
12.2,0.0163,1.059,0.6645,-0.0195
12.401,0.0164,1.0575,0.6675,-0.0195
12.6,0.0163,1.056,0.6705,-0.0195
12.801,0.0163,1.053,0.6735,-0.0195
13.001,0.0164,1.0515,0.6765,-0.0195
13.201,0.0163,1.05,0.6795,-0.0195
13.4,0.0163,1.047,0.6825,-0.0195
13.601,0.0164,1.0455,0.684,-0.0195
13.801,0.01635,1.0425,0.687,-0.0195
13.999,0.01625,1.041,0.693,-0.0195
14.2,0.01625,1.038,0.6945,-0.018
14.4,0.0163,1.035,0.6975,-0.018
14.6,0.0163,1.0335,0.7005,-0.018
14.8,0.0163,1.0305,0.7035,-0.018
15,0.0163,1.029,0.7065,-0.018
15.201,0.01635,1.026,0.708,-0.018
15.4,0.0163,1.023,0.7125,-0.018
15.6,0.0163,1.02,0.7155,-0.018
15.801,0.0163,1.017,0.7185,-0.018
16.001,0.01635,1.014,0.72,-0.018
16.2,0.0163,1.011,0.723,-0.018
16.4,0.0163,1.008,0.726,-0.0165
16.6,0.01625,1.0065,0.729,-0.0165
16.8,0.0163,1.0035,0.732,-0.0165
17.001,0.0164,1.0005,0.735,-0.0165
17.201,0.01635,0.9975,0.7365,-0.0165
17.401,0.0163,0.993,0.741,-0.0165
