Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.03315,2.2185,0.5415,-0.0465
0.2,0.03315,2.2185,0.5415,-0.0465
0.399,0.03315,2.2185,0.5415,-0.0465
0.6,0.0331,2.217,0.5415,-0.0465
0.8,0.0332,2.2185,0.5415,-0.0465
1,0.03315,2.2185,0.5415,-0.0465
1.2,0.0332,2.2185,0.5415,-0.0465
1.4,0.03315,2.2185,0.5415,-0.0465
1.6,0.03315,2.2185,0.5415,-0.0465
1.8,0.0332,2.2185,0.543,-0.0465
2,0.03315,2.2185,0.5445,-0.0465
2.2,0.0331,2.2185,0.546,-0.0465
2.4,0.0331,2.2185,0.549,-0.0465
2.6,0.0332,2.217,0.5505,-0.0465
2.8,0.0332,2.217,0.5535,-0.0465
2.999,0.0332,2.217,0.555,-0.0465
3.2,0.0332,2.217,0.558,-0.0465
3.4,0.03315,2.2155,0.561,-0.0465
3.6,0.0332,2.2155,0.564,-0.0465
3.8,0.0332,2.2155,0.5655,-0.0465
4,0.0332,2.214,0.5685,-0.0465
4.2,0.0332,2.214,0.5715,-0.0465
4.4,0.0332,2.2125,0.5745,-0.0465
4.6,0.0332,2.2125,0.5775,-0.0465
4.8,0.03315,2.211,0.5805,-0.045
5,0.0332,2.2095,0.5835,-0.045
5.2,0.0332,2.2095,0.5865,-0.045
5.4,0.0332,2.208,0.5895,-0.045
5.599,0.0332,2.2065,0.5925,-0.045
5.8,0.0332,2.205,0.5955,-0.045
6,0.03315,2.2035,0.5985,-0.045
6.199,0.0332,2.202,0.6015,-0.045
6.4,0.0332,2.2005,0.6045,-0.045
6.6,0.03315,2.199,0.6075,-0.045
6.8,0.03315,2.196,0.6105,-0.045
7,0.03315,2.1945,0.6135,-0.0435
7.2,0.03315,2.193,0.6165,-0.0435
7.4,0.0332,2.19,0.621,-0.0435
7.599,0.03315,2.187,0.6225,-0.0435
7.8,0.03315,2.1855,0.6255,-0.0435
7.999,0.03315,2.1825,0.6285,-0.0435
8.2,0.0332,2.1795,0.633,-0.0435
8.4,0.0332,2.1765,0.636,-0.0435
8.6,0.0332,2.175,0.6375,-0.042
8.8,0.0332,2.1705,0.642,-0.042
9,0.03315,2.1675,0.645,-0.042
9.2,0.0332,2.1645,0.648,-0.042
9.4,0.03315,2.1615,0.651,-0.042
9.6,0.03315,2.1585,0.654,-0.042
9.8,0.03315,2.1555,0.657,-0.042
10,0.03315,2.151,0.66,-0.0405
10.2,0.03315,2.148,0.663,-0.0405
10.4,0.0332,2.1435,0.666,-0.0405
10.6,0.0332,2.139,0.669,-0.0405
10.8,0.0332,2.136,0.672,-0.0405
11,0.0332,2.1315,0.675,-0.0405
11.2,0.03315,2.127,0.678,-0.039
11.4,0.0332,2.1225,0.681,-0.039
11.6,0.0332,2.118,0.684,-0.039
11.8,0.03315,2.1135,0.687,-0.039
11.999,0.0331,2.109,0.69,-0.039
12.2,0.03315,2.103,0.693,-0.039
12.4,0.0332,2.0985,0.696,-0.0375
12.6,0.0332,2.094,0.699,-0.0375
12.8,0.03315,2.088,0.702,-0.0375
13,0.03315,2.0835,0.705,-0.0375
13.2,0.0332,2.0775,0.708,-0.0375
13.4,0.03315,2.073,0.711,-0.0375
13.6,0.0332,2.067,0.714,-0.036
13.8,0.0332,2.061,0.717,-0.036
14,0.0332,2.055,0.72,-0.036
14.2,0.0332,2.0505,0.723,-0.036
14.4,0.0332,2.0445,0.726,-0.036
14.599,0.0332,2.0385,0.729,-0.0345
14.799,0.0332,2.0325,0.732,-0.0345
15,0.0332,2.025,0.735,-0.0345
15.199,0.0332,2.019,0.738,-0.0345
15.4,0.0332,2.013,0.741,-0.0345
15.599,0.0332,2.007,0.744,-0.0345
15.8,0.0332,1.9995,0.747,-0.033
16,0.0332,1.9935,0.75,-0.033
16.2,0.0332,1.986,0.753,-0.033
16.4,0.0332,1.98,0.756,-0.033
16.6,0.0332,1.9725,0.759,-0.033
16.8,0.0332,1.9665,0.7605,-0.033
17,0.0332,1.959,0.765,-0.0315
17.2,0.03315,1.9515,0.768,-0.0315
17.4,0.03315,1.944,0.7695,-0.0315
17.6,0.0332,1.9365,0.7725,-0.0315
17.8,0.03315,1.929,0.7755,-0.0315
18,0.0332,1.9215,0.7785,-0.0315
18.2,0.0332,1.914,0.7815,-0.03
18.399,0.0332,1.9065,0.7845,-0.03
18.6,0.0332,1.899,0.7875,-0.03
18.8,0.03315,1.8915,0.7905,-0.03
18.999,0.0332,1.884,0.7935,-0.03
19.2,0.0332,1.8765,0.7965,-0.0285
19.4,0.0332,1.869,0.7995,-0.0285
19.599,0.0332,1.8615,0.8025,-0.0285
19.799,0.0332,1.854,0.804,-0.0285
20,0.0332,1.8465,0.807,-0.0285
20.2,0.03315,1.839,0.81,-0.0285
20.4,0.0332,1.83,0.813,-0.027
20.6,0.03315,1.8225,0.816,-0.027
20.799,0.0332,1.815,0.8175,-0.027
21,0.0332,1.806,0.8205,-0.027
21.2,0.0332,1.7985,0.8235,-0.027
21.4,0.0332,1.7895,0.8265,-0.0255
21.6,0.03315,1.7805,0.8295,-0.0255
21.8,0.0332,1.773,0.8325,-0.0255
22,0.03315,1.764,0.8355,-0.0255
22.199,0.03315,1.755,0.8385,-0.0255
22.4,0.03315,1.7475,0.8415,-0.0255
22.6,0.03315,1.7385,0.843,-0.024
22.8,0.03315,1.7295,0.846,-0.024
23,0.0331,1.722,0.849,-0.024
23.199,0.03315,1.713,0.852,-0.024
23.4,0.03315,1.7055,0.855,-0.024
23.599,0.03315,1.6965,0.858,-0.0225
23.8,0.03315,1.6875,0.861,-0.0225
24,0.03315,1.68,0.864,-0.0225
24.2,0.03315,1.671,0.8655,-0.0225
24.4,0.0331,1.662,0.87,-0.0225
24.6,0.0331,1.6545,0.8715,-0.0225
24.8,0.0331,1.6455,0.8745,-0.0225
25,0.03305,1.6365,0.8775,-0.021
25.2,0.0331,1.629,0.879,-0.021
25.4,0.0331,1.62,0.882,-0.021
25.599,0.0331,1.611,0.885,-0.021
25.8,0.0331,1.6035,0.888,-0.021
26,0.03305,1.5945,0.891,-0.0195
26.2,0.0331,1.5855,0.894,-0.0195
26.4,0.033,1.578,0.897,-0.0195
26.6,0.0331,1.569,0.8985,-0.0195
26.801,0.033,1.56,0.903,-0.0195
27,0.03305,1.551,0.9045,-0.0195
27.2,0.0331,1.5435,0.9075,-0.0195
27.4,0.03305,1.5345,0.9105,-0.018
27.599,0.0331,1.527,0.9135,-0.018
27.799,0.0331,1.518,0.915,-0.018
27.999,0.0331,1.509,0.918,-0.018
28.2,0.03305,1.5015,0.921,-0.018
28.4,0.0331,1.4925,0.924,-0.018
28.6,0.033,1.485,0.927,-0.0165
28.8,0.0331,1.476,0.93,-0.0165
29,0.03295,1.4685,0.9315,-0.0165
29.2,0.03305,1.4595,0.936,-0.0165
29.4,0.0331,1.452,0.9375,-0.0165
29.6,0.0331,1.443,0.9405,-0.0165
29.8,0.03305,1.4355,0.9435,-0.0165
29.999,0.03305,1.4265,0.945,-0.015
30.2,0.0331,1.419,0.948,-0.015
30.4,0.03305,1.41,0.951,-0.015
30.6,0.03305,1.4025,0.954,-0.015
30.8,0.03305,1.3935,0.957,-0.015
31,0.03305,1.386,0.96,-0.015
31.199,0.03305,1.3785,0.9615,-0.015
31.4,0.033,1.3695,0.9645,-0.015
31.6,0.03305,1.362,0.966,-0.0135
31.8,0.03295,1.353,0.969,-0.0135
32.001,0.0331,1.3455,0.9705,-0.0135
32.2,0.03305,1.338,0.975,-0.0135
32.4,0.03305,1.3305,0.978,-0.0135
32.6,0.03295,1.323,0.9795,-0.0135
32.8,0.03305,1.314,0.9825,-0.0135
33,0.033,1.3065,0.9855,-0.0135
33.2,0.033,1.299,0.9885,-0.012
33.399,0.033,1.2915,0.99,-0.012
33.6,0.033,1.284,0.993,-0.012
33.8,0.033,1.2765,0.996,-0.012
34,0.033,1.269,0.999,-0.012
34.2,0.033,1.2615,1.002,-0.012
34.4,0.033,1.254,1.0035,-0.012
34.6,0.033,1.2465,1.0065,-0.012
34.799,0.033,1.239,1.008,-0.0105
35,0.03295,1.233,1.0095,-0.0105
35.2,0.03295,1.2255,1.011,-0.0105
35.4,0.033,1.218,1.0155,-0.0105
35.599,0.033,1.212,1.0185,-0.0105
35.8,0.033,1.2045,1.0185,-0.0105
36,0.033,1.197,1.023,-0.0105
36.2,0.03295,1.191,1.026,-0.0105
36.4,0.0332,1.1835,1.023,-0.009
36.6,0.03295,1.176,1.0305,-0.0105
36.8,0.03295,1.1685,1.0335,-0.0105
37,0.03295,1.161,1.035,-0.0105
37.2,0.03295,1.1535,1.038,-0.009
37.4,0.03295,1.1475,1.041,-0.009
37.599,0.03295,1.14,1.044,-0.009
37.8,0.03295,1.134,1.0455,-0.009
38,0.03295,1.1265,1.0485,-0.009
38.2,0.03295,1.119,1.0515,-0.009
38.4,0.033,1.113,1.0545,-0.009
38.6,0.03295,1.1055,1.056,-0.009
38.8,0.03295,1.0995,1.059,-0.009
39.001,0.03305,1.0935,1.0605,-0.009
39.199,0.03295,1.086,1.0635,-0.0075
39.4,0.0329,1.08,1.0665,-0.0075
39.6,0.03295,1.074,1.068,-0.0075
39.8,0.03295,1.0665,1.071,-0.0075
40,0.03295,1.0605,1.074,-0.0075
40.2,0.03305,1.0545,1.0755,-0.0075
40.4,0.03295,1.0485,1.0785,-0.0075
40.599,0.03295,1.0425,1.0815,-0.0075
40.8,0.03295,1.0365,1.083,-0.0075
40.999,0.03295,1.0305,1.086,-0.0075
41.2,0.0331,1.023,1.0875,-0.0075
41.4,0.0331,1.017,1.0905,-0.0075
41.6,0.03295,1.011,1.0935,-0.006
41.8,0.03295,1.005,1.0965,-0.006
42,0.03295,0.999,1.0995,-0.006
42.2,0.0329,0.993,1.101,-0.006
42.399,0.03295,0.987,1.104,-0.006
42.6,0.03295,0.981,1.1055,-0.006
42.8,0.03295,0.975,1.1085,-0.006
43,0.03295,0.9705,1.1115,-0.006
