Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.0329,2.1045,0.6765,-0.0375
0.2,0.0329,2.1045,0.6765,-0.0375
0.4,0.0329,2.1045,0.6765,-0.0375
0.6,0.03305,2.1045,0.675,-0.0375
0.8,0.0329,2.1075,0.675,-0.039
1,0.03295,2.1075,0.675,-0.039
1.2,0.03295,2.1075,0.675,-0.0375
1.4,0.03295,2.109,0.675,-0.039
1.6,0.033,2.1075,0.6765,-0.0375
1.8,0.033,2.1075,0.678,-0.039
2,0.033,2.1075,0.6795,-0.039
2.2,0.0329,2.106,0.681,-0.0375
2.4,0.033,2.1045,0.6825,-0.0375
2.6,0.0329,2.103,0.6855,-0.0375
2.8,0.03305,2.1,0.687,-0.0375
3,0.03295,2.097,0.69,-0.0375
3.2,0.03305,2.0955,0.6915,-0.0375
3.4,0.0331,2.0925,0.6945,-0.0375
3.6,0.03305,2.0895,0.696,-0.0375
3.8,0.0331,2.085,0.699,-0.0375
4,0.0331,2.082,0.702,-0.0375
4.2,0.0331,2.0775,0.705,-0.0375
4.4,0.0331,2.0745,0.708,-0.0375
4.6,0.0331,2.07,0.7095,-0.036
4.8,0.0331,2.0655,0.7125,-0.036
5,0.0331,2.061,0.7155,-0.036
5.2,0.0331,2.0565,0.7185,-0.036
5.401,0.03305,2.052,0.7215,-0.036
5.6,0.0331,2.046,0.7245,-0.036
5.8,0.03315,2.0415,0.726,-0.036
6,0.03315,2.0355,0.729,-0.0345
6.2,0.03315,2.031,0.732,-0.0345
6.4,0.03315,2.025,0.735,-0.0345
6.6,0.03315,2.019,0.738,-0.0345
6.8,0.0331,2.0145,0.741,-0.0345
7,0.0332,2.0085,0.744,-0.0345
7.2,0.03315,2.0025,0.747,-0.033
7.4,0.0332,1.9965,0.75,-0.033
7.6,0.0332,1.9905,0.753,-0.033
7.8,0.0332,1.983,0.756,-0.033
8,0.0332,1.977,0.7575,-0.033
8.2,0.03315,1.971,0.7605,-0.033
8.4,0.0332,1.965,0.7635,-0.0315
8.6,0.0332,1.9575,0.7665,-0.0315
8.8,0.0332,1.9515,0.7695,-0.0315
9,0.0332,1.944,0.771,-0.0315
9.2,0.0332,1.938,0.774,-0.0315
9.4,0.0332,1.9305,0.777,-0.0315
9.6,0.0332,1.923,0.78,-0.03
9.8,0.0332,1.9155,0.783,-0.03
10.001,0.0332,1.908,0.786,-0.03
10.2,0.03315,1.9005,0.789,-0.03
10.4,0.03315,1.893,0.792,-0.03
10.6,0.03315,1.8855,0.7935,-0.0285
10.8,0.03315,1.878,0.7965,-0.0285
11.002,0.03315,1.8705,0.801,-0.0285
