Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-184,0.0102,0.1515,0.002205
0.002,-184.5,0.01005,0.1515,0.002295
0.004,-184,0.0099,0.1515,0.002265
0.006,-184,0.0102,0.1515,0.00228
0.008,-184.5,0.01035,0.1515,0.002355
0.01,-184,0.01035,0.153,0.002235
0.012,-184.5,0.0105,0.1515,0.002295
0.014,-184.5,0.01065,0.153,0.00228
0.016,-184,0.0105,0.153,0.002355
0.018,-184,0.01035,0.153,0.002355
0.02,-184,0.0102,0.1515,0.002205
0.022,-184,0.01005,0.1515,0.00228
0.024,-184,0.01005,0.1515,0.00228
0.026,-184,0.01005,0.1515,0.00231
0.028,-184,0.0102,0.1515,0.00234
0.03,-184,0.0105,0.1515,0.002205
0.032,-184,0.0105,0.1515,0.002295
0.034,-184,0.01065,0.153,0.002295
0.036,-184,0.0105,0.153,0.002355
0.038,-184,0.0105,0.1515,0.002355
0.04,-184,0.0102,0.1515,0.00219
0.042,-184,0.01005,0.1515,0.00228
0.044,-184,0.0099,0.1515,0.00228
0.046,-184,0.01005,0.1515,0.002355
0.048,-184,0.0102,0.1515,0.00237
0.05,-184,0.0105,0.1515,0.00219
0.052,-184,0.01065,0.1515,0.00228
0.054,-184.5,0.01065,0.153,0.002325
0.056,-184,0.0105,0.1515,0.002355
0.058,-184,0.01035,0.1515,0.002325
0.06,-184,0.0102,0.1515,0.002205
0.062,-184,0.01005,0.1515,0.00228
0.064,-184,0.01005,0.1515,0.002295
0.066,-184,0.01005,0.1515,0.002295
0.068,-184,0.0102,0.1515,0.002355
0.07,-184,0.0105,0.1515,0.002205
0.072,-184,0.0105,0.1515,0.002265
0.074,-184,0.01065,0.1515,0.002295
0.076,-184,0.0105,0.153,0.00234
0.078,-184,0.01035,0.1515,0.00234
0.08,-184,0.01005,0.1515,0.00219
0.082,-184,0.01005,0.1515,0.002295
0.084,-184,0.01005,0.1515,0.002265
0.086,-184.5,0.0102,0.1515,0.002295
0.088,-184,0.0102,0.1515,0.002325
0.09,-184,0.0105,0.1515,0.002205
0.092,-184.5,0.0105,0.1515,0.00231
0.094,-184,0.01065,0.153,0.002295
0.096,-184.5,0.0105,0.153,0.002325
0.098,-184,0.01035,0.1515,0.00231
0.1,-184,0.0102,0.1515,0.00216
0.102,-184,0.01005,0.1515,0.00231
0.104,-184,0.01005,0.1515,0.00231
0.106,-184,0.01005,0.1515,0.002325
0.108,-184,0.0102,0.1515,0.00234
0.11,-184,0.01035,0.1515,0.00219
0.112,-184,0.0105,0.1515,0.002265
0.114,-184,0.01065,0.1515,0.002325
0.116,-184.5,0.0105,0.1515,0.002355
0.118,-184,0.01035,0.1515,0.002355
0.12,-184,0.0102,0.1515,0.002205
0.122,-184,0.01005,0.1515,0.00228
0.124,-184,0.0099,0.1515,0.00228
0.126,-184,0.01005,0.1515,0.00234
0.128,-184,0.0102,0.1515,0.00234
0.13,-184,0.0105,0.1515,0.00219
0.132,-184,0.0105,0.1515,0.002295
0.134,-184.5,0.01065,0.1515,0.00231
0.136,-184,0.01035,0.1515,0.002355
0.138,-184,0.01035,0.1515,0.00237
0.14,-184,0.0102,0.1515,0.00219
0.142,-184,0.01005,0.1515,0.00228
0.144,-184,0.0099,0.1515,0.00228
0.146,-184.5,0.01005,0.1515,0.00234
0.148,-184,0.0102,0.1515,0.00231
0.15,-184.5,0.0105,0.1515,0.00222
0.152,-184,0.01065,0.1515,0.00231
0.154,-184,0.01065,0.153,0.002265
0.156,-184,0.0105,0.153,0.00234
0.158,-184,0.0102,0.1515,0.002355
0.16,-184,0.0102,0.1515,0.00219
0.162,-184,0.0102,0.1515,0.002265
0.164,-184,0.0099,0.1515,0.002295
0.166,-184,0.01005,0.1515,0.002355
0.168,-184,0.0102,0.1515,0.002355
0.17,-184,0.01035,0.1515,0.00222
0.172,-184,0.0105,0.153,0.002295
0.174,-184,0.01065,0.1515,0.00231
0.176,-184,0.0105,0.1515,0.00234
0.178,-184,0.0102,0.1515,0.00234
0.18,-184,0.01005,0.1515,0.002205
0.182,-184,0.01005,0.1515,0.00231
0.184,-184,0.0099,0.1515,0.002265
0.186,-184,0.01005,0.1515,0.00234
0.188,-184.5,0.0102,0.1515,0.00231
0.19,-184,0.0105,0.1515,0.00222
0.192,-184,0.01065,0.1515,0.00231
0.194,-184.5,0.01065,0.153,0.00228
0.196,-184,0.0105,0.1515,0.002325
0.198,-184,0.01035,0.1515,0.002325
0.2,-184,0.0102,0.1515,0.00222
0.202,-184,0.01005,0.1515,0.002295
0.204,-184,0.0099,0.1515,0.002265
0.206,-184,0.01005,0.1515,0.00237
0.208,-184,0.0102,0.1515,0.002355
0.21,-184,0.0105,0.1515,0.00222
0.212,-184,0.0105,0.153,0.002295
0.214,-184,0.01065,0.153,0.002295
0.216,-184,0.0105,0.1515,0.002325
0.218,-184,0.0102,0.1515,0.002325
0.22,-184,0.01005,0.1515,0.002175
0.222,-184,0.01005,0.1515,0.002265
0.224,-184,0.0099,0.1515,0.00225
0.226,-184,0.0102,0.1515,0.002325
0.228,-184,0.01035,0.1515,0.002325
0.23,-184.5,0.0105,0.1515,0.00219
0.232,-184.5,0.01065,0.1515,0.002295
0.234,-184,0.01065,0.153,0.002295
0.236,-184.5,0.0105,0.1515,0.002355
0.238,-184,0.01035,0.1515,0.00234
0.24,-184,0.0102,0.1515,0.002235
0.242,-184,0.01005,0.1515,0.00228
0.244,-184,0.01005,0.1515,0.002265
0.246,-184,0.01005,0.1515,0.00234
0.248,-184,0.0102,0.1515,0.00231
0.25,-184,0.0105,0.153,0.002205
0.252,-184,0.0105,0.1515,0.002295
0.254,-184,0.01065,0.1515,0.002325
0.256,-184,0.01035,0.1515,0.00237
0.258,-184,0.01035,0.1515,0.00234
0.26,-184,0.0102,0.1515,0.00219
0.262,-184,0.0102,0.1515,0.00231
0.264,-184,0.0099,0.1515,0.002295
0.266,-184,0.0102,0.1515,0.002355
0.268,-184,0.01035,0.1515,0.00234
0.27,-184,0.0108,0.156,0.00222
0.272,-184,0.0111,0.159,0.002385
0.274,-184,0.01185,0.1695,0.00255
0.276,-184,0.012,0.174,0.002685
0.278,-184,0.01245,0.18,0.00276
0.28,-184,0.0123,0.1845,0.002655
0.282,-184.5,0.0126,0.189,0.00282
0.284,-184,0.0129,0.1935,0.002925
