Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-6,0.0063,0.15,0.00234
0.002,-6,0.0063,0.1515,0.0024
0.004,-6.5,0.00615,0.15,0.002265
0.006,-6,0.0063,0.1515,0.002325
0.008,-6.5,0.0063,0.1515,0.002325
0.01,-6,0.00615,0.15,0.00231
0.012,-6,0.0063,0.1515,0.002385
0.014,-6,0.0063,0.15,0.002265
0.016,-6,0.00615,0.1515,0.002295
0.018,-6,0.0063,0.15,0.002325
0.02,-6.5,0.0063,0.1515,0.002325
0.022,-6,0.0063,0.1515,0.002385
0.024,-6.5,0.0063,0.15,0.002265
0.026,-6,0.0063,0.15,0.002295
0.028,-6,0.0063,0.15,0.00231
0.03,-6,0.0063,0.1515,0.00234
0.032,-6,0.0063,0.1515,0.002385
0.034,-6,0.0063,0.1515,0.00228
0.036,-6,0.0063,0.15,0.00234
0.038,-6,0.0063,0.1515,0.002295
0.04,-6.5,0.0063,0.1515,0.00231
0.042,-6,0.00615,0.1515,0.0024
0.044,-6,0.0063,0.1515,0.00225
0.046,-6,0.0063,0.1515,0.00231
0.048,-6,0.0063,0.15,0.00231
0.05,-6,0.0063,0.15,0.002355
0.052,-6,0.00615,0.1515,0.002385
0.054,-6,0.0063,0.1515,0.002265
0.056,-6,0.00615,0.15,0.00231
0.058,-6,0.0063,0.15,0.002325
0.06,-6.5,0.0063,0.15,0.002325
0.062,-6,0.0063,0.1515,0.0024
0.064,-6,0.0063,0.15,0.002265
0.066,-6,0.0063,0.15,0.002295
0.068,-6,0.00615,0.1515,0.002325
0.07,-6,0.0063,0.15,0.002325
0.072,-6,0.0063,0.1515,0.00237
0.074,-6.5,0.0063,0.1515,0.002265
0.076,-6,0.0063,0.15,0.00234
0.078,-6,0.0063,0.15,0.002325
0.08,-6.5,0.00615,0.1515,0.00231
0.082,-6,0.0063,0.15,0.0024
0.084,-6.5,0.0063,0.1515,0.00225
0.086,-6,0.00615,0.15,0.002325
0.088,-6,0.0063,0.1515,0.00234
0.09,-6.5,0.0063,0.15,0.00231
0.092,-6,0.0063,0.1515,0.00237
0.094,-6,0.0063,0.15,0.00228
0.096,-6,0.00615,0.15,0.00228
0.098,-6,0.0063,0.15,0.002295
0.1,-6,0.0063,0.15,0.002325
0.102,-6,0.00645,0.15,0.0024
0.104,-6,0.0063,0.1515,0.00228
0.106,-6.5,0.00645,0.15,0.00231
0.108,-6,0.0063,0.1515,0.002355
0.11,-6,0.00615,0.15,0.00234
0.112,-6,0.0063,0.1515,0.002415
0.114,-6,0.0063,0.15,0.002235
0.116,-6.5,0.0063,0.15,0.00231
0.118,-6,0.0063,0.15,0.001935
0.12,-6,0.0063,0.1515,0.00234
0.122,-6,0.0063,0.15,0.00237
0.124,-6.5,0.0063,0.1515,0.00222
0.126,-6,0.0063,0.15,0.00234
0.128,-6,0.0063,0.1515,0.002325
0.13,-6,0.0063,0.1515,0.002355
0.132,-6,0.0063,0.1515,0.002385
0.134,-6.5,0.0063,0.1515,0.002265
0.136,-6,0.0063,0.1515,0.002295
0.138,-6,0.0063,0.15,0.00234
0.14,-6,0.0063,0.1515,0.002355
0.142,-6,0.0063,0.1515,0.002415
0.144,-6.5,0.0063,0.1515,0.002265
0.146,-6,0.0063,0.15,0.00231
0.148,-6,0.00615,0.15,0.002325
0.15,-6,0.00615,0.1515,0.002355
0.152,-6,0.00615,0.1515,0.002355
0.154,-6,0.0063,0.15,0.002265
0.156,-6,0.0063,0.15,0.002295
0.158,-6,0.0063,0.1515,0.00234
