Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-71.5,0.00765,0.15,0.0024
0.002,-71.5,0.0078,0.15,0.00231
0.004,-71.5,0.00795,0.15,0.00213
0.006,-71.5,0.00795,0.1515,0.00192
0.008,-72,0.0081,0.1515,0.00231
0.01,-71.5,0.0081,0.1515,0.002385
0.012,-71.5,0.0078,0.15,0.002295
0.014,-71.5,0.00765,0.15,0.0021
0.016,-71.5,0.00765,0.15,0.002265
0.018,-72,0.00765,0.15,0.00231
0.02,-71.5,0.0078,0.15,0.002385
0.022,-71.5,0.00765,0.15,0.002265
0.024,-71.5,0.00795,0.1515,0.00213
0.026,-71.5,0.0081,0.1515,0.002325
0.028,-72,0.00795,0.1515,0.00231
0.03,-71.5,0.00795,0.15,0.00237
0.032,-71.5,0.0078,0.15,0.002295
0.034,-71.5,0.00765,0.15,0.00213
0.036,-71.5,0.00765,0.15,0.002295
0.038,-71.5,0.00765,0.15,0.00225
0.04,-71.5,0.00765,0.15,0.002385
0.042,-71.5,0.0078,0.15,0.002295
0.044,-72,0.00795,0.15,0.002145
0.046,-71.5,0.00795,0.1515,0.00228
0.048,-71.5,0.00795,0.15,0.00231
0.05,-71.5,0.00795,0.1515,0.0024
0.052,-71.5,0.0078,0.15,0.00231
0.054,-71.5,0.00765,0.15,0.0021
0.056,-71.5,0.00765,0.15,0.00228
0.058,-71.5,0.00765,0.15,0.00225
0.06,-71.5,0.00765,0.15,0.0024
0.062,-71.5,0.0078,0.1515,0.002295
0.064,-72,0.0078,0.1515,0.002145
0.066,-72,0.0081,0.15,0.00234
0.068,-71.5,0.00795,0.1515,0.00234
0.07,-71.5,0.00795,0.15,0.002415
0.072,-71.5,0.0078,0.15,0.00231
0.074,-71.5,0.00765,0.15,0.002115
0.076,-71.5,0.0075,0.15,0.00228
0.078,-71.5,0.00765,0.15,0.002265
0.08,-71.5,0.00765,0.15,0.002415
0.082,-71.5,0.0078,0.15,0.00231
0.084,-71.5,0.00795,0.1515,0.0021
0.086,-71.5,0.0081,0.1515,0.00231
0.088,-71.5,0.00795,0.1515,0.002295
0.09,-71.5,0.0078,0.1515,0.002415
0.092,-71.5,0.0078,0.1515,0.00228
0.094,-71.5,0.00765,0.15,0.002145
0.096,-71.5,0.0075,0.15,0.00228
0.098,-71.5,0.00765,0.15,0.002265
0.1,-71.5,0.0078,0.15,0.002415
0.102,-71.5,0.0078,0.15,0.002295
