Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-6,0.0063,0.15,0.00228
0.002,-6.5,0.0063,0.1515,0.00231
0.004,-6,0.00615,0.15,0.002415
0.006,-6,0.0063,0.15,0.002295
0.008,-6,0.0063,0.1515,0.00228
0.01,-6,0.0063,0.15,0.00231
0.012,-6,0.0063,0.15,0.002295
0.014,-6,0.0063,0.15,0.002415
0.016,-6.5,0.0063,0.15,0.002295
0.018,-6,0.0063,0.1515,0.002265
0.02,-6.5,0.0063,0.15,0.002325
0.022,-6,0.0063,0.15,0.002325
0.024,-6,0.0063,0.1515,0.002385
0.026,-6,0.0063,0.1515,0.002295
0.028,-6,0.0063,0.15,0.002295
0.03,-6,0.0063,0.1515,0.002325
0.032,-6,0.0063,0.15,0.002325
0.034,-6,0.0063,0.1515,0.002415
0.036,-6,0.0063,0.15,0.002265
0.038,-6,0.00645,0.1515,0.00228
0.04,-6,0.0063,0.1515,0.00234
0.042,-6,0.0063,0.15,0.002325
0.044,-6,0.00615,0.1515,0.002385
0.046,-6,0.00615,0.15,0.002295
0.048,-6,0.00615,0.15,0.002325
0.05,-6,0.0063,0.15,0.002325
0.052,-6,0.00615,0.15,0.002325
0.054,-6,0.00615,0.1515,0.002415
0.056,-6,0.0063,0.15,0.00228
0.058,-6,0.0063,0.1515,0.00228
0.06,-6,0.0063,0.1515,0.002325
0.062,-6.5,0.0063,0.1515,0.00234
0.064,-6,0.00615,0.15,0.002445
0.066,-6,0.0063,0.15,0.00231
0.068,-6,0.0063,0.15,0.00228
0.07,-6.5,0.0063,0.15,0.002325
0.072,-6,0.0063,0.15,0.002325
0.074,-6.5,0.0063,0.15,0.00243
0.076,-6,0.00615,0.1515,0.002295
0.078,-6,0.0063,0.15,0.00231
0.08,-6.5,0.0063,0.1515,0.002295
0.082,-6,0.0063,0.15,0.00234
0.084,-6,0.0063,0.15,0.0024
0.086,-6.5,0.0063,0.15,0.00228
0.088,-6.5,0.0063,0.15,0.00231
0.09,-6,0.0063,0.15,0.002295
0.092,-6.5,0.0063,0.15,0.00234
0.094,-6,0.00615,0.15,0.002445
0.096,-6,0.0063,0.15,0.002295
0.098,-6,0.0063,0.1515,0.002265
0.1,-6,0.00615,0.1515,0.00231
0.102,-6,0.0063,0.15,0.002325
0.104,-6,0.0063,0.15,0.002415
0.106,-6,0.0063,0.15,0.00228
0.108,-6.5,0.0063,0.15,0.002265
0.11,-6,0.0063,0.15,0.00231
0.112,-6,0.0063,0.15,0.002325
0.114,-6,0.0063,0.1515,0.002415
0.116,-6,0.0063,0.1515,0.002295
0.118,-6,0.0063,0.15,0.002325
0.12,-6,0.0063,0.15,0.002325
0.122,-6,0.0063,0.15,0.002325
0.124,-6.5,0.0063,0.15,0.002415
0.126,-6,0.0063,0.1515,0.002295
0.128,-6,0.0063,0.1515,0.00228
0.13,-6,0.0063,0.15,0.002295
0.132,-6,0.0063,0.1515,0.002295
0.134,-6,0.0063,0.15,0.002415
0.136,-6,0.0063,0.1515,0.002295
0.138,-6.5,0.0063,0.15,0.002295
0.14,-6,0.00615,0.15,0.00231
0.142,-6,0.0063,0.1515,0.002325
0.144,-6,0.0063,0.15,0.0024
0.146,-6.5,0.0063,0.15,0.002295
0.148,-6,0.0063,0.15,0.00231
0.15,-6.5,0.0063,0.15,0.002325
0.152,-6,0.0063,0.1515,0.00234
0.154,-6,0.00615,0.15,0.002385
0.156,-6.5,0.0063,0.15,0.002295
0.158,-6,0.0063,0.15,0.002265
0.16,-6,0.0063,0.1515,0.00231
0.162,-6,0.0063,0.15,0.002325
0.164,-6.5,0.0063,0.1515,0.00243
0.166,-6,0.0063,0.15,0.00231
0.168,-6.5,0.00615,0.15,0.00228
0.17,-6.5,0.0063,0.15,0.002295
0.172,-6,0.0063,0.15,0.002355
0.174,-6,0.0063,0.15,0.0024
0.176,-6,0.0063,0.1515,0.002295
0.178,-6,0.0063,0.15,0.00231
0.18,-6.5,0.0063,0.15,0.00231
0.182,-6,0.0063,0.15,0.002325
0.184,-6,0.00615,0.15,0.00243
0.186,-6,0.0063,0.15,0.002295
0.188,-6.5,0.0063,0.15,0.00228
0.19,-6.5,0.0063,0.15,0.002295
0.192,-6,0.0063,0.15,0.00231
0.194,-6,0.00615,0.15,0.00237
0.196,-6,0.0063,0.15,0.002295
0.198,-6.5,0.0063,0.15,0.002325
0.2,-6,0.0063,0.15,0.002295
0.202,-6,0.0063,0.15,0.00234
0.204,-6,0.0063,0.15,0.00237
0.206,-6,0.0063,0.15,0.00231
0.208,-6,0.0063,0.15,0.002295
0.21,-6,0.00615,0.15,0.002325
0.212,-6,0.0063,0.15,0.002355
0.214,-6,0.00615,0.1515,0.002445
0.216,-6,0.00645,0.15,0.002295
0.218,-6,0.0063,0.15,0.00231
0.22,-6,0.0063,0.15,0.00231
0.222,-6,0.00615,0.15,0.002295
0.224,-6,0.0063,0.1515,0.00237
0.226,-6,0.00615,0.15,0.00231
0.228,-6,0.0063,0.1515,0.00228
0.23,-6,0.0063,0.15,0.002325
0.232,-6,0.00615,0.15,0.00234
0.234,-6.5,0.00615,0.1515,0.002385
0.236,-6,0.0063,0.15,0.002295
0.238,-6,0.0063,0.15,0.002295
0.24,-6.5,0.0063,0.15,0.00231
0.242,-6,0.0063,0.15,0.00231
0.244,-6,0.00615,0.1515,0.002385
0.246,-6,0.0063,0.15,0.002295
0.248,-6.5,0.0063,0.15,0.00231
0.25,-6,0.0063,0.1515,0.00234
0.252,-6,0.0063,0.1515,0.002295
0.254,-6,0.0063,0.1515,0.002385
0.256,-6,0.0063,0.15,0.002265
0.258,-6.5,0.0063,0.1515,0.002325
0.26,-6,0.0063,0.15,0.00234
0.262,-6,0.0063,0.15,0.00231
0.264,-6,0.0063,0.15,0.002415
0.266,-6,0.0063,0.15,0.00231
0.268,-6,0.0063,0.15,0.002295
0.27,-6,0.00645,0.15,0.002325
0.272,-6,0.00615,0.1515,0.00231
0.274,-6,0.0063,0.15,0.00237
0.276,-6,0.0063,0.15,0.00231
0.278,-6,0.0063,0.15,0.00231
0.28,-6,0.00615,0.15,0.002325
0.282,-6,0.0063,0.15,0.00231
0.284,-6,0.0063,0.15,0.002415
0.286,-6.5,0.0063,0.1515,0.00228
0.288,-6,0.0063,0.15,0.002295
0.29,-6,0.0063,0.1515,0.002325
0.292,-6,0.0063,0.15,0.00234
0.294,-6,0.0063,0.1515,0.002415
0.296,-6,0.0063,0.15,0.00228
0.298,-6,0.0063,0.15,0.00231
0.3,-6,0.0063,0.15,0.00231
0.302,-6,0.0063,0.15,0.00234
0.304,-6,0.0063,0.1515,0.002355
0.306,-6,0.00645,0.1515,0.00228
0.308,-6,0.0063,0.15,0.00231
0.31,-6,0.0063,0.1515,0.00231
0.312,-6,0.0063,0.1515,0.00231
0.314,-6,0.00645,0.156,0.002475
0.316,-6,0.0066,0.1575,0.002415
0.318,-6,0.0066,0.159,0.002415
0.32,-6,0.00705,0.168,0.00258
0.322,-6,0.00705,0.168,0.00258
0.324,-6,0.00735,0.1755,0.002775
0.326,-6,0.0075,0.1785,0.002715
0.328,-6,0.0075,0.18,0.00276
0.33,-6,0.0078,0.1845,0.00285
0.332,-6,0.00795,0.186,0.00285
0.334,-6,0.0081,0.192,0.00303
0.336,-6.5,0.00825,0.1935,0.00291
0.338,-6.5,0.00825,0.198,0.00303
0.34,-6,0.00855,0.2025,0.003075
0.342,-6,0.0087,0.2055,0.003165
0.344,-6.5,0.009,0.21,0.0033
0.346,-6,0.00915,0.2115,0.00324
0.348,-6.5,0.00915,0.216,0.003285
0.35,-6,0.0093,0.219,0.003375
0.352,-6.5,0.00945,0.2205,0.00342
0.354,-6,0.00945,0.222,0.003525
0.356,-6,0.0096,0.225,0.003435
0.358,-6.5,0.00975,0.228,0.00351
0.36,-6,0.00975,0.2295,0.003555
0.362,-6,0.0099,0.2325,0.003585
0.364,-6,0.01005,0.237,0.003735
0.366,-6,0.0105,0.2445,0.00375
0.368,-6,0.0105,0.2475,0.003795
0.37,-6,0.01065,0.249,0.00387
0.372,-6,0.01065,0.2505,0.0039
0.374,-6,0.0108,0.2535,0.004005
0.376,-6.5,0.01095,0.2565,0.003915
0.378,-6.5,0.0111,0.258,0.00399
0.38,-6,0.0111,0.261,0.004035
0.382,-6.5,0.0114,0.264,0.004065
0.384,-6.5,0.0114,0.267,0.0042
0.386,-6.5,0.0117,0.273,0.004185
0.388,-6,0.01185,0.276,0.00426
0.39,-6,0.01185,0.2775,0.00429
0.392,-6.5,0.01185,0.2775,0.004305
0.394,-6,0.01185,0.279,0.00441
0.396,-6,0.0123,0.285,0.00435
0.398,-6,0.01245,0.2895,0.004485
0.4,-6,0.01245,0.291,0.00444
0.402,-6,0.0126,0.294,0.004515
0.404,-6,0.0129,0.3,0.00468
0.406,-6.5,0.01305,0.303,0.004635
0.408,-6,0.0132,0.3045,0.004665
0.41,-6,0.0132,0.309,0.004785
0.412,-6,0.01335,0.3105,0.004785
0.414,-6,0.01365,0.318,0.004995
0.416,-6.5,0.01365,0.3195,0.004875
0.418,-6.5,0.01395,0.324,0.00498
0.42,-6,0.01425,0.3315,0.0051
0.422,-6,0.01455,0.3345,0.0051
0.424,-6,0.0147,0.339,0.00528
0.426,-6.5,0.0147,0.339,0.00522
0.428,-6,0.0147,0.342,0.00531
0.43,-6.5,0.01485,0.3435,0.00531
0.432,-6,0.01485,0.345,0.00537
0.434,-6,0.015,0.3495,0.005475
0.436,-6,0.01515,0.3495,0.00537
0.438,-6,0.01515,0.351,0.005415
0.44,-6,0.0156,0.36,0.00552
0.442,-6,0.01575,0.3645,0.00564
0.444,-6.5,0.0159,0.3675,0.005775
0.446,-6,0.01605,0.369,0.00567
0.448,-6,0.01605,0.372,0.005715
0.45,-6,0.01605,0.3735,0.005775
0.452,-6,0.01635,0.375,0.005805
0.454,-6,0.01635,0.3765,0.00594
0.456,-6.5,0.0165,0.384,0.00588
0.458,-6,0.01665,0.384,0.00591
0.46,-6,0.0168,0.3885,0.00597
0.462,-6,0.0171,0.3945,0.00615
0.464,-6,0.01725,0.3975,0.006255
0.466,-6,0.01725,0.399,0.006135
0.468,-6,0.01755,0.405,0.006285
0.47,-6.5,0.0177,0.405,0.0063
0.472,-6,0.0177,0.4065,0.006285
0.474,-6.5,0.0177,0.408,0.006375
0.476,-6,0.0183,0.42,0.006435
0.478,-6,0.0183,0.423,0.00657
0.48,-6,0.01845,0.4245,0.00657
0.482,-6.5,0.0186,0.426,0.0066
0.484,-6,0.01845,0.4275,0.006705
