Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-238.5,0.0117,0.153,0.002325
0.002,-238.5,0.01155,0.153,0.002295
0.004,-238.5,0.01155,0.153,0.002955
0.006,-238.5,0.0114,0.1515,0.002295
0.008,-238.5,0.01125,0.153,0.00219
0.01,-238.5,0.0111,0.153,0.00228
0.012,-238.5,0.0111,0.153,0.00228
0.014,-238.5,0.0114,0.153,0.002355
0.016,-238.5,0.01155,0.153,0.00231
0.018,-238.5,0.01155,0.153,0.00222
0.02,-238.5,0.0117,0.153,0.00231
0.022,-238.5,0.0117,0.153,0.00234
0.024,-238.5,0.01155,0.153,0.0024
0.026,-238,0.01125,0.153,0.00228
0.028,-238,0.01125,0.153,0.002205
0.03,-238.5,0.0111,0.1515,0.00228
0.032,-238.5,0.0111,0.1515,0.002295
0.034,-238.5,0.01125,0.153,0.0024
0.036,-238.5,0.01155,0.153,0.002295
0.038,-238.5,0.01155,0.153,0.002205
0.04,-238,0.0117,0.153,0.002295
0.042,-238.5,0.0117,0.153,0.00231
0.044,-238,0.0114,0.153,0.0024
0.046,-238.5,0.01125,0.153,0.00228
0.048,-238.5,0.01125,0.1515,0.002205
0.05,-238.5,0.0111,0.1515,0.002295
0.052,-238.5,0.0111,0.1515,0.00228
0.054,-238.5,0.0114,0.153,0.002385
0.056,-238.5,0.0114,0.153,0.002295
0.058,-238.5,0.0117,0.153,0.002235
0.06,-238.5,0.0117,0.153,0.002325
0.062,-238.5,0.0117,0.153,0.00228
0.064,-238,0.0114,0.153,0.002415
0.066,-238.5,0.01125,0.153,0.00231
0.068,-238.5,0.01125,0.1515,0.002205
0.07,-238,0.0111,0.153,0.002265
0.072,-238.5,0.0111,0.1515,0.002265
0.074,-238.5,0.01125,0.153,0.00297
0.076,-238.5,0.0114,0.153,0.00228
0.078,-238.5,0.0117,0.153,0.00222
0.08,-238.5,0.0117,0.153,0.00234
0.082,-238.5,0.0117,0.153,0.002295
0.084,-238,0.01155,0.153,0.002385
0.086,-238,0.0114,0.153,0.00228
0.088,-238.5,0.01125,0.153,0.00219
0.09,-238,0.0111,0.153,0.00228
0.092,-238.5,0.01125,0.1515,0.002265
0.094,-238.5,0.0114,0.153,0.0024
0.096,-238.5,0.01155,0.153,0.002265
0.098,-238,0.0117,0.153,0.00222
0.1,-238.5,0.0117,0.153,0.002295
