Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.01505,1.011,0.498,-0.027
0.2,0.01505,1.011,0.498,-0.027
0.401,0.015,1.011,0.498,-0.027
0.6,0.01505,1.011,0.498,-0.027
0.801,0.015,1.011,0.498,-0.027
1,0.01505,1.011,0.4965,-0.027
1.2,0.015,1.011,0.4965,-0.027
1.4,0.01505,1.011,0.498,-0.027
1.6,0.01505,1.011,0.498,-0.0285
1.8,0.01505,1.011,0.4995,-0.027
2,0.01505,1.011,0.5025,-0.027
2.2,0.01505,1.011,0.5025,-0.027
2.4,0.01505,1.011,0.5055,-0.027
2.601,0.01505,1.011,0.5085,-0.027
2.801,0.01505,1.011,0.51,-0.027
3.001,0.015,1.0125,0.513,-0.027
3.2,0.01505,1.0125,0.5145,-0.027
3.4,0.01505,1.0125,0.5175,-0.027
3.601,0.01505,1.0125,0.5205,-0.027
3.8,0.01505,1.0125,0.5235,-0.027
4.001,0.01505,1.0125,0.5265,-0.027
4.2,0.015,1.0125,0.528,-0.027
4.4,0.01505,1.0125,0.531,-0.027
4.6,0.01505,1.0125,0.534,-0.027
4.8,0.01505,1.0125,0.537,-0.027
5.001,0.01505,1.0125,0.54,-0.027
5.201,0.01505,1.0125,0.5445,-0.027
5.401,0.01505,1.0125,0.546,-0.027
5.6,0.01505,1.0125,0.549,-0.027
5.8,0.01505,1.0125,0.552,-0.027
6.001,0.01505,1.0125,0.5565,-0.027
6.2,0.01505,1.0125,0.558,-0.027
6.401,0.01505,1.0125,0.5625,-0.027
6.6,0.015,1.0125,0.564,-0.027
6.8,0.01505,1.011,0.5685,-0.0255
7,0.01505,1.011,0.57,-0.0255
7.201,0.01505,1.011,0.5745,-0.0255
7.401,0.01505,1.011,0.5775,-0.0255
7.6,0.01505,1.0095,0.5805,-0.0255
7.8,0.01505,1.0095,0.582,-0.0255
8,0.01505,1.0095,0.5865,-0.0255
8.201,0.01505,1.0095,0.5895,-0.0255
8.401,0.01515,1.008,0.594,-0.0255
8.6,0.01505,1.008,0.5955,-0.0255
8.8,0.015,1.0065,0.5985,-0.0255
9,0.015,1.0065,0.6015,-0.0255
9.201,0.01505,1.005,0.606,-0.0255
9.401,0.01505,1.005,0.6075,-0.0255
9.601,0.01505,1.0035,0.612,-0.0255
9.801,0.01505,1.0035,0.6135,-0.024
10.001,0.01505,1.002,0.618,-0.0255
10.2,0.01505,1.0005,0.6195,-0.024
10.4,0.01505,1.0005,0.624,-0.024
10.6,0.01505,0.999,0.6255,-0.024
10.801,0.01505,0.9975,0.63,-0.024
11.001,0.0151,0.9975,0.633,-0.024
11.2,0.015,0.996,0.6345,-0.024
11.401,0.0151,0.9945,0.639,-0.024
11.6,0.01505,0.993,0.642,-0.024
11.8,0.01505,0.9915,0.645,-0.024
12,0.01505,0.99,0.648,-0.024
12.2,0.015,0.9885,0.651,-0.024
12.4,0.01505,0.987,0.654,-0.024
12.6,0.01505,0.9855,0.657,-0.024
12.8,0.01505,0.984,0.66,-0.0225
13,0.01505,0.9825,0.663,-0.0225
13.2,0.01505,0.981,0.666,-0.0225
13.401,0.015,0.9795,0.669,-0.0225
13.6,0.01505,0.9765,0.672,-0.0225
