Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.03315,2.223,0.5235,-0.0585
0,0.0332,1.8405,0.807,-0.0345
0.2,0.0332,1.833,0.81,-0.033
0.4,0.0332,1.824,0.813,-0.033
0.6,0.03315,1.8165,0.816,-0.033
0.801,0.0332,1.809,0.8175,-0.033
1,0.0332,1.8,0.8205,-0.033
1.2,0.0332,1.7925,0.8235,-0.0315
1.401,0.0332,1.7835,0.825,-0.0315
1.6,0.0332,1.776,0.8295,-0.0315
1.801,0.0332,1.767,0.831,-0.0315
2,0.03315,1.7595,0.8355,-0.0315
2.2,0.03315,1.7505,0.837,-0.03
2.4,0.03325,1.743,0.84,-0.03
2.6,0.0331,1.734,0.8445,-0.03
2.8,0.0331,1.7265,0.846,-0.03
3,0.03305,1.7175,0.849,-0.0285
3.2,0.0331,1.71,0.852,-0.0285
3.4,0.0332,1.701,0.8535,-0.0285
3.6,0.0332,1.692,0.8565,-0.0285
3.8,0.0331,1.683,0.861,-0.0285
4,0.0331,1.6755,0.864,-0.0285
4.2,0.0331,1.6665,0.8655,-0.027
4.4,0.0331,1.659,0.8685,-0.027
4.6,0.0331,1.65,0.8715,-0.027
4.8,0.0331,1.641,0.8745,-0.027
5,0.0331,1.632,0.8775,-0.027
5.2,0.0331,1.6245,0.8805,-0.0255
5.4,0.03305,1.6155,0.8835,-0.0255
5.6,0.0331,1.608,0.8865,-0.0255
5.8,0.0331,1.599,0.888,-0.0255
6,0.0331,1.59,0.891,-0.0255
6.199,0.0331,1.5825,0.8955,-0.024
6.4,0.0331,1.5735,0.8985,-0.024
6.601,0.0331,1.566,0.8985,-0.024
6.8,0.0331,1.557,0.9,-0.024
6.999,0.0331,1.548,0.906,-0.024
7.2,0.0331,1.5405,0.9075,-0.024
7.4,0.0331,1.5315,0.9105,-0.0225
7.6,0.0331,1.524,0.9135,-0.0225
7.8,0.0331,1.515,0.9165,-0.0225
8,0.0331,1.506,0.918,-0.0225
8.2,0.0331,1.4985,0.921,-0.0225
8.4,0.0331,1.4895,0.924,-0.021
8.6,0.0331,1.482,0.927,-0.021
8.8,0.0331,1.473,0.93,-0.021
