Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.03315,2.3145,0.087,0.327
0.101,0.03315,2.3145,0.087,0.3255
0.2,0.0332,2.3145,0.087,0.327
0.301,0.03315,2.313,0.087,0.3255
0.401,0.03315,2.313,0.087,0.3255
0.501,0.03315,2.313,0.087,0.3255
0.6,0.03315,2.3145,0.087,0.3255
0.701,0.03315,2.313,0.087,0.324
0.801,0.0332,2.313,0.087,0.3255
0.901,0.03315,2.313,0.087,0.3255
1,0.0332,2.313,0.087,0.327
1.101,0.03315,2.313,0.087,0.324
1.201,0.03315,2.313,0.087,0.327
1.3,0.03315,2.313,0.087,0.327
1.4,0.0332,2.313,0.087,0.327
1.501,0.0332,2.313,0.087,0.327
1.601,0.03315,2.313,0.087,0.3285
1.7,0.03315,2.313,0.087,0.3285
1.801,0.0332,2.3145,0.087,0.3285
1.901,0.0332,2.3145,0.087,0.33
2.001,0.0332,2.3145,0.087,0.33
2.1,0.03315,2.3145,0.087,0.333
2.201,0.0332,2.316,0.087,0.333
2.301,0.0332,2.316,0.087,0.3345
2.4,0.0332,2.3175,0.087,0.336
2.5,0.0332,2.3175,0.087,0.3375
2.601,0.0332,2.319,0.087,0.339
2.701,0.03315,2.319,0.087,0.3375
2.8,0.03315,2.3205,0.087,0.3405
2.9,0.03315,2.322,0.087,0.342
3.001,0.03325,2.322,0.087,0.342
3.101,0.0332,2.3235,0.087,0.3435
3.2,0.03315,2.325,0.087,0.345
3.3,0.03315,2.3265,0.087,0.3465
3.401,0.03315,2.3265,0.087,0.348
3.501,0.03315,2.328,0.087,0.3495
3.6,0.0332,2.3295,0.087,0.351
3.701,0.03325,2.331,0.087,0.351
3.801,0.03315,2.3325,0.087,0.354
3.9,0.03315,2.334,0.087,0.3555
4,0.03315,2.3355,0.087,0.3555
4.101,0.03325,2.337,0.087,0.357
4.201,0.03315,2.3385,0.087,0.3585
4.3,0.03315,2.34,0.087,0.36
4.4,0.03315,2.343,0.087,0.36
4.5,0.03315,2.343,0.087,0.363
4.6,0.03315,2.346,0.087,0.3645
4.701,0.03325,2.3475,0.087,0.3645
4.801,0.0332,2.349,0.087,0.3675
4.9,0.03315,2.3505,0.087,0.3675
5.001,0.03325,2.352,0.087,0.369
5.101,0.0333,2.3535,0.087,0.3705
5.201,0.03315,2.355,0.087,0.372
5.3,0.0332,2.3565,0.087,0.3735
5.401,0.03315,2.358,0.087,0.375
5.5,0.0332,2.361,0.087,0.3765
5.601,0.03325,2.3625,0.087,0.378
5.701,0.03315,2.364,0.087,0.3795
5.8,0.0332,2.3655,0.087,0.381
5.9,0.0332,2.3685,0.087,0.381
6.001,0.0333,2.37,0.087,0.3825
6.101,0.0332,2.3715,0.087,0.384
6.2,0.03315,2.373,0.087,0.3855
6.3,0.03315,2.3745,0.087,0.387
6.401,0.0333,2.3775,0.087,0.3885
6.501,0.0332,2.379,0.087,0.39
6.6,0.0332,2.3805,0.087,0.39
6.701,0.0333,2.3835,0.087,0.3915
6.801,0.0332,2.385,0.087,0.393
6.9,0.0332,2.3865,0.087,0.3945
7.001,0.0332,2.388,0.0885,0.396
7.101,0.0333,2.391,0.0885,0.3975
7.201,0.0332,2.3925,0.087,0.3975
7.3,0.0332,2.394,0.0885,0.4005
7.4,0.03325,2.397,0.0885,0.4005
7.501,0.0333,2.3985,0.0885,0.402
7.601,0.03325,2.4,0.0885,0.4035
7.7,0.03325,2.4015,0.0885,0.405
7.801,0.0333,2.403,0.0885,0.4065
7.901,0.03325,2.406,0.0885,0.408
8.001,0.03325,2.4075,0.0885,0.4095
8.1,0.03325,2.409,0.0885,0.411
8.201,0.0333,2.412,0.0885,0.411
8.301,0.03325,2.4135,0.09,0.4125
8.4,0.03325,2.415,0.09,0.414
8.5,0.03325,2.418,0.09,0.4155
8.601,0.03325,2.4195,0.09,0.417
8.701,0.03325,2.421,0.09,0.4185
8.8,0.03325,2.4225,0.09,0.42
8.9,0.03325,2.4255,0.09,0.4215
9.001,0.03325,2.427,0.09,0.423
9.101,0.03325,2.4285,0.09,0.423
9.2,0.03325,2.4315,0.0915,0.4245
9.301,0.0333,2.433,0.0915,0.426
9.401,0.03325,2.4345,0.0915,0.4275
9.501,0.03325,2.4375,0.093,0.429
9.6,0.03325,2.439,0.093,0.4305
9.7,0.0333,2.442,0.093,0.432
9.801,0.0333,2.4435,0.0945,0.432
9.9,0.03325,2.445,0.0945,0.4335
10,0.03325,2.448,0.096,0.435
10.101,0.03325,2.4495,0.096,0.4365
10.201,0.03325,2.451,0.0975,0.438
10.3,0.0333,2.4525,0.0975,0.4395
10.4,0.03325,2.4555,0.0975,0.4395
10.501,0.03325,2.457,0.0975,0.441
10.601,0.0333,2.4585,0.0975,0.4425
10.7,0.0333,2.46,0.0975,0.444
10.801,0.03325,2.463,0.0975,0.4455
10.901,0.03325,2.4645,0.0975,0.447
11.001,0.0333,2.466,0.0975,0.4485
11.1,0.0333,2.4675,0.0975,0.45
