Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.01675,1.3485,0.072,0.6135
0.1,0.01675,1.347,0.072,0.6135
0.2,0.01685,1.347,0.072,0.612
0.3,0.01675,1.347,0.072,0.6135
0.399,0.0168,1.347,0.072,0.6135
0.5,0.01675,1.347,0.072,0.6135
0.601,0.0168,1.347,0.072,0.612
0.7,0.01675,1.347,0.072,0.612
0.8,0.01675,1.347,0.072,0.612
0.9,0.0168,1.347,0.072,0.612
1,0.01675,1.347,0.072,0.612
1.1,0.0168,1.347,0.072,0.612
1.2,0.01675,1.347,0.072,0.612
1.3,0.01675,1.347,0.072,0.612
1.399,0.01675,1.347,0.072,0.6135
1.499,0.01675,1.347,0.072,0.6135
1.599,0.01675,1.347,0.072,0.6135
1.7,0.01675,1.347,0.072,0.615
1.799,0.01675,1.347,0.072,0.6165
1.9,0.01675,1.347,0.072,0.6165
2.001,0.01675,1.347,0.072,0.6165
2.101,0.0168,1.347,0.072,0.6165
2.2,0.01675,1.347,0.072,0.6195
2.301,0.0168,1.347,0.072,0.6195
2.4,0.0168,1.347,0.072,0.621
2.499,0.01675,1.347,0.072,0.6225
2.6,0.01675,1.347,0.072,0.624
2.699,0.01675,1.347,0.072,0.624
2.799,0.01675,1.347,0.072,0.6255
2.899,0.01675,1.3485,0.072,0.627
3,0.0168,1.3485,0.072,0.6285
3.1,0.01675,1.3485,0.072,0.63
3.2,0.0168,1.3485,0.072,0.63
3.3,0.0168,1.3485,0.072,0.63
3.4,0.01675,1.3485,0.072,0.633
3.5,0.01675,1.3485,0.072,0.6345
3.6,0.01675,1.3485,0.072,0.633
3.7,0.01675,1.3485,0.072,0.6375
3.8,0.01675,1.3485,0.072,0.6375
3.899,0.01675,1.3485,0.072,0.639
4,0.01675,1.35,0.072,0.639
4.1,0.01675,1.35,0.072,0.6405
4.201,0.01675,1.35,0.072,0.642
4.301,0.01675,1.35,0.072,0.642
4.4,0.01675,1.35,0.072,0.645
4.501,0.01675,1.35,0.072,0.645
4.6,0.0168,1.35,0.072,0.6465
4.7,0.01675,1.35,0.072,0.648
4.8,0.01675,1.35,0.072,0.6495
4.899,0.01675,1.35,0.072,0.651
5,0.01675,1.35,0.072,0.6525
5.1,0.01675,1.35,0.072,0.654
5.2,0.01675,1.35,0.072,0.654
5.3,0.0168,1.35,0.0705,0.6555
5.4,0.0168,1.35,0.0705,0.657
5.499,0.01675,1.35,0.072,0.6585
5.6,0.01675,1.35,0.0705,0.66
5.699,0.01675,1.35,0.0705,0.66
5.8,0.01675,1.3515,0.0705,0.663
5.9,0.01675,1.35,0.0705,0.663
6,0.01675,1.35,0.0705,0.663
6.1,0.01675,1.3515,0.0705,0.666
6.2,0.01675,1.35,0.0705,0.6675
6.301,0.01675,1.3515,0.0705,0.6675
6.4,0.01675,1.3515,0.0705,0.669
6.5,0.01675,1.3515,0.0705,0.6705
6.6,0.01675,1.35,0.0705,0.672
6.699,0.01675,1.35,0.0705,0.6735
6.8,0.01675,1.35,0.0705,0.6735
6.9,0.01675,1.35,0.0705,0.6765
6.999,0.01675,1.35,0.0705,0.6765
7.1,0.01675,1.35,0.0705,0.678
7.2,0.01675,1.35,0.0705,0.678
7.3,0.01675,1.35,0.0705,0.6795
7.399,0.01675,1.35,0.069,0.6825
7.5,0.01675,1.35,0.069,0.6825
7.6,0.01675,1.35,0.0705,0.684
7.7,0.01675,1.35,0.069,0.6855
7.799,0.0168,1.35,0.069,0.6855
7.9,0.01675,1.35,0.069,0.687
8,0.01675,1.3485,0.069,0.6885
8.1,0.01675,1.3485,0.069,0.6885
8.2,0.01675,1.3485,0.069,0.6915
8.3,0.01675,1.3485,0.069,0.6915
8.4,0.01675,1.3485,0.069,0.693
8.5,0.01675,1.3485,0.069,0.6945
8.601,0.01675,1.3485,0.069,0.696
8.7,0.0168,1.3485,0.069,0.696
8.799,0.01675,1.347,0.069,0.699
8.9,0.01675,1.347,0.069,0.7005
9.001,0.01675,1.347,0.069,0.7005
9.1,0.01675,1.347,0.069,0.7005
9.2,0.01675,1.347,0.0675,0.702
9.3,0.01675,1.3455,0.0675,0.705
9.4,0.0168,1.3455,0.0675,0.7065
9.5,0.01675,1.3455,0.0675,0.7065
