Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.03315,2.6475,0.123,0.588
0.101,0.03325,2.6475,0.123,0.5895
0.2,0.0333,2.6475,0.123,0.5895
0.3,0.0333,2.6475,0.123,0.588
0.4,0.0333,2.6475,0.123,0.5895
0.501,0.03325,2.6475,0.123,0.588
0.6,0.03325,2.6475,0.123,0.588
0.701,0.03325,2.646,0.123,0.588
0.8,0.0333,2.6475,0.123,0.588
0.9,0.03325,2.6475,0.123,0.588
1.001,0.03325,2.646,0.1215,0.588
1.101,0.03325,2.646,0.1185,0.588
1.2,0.0333,2.6445,0.117,0.588
1.301,0.0332,2.6445,0.117,0.588
1.401,0.03325,2.6445,0.117,0.5865
1.5,0.03325,2.6445,0.117,0.5865
1.6,0.03325,2.6445,0.117,0.5865
1.701,0.0332,2.6445,0.117,0.588
1.8,0.03325,2.6445,0.117,0.588
1.9,0.03325,2.6445,0.117,0.588
2,0.03325,2.6445,0.117,0.588
2.101,0.03315,2.6445,0.117,0.5895
2.201,0.03325,2.6445,0.117,0.5895
2.3,0.03325,2.6445,0.117,0.591
2.4,0.0332,2.6445,0.117,0.591
2.501,0.0332,2.6445,0.117,0.5925
2.6,0.03315,2.6445,0.117,0.594
2.7,0.0332,2.6445,0.117,0.594
2.801,0.03315,2.6445,0.117,0.5955
2.901,0.03305,2.646,0.117,0.597
3,0.0332,2.646,0.117,0.597
3.1,0.0332,2.646,0.117,0.5985
3.201,0.03315,2.646,0.117,0.6
3.3,0.0332,2.646,0.117,0.6015
3.4,0.0332,2.6475,0.117,0.603
3.5,0.0332,2.6475,0.117,0.603
3.601,0.0332,2.6475,0.117,0.6045
3.7,0.0332,2.6475,0.117,0.606
3.8,0.0332,2.649,0.117,0.6075
3.9,0.0332,2.649,0.117,0.609
4.001,0.0331,2.649,0.117,0.6105
4.1,0.0331,2.6505,0.117,0.612
4.2,0.0332,2.6505,0.117,0.612
4.301,0.03305,2.6505,0.117,0.6135
4.401,0.03305,2.652,0.117,0.615
4.5,0.03315,2.652,0.117,0.6165
4.6,0.03315,2.652,0.117,0.6165
4.701,0.03305,2.6535,0.117,0.618
4.801,0.03305,2.6535,0.117,0.6195
4.9,0.03315,2.6535,0.117,0.621
5,0.03315,2.655,0.117,0.6225
5.101,0.03305,2.655,0.117,0.6225
5.201,0.03315,2.655,0.117,0.624
5.3,0.03315,2.655,0.117,0.6255
5.4,0.0331,2.6565,0.117,0.627
5.501,0.033,2.6565,0.117,0.627
5.6,0.0331,2.658,0.117,0.6285
5.7,0.0331,2.658,0.117,0.63
5.8,0.0331,2.658,0.117,0.6315
5.901,0.0331,2.658,0.117,0.633
6,0.03305,2.6595,0.117,0.6345
6.1,0.03305,2.6595,0.117,0.6345
6.201,0.033,2.661,0.117,0.636
6.301,0.033,2.661,0.117,0.636
6.4,0.03305,2.661,0.1185,0.639
6.5,0.033,2.661,0.1185,0.6405
6.6,0.03305,2.6625,0.1185,0.6405
6.7,0.03305,2.6625,0.1185,0.642
6.801,0.03315,2.6625,0.12,0.6435
6.901,0.033,2.664,0.1215,0.645
7,0.033,2.664,0.1215,0.645
7.1,0.033,2.664,0.123,0.6465
7.201,0.03315,2.6655,0.123,0.648
7.3,0.033,2.6655,0.123,0.6495
7.4,0.03295,2.6655,0.123,0.6495
7.5,0.03295,2.6655,0.123,0.651
7.601,0.033,2.6655,0.123,0.6525
7.7,0.03295,2.6655,0.123,0.654
7.8,0.033,2.667,0.123,0.6555
7.9,0.033,2.667,0.123,0.6555
8.001,0.03315,2.667,0.123,0.657
8.099,0.03305,2.667,0.123,0.6585
8.2,0.0331,2.667,0.123,0.66
8.301,0.03315,2.667,0.123,0.66
8.4,0.033,2.667,0.1215,0.663
8.5,0.03315,2.667,0.123,0.663
8.6,0.03315,2.667,0.123,0.6645
8.7,0.03315,2.667,0.1215,0.666
8.8,0.03315,2.667,0.123,0.6675
8.9,0.03315,2.667,0.123,0.666
9.001,0.03315,2.667,0.1215,0.6675
9.101,0.03315,2.667,0.1215,0.669
9.2,0.03315,2.667,0.1215,0.6705
9.3,0.03315,2.667,0.1215,0.672
9.401,0.03315,2.667,0.1215,0.672
9.5,0.03315,2.667,0.1215,0.675
9.6,0.03315,2.667,0.1215,0.675
9.7,0.03315,2.667,0.1215,0.6765
9.801,0.03315,2.667,0.1215,0.6765
9.901,0.0332,2.667,0.1215,0.678
10,0.03315,2.667,0.1215,0.6795
10.1,0.03315,2.6655,0.1215,0.681
10.201,0.03315,2.667,0.1215,0.681
10.3,0.03315,2.6655,0.1215,0.681
10.4,0.03315,2.6655,0.1215,0.684
10.501,0.03315,2.6655,0.1215,0.684
10.601,0.03315,2.6655,0.1215,0.687
10.699,0.03315,2.6655,0.12,0.687
10.8,0.03315,2.664,0.12,0.6885
10.901,0.03315,2.664,0.1215,0.6885
11.001,0.03315,2.664,0.12,0.6915
11.1,0.03315,2.6625,0.12,0.693
11.201,0.03315,2.6625,0.12,0.6945
11.301,0.03315,2.6625,0.12,0.6945
11.4,0.03315,2.661,0.12,0.696
11.5,0.03315,2.661,0.12,0.6975
11.6,0.03315,2.661,0.12,0.6975
11.701,0.03315,2.661,0.12,0.699
11.8,0.03315,2.6595,0.12,0.7005
11.901,0.03315,2.6595,0.12,0.702
12.001,0.03315,2.658,0.12,0.702
12.101,0.03315,2.658,0.12,0.7035
12.2,0.03315,2.6565,0.12,0.705
12.3,0.03315,2.6565,0.12,0.7065
12.401,0.03315,2.6565,0.1185,0.705
12.501,0.03315,2.655,0.1185,0.708
12.6,0.03315,2.655,0.1185,0.7095
12.701,0.03315,2.6535,0.1185,0.7095
12.801,0.03315,2.6535,0.1185,0.711
12.901,0.0332,2.652,0.12,0.7125
13.001,0.03315,2.652,0.1185,0.714
13.1,0.0332,2.6505,0.1185,0.7155
13.201,0.03315,2.649,0.1185,0.7155
13.3,0.0332,2.649,0.1185,0.717
13.4,0.03315,2.6475,0.1185,0.72
13.501,0.0332,2.6475,0.1185,0.72
13.601,0.0332,2.646,0.12,0.72
13.7,0.0332,2.6445,0.1185,0.723
13.8,0.03315,2.6445,0.1185,0.723
13.901,0.0332,2.643,0.1185,0.723
14.001,0.03315,2.6415,0.12,0.726
14.1,0.03315,2.6415,0.1185,0.726
14.2,0.0332,2.64,0.1185,0.7275
14.301,0.03325,2.64,0.12,0.7275
14.4,0.0332,2.6385,0.123,0.729
14.502,0.0333,2.6385,0.1275,0.7305
14.601,0.0333,2.637,0.132,0.732
14.701,0.03325,2.6355,0.132,0.732
14.809,0.03315,2.6355,0.1305,0.738
14.9,0.03315,2.634,0.1305,0.735
15,0.03315,2.6325,0.1305,0.7365
15.101,0.0333,2.631,0.1305,0.7365
15.204,0.033,2.6295,0.1305,0.738
15.301,0.03325,2.628,0.1305,0.7395
15.401,0.0333,2.6265,0.129,0.741
15.501,0.03325,2.625,0.129,0.741
15.6,0.0333,2.6235,0.129,0.7425
15.701,0.03325,2.622,0.129,0.744
15.801,0.03325,2.6205,0.129,0.747
15.9,0.03325,2.619,0.129,0.747
16,0.03325,2.6175,0.129,0.7485
16.1,0.0333,2.616,0.1275,0.7485
16.201,0.03325,2.6145,0.1275,0.75
16.3,0.03325,2.613,0.1275,0.7515
16.4,0.0333,2.6115,0.1275,0.753
16.5,0.03325,2.61,0.1275,0.7545
16.601,0.03325,2.607,0.1275,0.7545
16.7,0.03325,2.6055,0.126,0.756
16.8,0.03325,2.604,0.126,0.7575
16.901,0.0332,2.6025,0.126,0.7575
17.001,0.0333,2.601,0.126,0.759
17.1,0.0333,2.598,0.126,0.7605
17.2,0.03325,2.5965,0.1245,0.762
17.301,0.0332,2.595,0.1245,0.762
17.4,0.0332,2.5935,0.1245,0.7635
17.5,0.03325,2.592,0.1245,0.765
17.6,0.0333,2.5905,0.1245,0.7665
17.701,0.0332,2.5875,0.1245,0.768
17.8,0.0333,2.586,0.123,0.768
17.9,0.0333,2.5845,0.123,0.7695
18,0.03325,2.5815,0.123,0.7695
18.101,0.03325,2.58,0.123,0.771
18.203,0.033,2.577,0.1215,0.7725
18.3,0.03325,2.5755,0.1215,0.774
18.401,0.0332,2.5725,0.1215,0.7755
18.501,0.0332,2.571,0.1215,0.7755
18.6,0.03315,2.568,0.1215,0.777
18.7,0.0332,2.5665,0.1215,0.7785
18.801,0.0332,2.565,0.12,0.78
18.9,0.0332,2.562,0.12,0.78
19,0.03325,2.559,0.12,0.7815
19.101,0.0332,2.5575,0.12,0.783
19.201,0.03315,2.556,0.12,0.7845
19.3,0.0332,2.553,0.1185,0.786
19.4,0.03325,2.55,0.1185,0.786
19.501,0.03315,2.5485,0.1185,0.7875
19.601,0.03315,2.5455,0.1185,0.789
19.7,0.0331,2.544,0.1185,0.7905
19.8,0.03315,2.541,0.117,0.7905
19.901,0.03315,2.538,0.117,0.792
20.001,0.03315,2.5365,0.117,0.7935
20.1,0.0332,2.5335,0.117,0.795
20.2,0.0332,2.5305,0.117,0.7965
20.301,0.03315,2.529,0.117,0.7965
20.4,0.0331,2.526,0.1155,0.798
20.5,0.0332,2.523,0.1155,0.7995
20.6,0.0332,2.52,0.1155,0.801
20.701,0.0331,2.517,0.1155,0.801
20.8,0.0331,2.514,0.114,0.8025
20.9,0.03315,2.5125,0.1155,0.804
21.001,0.0331,2.5095,0.114,0.804
21.101,0.0331,2.5065,0.114,0.8055
21.2,0.0332,2.5035,0.114,0.807
21.3,0.0332,2.5005,0.114,0.8085
21.401,0.0331,2.4975,0.1125,0.8085
21.5,0.03315,2.4945,0.1125,0.81
21.6,0.0332,2.493,0.1125,0.8115
21.7,0.03315,2.49,0.1125,0.813
21.801,0.03305,2.4855,0.1125,0.813
21.9,0.03315,2.484,0.111,0.8145
22.001,0.0332,2.481,0.111,0.816
22.1,0.03315,2.478,0.111,0.816
22.2,0.03315,2.475,0.111,0.819
22.301,0.03315,2.472,0.111,0.819
22.4,0.03315,2.469,0.1095,0.819
22.5,0.03315,2.466,0.1095,0.8205
22.6,0.0331,2.4615,0.1095,0.822
22.701,0.0331,2.46,0.1095,0.8235
22.8,0.0331,2.457,0.1095,0.8235
22.9,0.0331,2.4525,0.108,0.825
23.001,0.033,2.4495,0.108,0.8265
23.101,0.033,2.448,0.108,0.828
23.2,0.0331,2.4435,0.108,0.828
23.3,0.0331,2.4405,0.108,0.8295
23.401,0.033,2.4375,0.1065,0.831
23.5,0.0331,2.4345,0.1065,0.8325
23.6,0.0331,2.43,0.1065,0.8325
23.7,0.0331,2.427,0.1065,0.834
23.8,0.0331,2.424,0.105,0.8355
23.9,0.03305,2.421,0.105,0.837
24,0.03305,2.418,0.105,0.837
24.1,0.03305,2.4135,0.105,0.8385
