Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.03315,2.1555,0.1155,0.2175
0.1,0.03325,2.1555,0.1155,0.2145
0.2,0.0332,2.1555,0.1155,0.2145
0.3,0.0332,2.1555,0.1155,0.2145
0.399,0.0332,2.1555,0.1155,0.2145
0.5,0.0332,2.1555,0.1125,0.2145
0.6,0.0332,2.1525,0.096,0.2145
0.699,0.0332,2.1525,0.0975,0.2145
0.8,0.0332,2.1525,0.0975,0.2145
0.9,0.0332,2.1525,0.0975,0.2145
1,0.0332,2.1525,0.0975,0.2145
1.099,0.0332,2.1525,0.0975,0.216
1.2,0.0331,2.1525,0.0975,0.2145
1.3,0.0332,2.1525,0.096,0.216
1.4,0.0332,2.1525,0.096,0.216
1.5,0.0332,2.1525,0.096,0.2175
1.6,0.0331,2.1525,0.096,0.2175
1.7,0.0331,2.1525,0.0975,0.2175
1.8,0.0332,2.154,0.096,0.219
1.9,0.0332,2.154,0.096,0.222
2,0.0331,2.154,0.096,0.222
2.1,0.0332,2.1555,0.0975,0.2235
2.2,0.0332,2.1555,0.0975,0.2235
2.299,0.0332,2.157,0.099,0.225
2.399,0.03315,2.1585,0.099,0.2265
2.5,0.03315,2.1585,0.099,0.228
2.599,0.03325,2.16,0.099,0.2295
2.7,0.03315,2.16,0.099,0.231
2.799,0.0332,2.1615,0.099,0.2325
2.899,0.03315,2.163,0.1005,0.234
3.001,0.03305,2.1645,0.1005,0.2355
3.1,0.03305,2.166,0.1005,0.237
3.199,0.03315,2.166,0.1005,0.2385
3.3,0.03305,2.1675,0.1005,0.24
3.399,0.03315,2.169,0.1005,0.2415
3.5,0.033,2.1705,0.1005,0.2445
3.6,0.033,2.172,0.1005,0.2445
3.7,0.0331,2.1735,0.102,0.2445
3.799,0.0331,2.175,0.102,0.246
3.9,0.033,2.178,0.1035,0.249
3.999,0.03315,2.1795,0.1035,0.249
4.1,0.0331,2.181,0.1035,0.2505
4.2,0.0331,2.1825,0.1035,0.2535
4.299,0.0331,2.184,0.1035,0.2535
4.4,0.0331,2.187,0.1065,0.255
4.5,0.0331,2.1885,0.1065,0.258
4.599,0.0331,2.19,0.1095,0.258
4.7,0.03305,2.193,0.1095,0.261
4.801,0.0332,2.1945,0.1125,0.2625
4.901,0.0331,2.1975,0.117,0.264
4.999,0.03305,2.199,0.1185,0.264
5.1,0.0331,2.202,0.1185,0.267
5.201,0.03315,2.2035,0.1185,0.2685
5.299,0.03305,2.205,0.1185,0.2685
5.399,0.03305,2.208,0.12,0.27
5.5,0.03315,2.2095,0.12,0.2715
5.6,0.03305,2.211,0.1215,0.273
5.7,0.03315,2.214,0.123,0.2745
5.8,0.0332,2.217,0.1275,0.276
5.9,0.033,2.22,0.129,0.2775
6,0.03305,2.223,0.144,0.279
6.099,0.03305,2.226,0.1455,0.2805
6.201,0.0332,2.2275,0.1455,0.2835
6.299,0.033,2.2305,0.1455,0.2835
6.4,0.03315,2.232,0.147,0.2865
6.5,0.033,2.2335,0.147,0.2865
6.6,0.033,2.2365,0.1455,0.288
6.699,0.033,2.238,0.1455,0.2895
6.801,0.0332,2.241,0.147,0.2925
6.9,0.033,2.2425,0.147,0.2925
7,0.03305,2.2455,0.147,0.294
7.1,0.03315,2.247,0.147,0.2955
7.201,0.0332,2.2485,0.147,0.2985
7.3,0.03305,2.2515,0.147,0.3
7.4,0.03305,2.253,0.147,0.3
7.5,0.0332,2.256,0.147,0.3015
