Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.03305,2.211,0.249,0.1455
0.2,0.03305,2.211,0.2505,0.1455
0.4,0.03305,2.211,0.2505,0.1455
0.6,0.0331,2.2125,0.249,0.1455
0.8,0.03295,2.2125,0.2505,0.1455
1,0.0331,2.2125,0.2505,0.1455
1.2,0.0331,2.2125,0.2505,0.1455
1.4,0.0331,2.2125,0.252,0.1455
1.599,0.03315,2.214,0.2535,0.1455
1.8,0.03315,2.214,0.255,0.1455
2,0.0331,2.2155,0.258,0.1455
2.2,0.03305,2.217,0.2595,0.1455
2.4,0.03315,2.2185,0.2625,0.1455
2.6,0.0331,2.22,0.2655,0.1455
2.8,0.03315,2.223,0.2685,0.1455
3,0.03305,2.226,0.2715,0.147
3.2,0.0331,2.2275,0.2745,0.147
3.4,0.03315,2.2305,0.276,0.147
3.6,0.03315,2.2335,0.279,0.147
3.8,0.03315,2.2365,0.282,0.147
4,0.03315,2.2395,0.285,0.147
4.199,0.03315,2.244,0.288,0.147
4.4,0.0332,2.247,0.291,0.147
4.6,0.0332,2.2515,0.294,0.147
4.8,0.0332,2.2545,0.297,0.147
5,0.03315,2.2575,0.3,0.147
5.2,0.0331,2.262,0.303,0.147
5.4,0.0332,2.265,0.306,0.147
5.6,0.0332,2.2695,0.309,0.147
5.8,0.0332,2.274,0.3105,0.147
6,0.0332,2.2785,0.3135,0.147
6.2,0.0332,2.2815,0.3165,0.147
6.4,0.0332,2.286,0.3195,0.147
6.6,0.0332,2.2905,0.3225,0.147
6.801,0.03315,2.295,0.3255,0.147
7,0.03325,2.2995,0.3285,0.147
7.2,0.03325,2.3025,0.3315,0.147
7.4,0.03325,2.307,0.3345,0.147
7.6,0.03325,2.3115,0.3375,0.147
7.8,0.03315,2.316,0.3405,0.1485
8,0.03325,2.319,0.342,0.147
8.2,0.03325,2.3235,0.345,0.1485
8.399,0.03325,2.328,0.348,0.1485
8.6,0.03325,2.3325,0.351,0.1485
8.8,0.03325,2.337,0.354,0.1485
9,0.03325,2.3415,0.357,0.1485
9.2,0.03325,2.346,0.36,0.1485
9.4,0.03325,2.349,0.363,0.1485
9.6,0.03325,2.3535,0.366,0.1485
9.8,0.03325,2.358,0.369,0.1485
10,0.03325,2.3625,0.3705,0.1485
10.2,0.0332,2.367,0.3735,0.1485
10.399,0.03325,2.3715,0.3765,0.1485
10.6,0.0332,2.3745,0.3795,0.1485
10.8,0.03325,2.379,0.3825,0.1485
11,0.0332,2.3835,0.3855,0.1485
11.2,0.0332,2.388,0.387,0.1485
11.4,0.0332,2.3925,0.39,0.1485
11.602,0.0332,2.397,0.393,0.1485
11.8,0.0332,2.4,0.396,0.1485
12,0.03325,2.4045,0.399,0.1485
12.2,0.03315,2.409,0.402,0.1485
12.399,0.03315,2.4135,0.405,0.1485
12.6,0.03325,2.4165,0.408,0.15
12.8,0.03325,2.421,0.4095,0.15
13,0.0332,2.4255,0.4125,0.15
13.2,0.03315,2.43,0.4155,0.15
13.4,0.03315,2.4345,0.4185,0.15
13.6,0.03315,2.4375,0.42,0.15
13.801,0.03325,2.442,0.4245,0.15
14,0.03315,2.4465,0.426,0.15
14.2,0.03315,2.4495,0.429,0.15
14.4,0.03315,2.454,0.432,0.15
14.6,0.03325,2.457,0.435,0.15
14.8,0.0331,2.4615,0.4365,0.15
15,0.0331,2.466,0.4395,0.15
15.2,0.0331,2.4705,0.441,0.15
15.4,0.03315,2.4735,0.444,0.15
15.6,0.03315,2.478,0.447,0.15
15.8,0.03315,2.481,0.45,0.15
16,0.03315,2.4855,0.4515,0.15
16.2,0.0331,2.49,0.4545,0.15
16.4,0.0331,2.493,0.4575,0.15
16.6,0.03315,2.496,0.4605,0.15
16.8,0.0331,2.5005,0.462,0.15
16.999,0.03315,2.505,0.465,0.15
17.2,0.0331,2.508,0.468,0.15
17.4,0.0331,2.5125,0.471,0.15
17.599,0.03315,2.5155,0.474,0.15
17.8,0.03315,2.5185,0.4755,0.15
18,0.0331,2.523,0.48,0.15
18.2,0.03315,2.526,0.4815,0.15
18.4,0.03315,2.5305,0.483,0.15
18.6,0.03315,2.5335,0.486,0.15
18.8,0.0331,2.538,0.489,0.15
19,0.03315,2.541,0.4905,0.15
19.2,0.03315,2.544,0.4935,0.15
19.4,0.0331,2.547,0.4965,0.15
19.6,0.0331,2.55,0.4995,0.15
19.8,0.0331,2.5545,0.5025,0.15
20,0.03315,2.5575,0.504,0.15
20.2,0.03315,2.5605,0.5085,0.15
20.4,0.03315,2.5635,0.51,0.15
20.6,0.03315,2.5665,0.5115,0.15
20.8,0.03315,2.571,0.5145,0.15
21,0.03315,2.574,0.5175,0.15
21.2,0.03315,2.577,0.519,0.15
21.4,0.0331,2.58,0.522,0.15
21.6,0.0331,2.583,0.525,0.1485
21.8,0.0331,2.586,0.528,0.1485
22,0.03315,2.589,0.5295,0.1485
22.2,0.03315,2.592,0.5325,0.1485
22.401,0.0331,2.595,0.5355,0.1485
22.601,0.03315,2.598,0.5385,0.1485
22.8,0.03315,2.601,0.54,0.1485
23.001,0.0331,2.6025,0.543,0.1485
23.2,0.0331,2.6055,0.5445,0.1485
23.4,0.0331,2.6085,0.546,0.1485
23.6,0.03305,2.61,0.549,0.1485
23.8,0.03305,2.613,0.552,0.1485
24,0.033,2.616,0.555,0.1485
24.2,0.03295,2.619,0.5565,0.1485
24.402,0.03315,2.6205,0.561,0.147
24.6,0.0329,2.6235,0.5625,0.1485
24.8,0.0331,2.625,0.5655,0.1485
25,0.03295,2.628,0.567,0.147
25.2,0.033,2.6295,0.57,0.147
25.4,0.03295,2.6325,0.5715,0.147
25.6,0.03295,2.6355,0.5745,0.147
25.8,0.033,2.637,0.5775,0.147
26,0.033,2.6385,0.579,0.147
26.2,0.033,2.64,0.582,0.147
26.4,0.033,2.6415,0.585,0.147
26.6,0.033,2.6445,0.5865,0.147
26.799,0.03305,2.646,0.5895,0.147
27,0.03295,2.6475,0.5925,0.1455
27.2,0.03305,2.649,0.5955,0.1455
27.399,0.03305,2.6505,0.597,0.1455
27.6,0.0331,2.652,0.6,0.1455
27.8,0.03295,2.6535,0.603,0.1455
28,0.0331,2.655,0.6045,0.1455
28.2,0.0331,2.6565,0.6075,0.1455
28.4,0.03315,2.658,0.6105,0.1455
28.6,0.0331,2.6595,0.612,0.1455
28.8,0.0331,2.661,0.615,0.144
29,0.03315,2.661,0.618,0.144
29.2,0.03315,2.6625,0.6195,0.144
29.4,0.03315,2.664,0.6225,0.144
29.6,0.03305,2.664,0.6255,0.144
29.8,0.03315,2.6655,0.627,0.144
30.002,0.0331,2.6655,0.63,0.144
30.2,0.03315,2.667,0.633,0.144
30.4,0.0331,2.667,0.6345,0.1425
30.6,0.03315,2.667,0.6375,0.1425
30.8,0.03315,2.6685,0.6405,0.1425
31,0.03315,2.6685,0.642,0.1425
31.2,0.0332,2.6685,0.645,0.1425
31.401,0.03315,2.6685,0.648,0.141
31.6,0.03315,2.67,0.6495,0.141
31.8,0.03315,2.67,0.6525,0.141
