Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.01675,1.347,0.072,0.618
0.101,0.01675,1.347,0.072,0.615
0.2,0.01675,1.347,0.072,0.6165
0.3,0.01675,1.347,0.072,0.6165
0.4,0.01675,1.347,0.072,0.615
0.501,0.0168,1.347,0.072,0.615
0.6,0.01675,1.347,0.072,0.615
0.7,0.01675,1.347,0.072,0.615
0.801,0.0168,1.347,0.072,0.6135
0.901,0.01675,1.347,0.072,0.6135
1,0.01675,1.347,0.072,0.6135
1.1,0.01675,1.347,0.072,0.6135
1.201,0.01685,1.347,0.0735,0.612
1.301,0.01675,1.347,0.072,0.6135
1.4,0.01675,1.347,0.072,0.6135
1.5,0.01675,1.347,0.072,0.612
1.601,0.01685,1.347,0.0735,0.612
1.7,0.01675,1.347,0.072,0.612
1.8,0.01675,1.347,0.072,0.612
1.9,0.01675,1.347,0.072,0.612
2.001,0.01685,1.347,0.072,0.6105
2.1,0.01675,1.347,0.072,0.612
2.2,0.0168,1.347,0.072,0.6105
2.301,0.01685,1.347,0.072,0.6105
2.401,0.01685,1.347,0.072,0.6105
2.5,0.0168,1.347,0.0735,0.6105
2.6,0.01685,1.347,0.0735,0.6105
2.701,0.01685,1.347,0.072,0.612
2.801,0.01685,1.347,0.072,0.612
2.9,0.01685,1.347,0.072,0.6135
3,0.01685,1.347,0.072,0.6135
3.101,0.01685,1.347,0.0735,0.6135
3.2,0.01685,1.347,0.072,0.615
3.3,0.01685,1.347,0.0735,0.6165
3.401,0.01685,1.347,0.072,0.6165
3.5,0.01685,1.347,0.072,0.618
3.6,0.01685,1.347,0.072,0.618
3.7,0.01685,1.347,0.072,0.6195
3.801,0.0168,1.347,0.072,0.621
3.9,0.0168,1.347,0.072,0.6225
4,0.01685,1.347,0.072,0.6225
4.1,0.01685,1.347,0.072,0.624
4.201,0.0168,1.347,0.072,0.624
4.301,0.01685,1.347,0.072,0.6255
4.4,0.01685,1.347,0.072,0.627
4.5,0.01685,1.347,0.072,0.6285
4.601,0.0168,1.347,0.072,0.63
4.7,0.0168,1.3485,0.072,0.6315
4.801,0.0168,1.3485,0.072,0.6315
4.901,0.0168,1.3485,0.072,0.633
5.001,0.0168,1.3485,0.072,0.6345
5.1,0.01685,1.3485,0.072,0.636
5.2,0.0168,1.3485,0.072,0.636
5.301,0.01675,1.3485,0.072,0.6375
5.401,0.0168,1.3485,0.072,0.639
5.5,0.0168,1.3485,0.072,0.6405
5.6,0.0168,1.3485,0.072,0.642
5.701,0.01675,1.35,0.072,0.642
5.8,0.0168,1.35,0.072,0.6435
5.9,0.0168,1.35,0.072,0.645
6,0.0168,1.35,0.072,0.6465
6.101,0.01675,1.35,0.072,0.6465
6.201,0.01675,1.35,0.072,0.648
6.3,0.0168,1.35,0.072,0.6495
6.401,0.01675,1.35,0.072,0.651
6.501,0.01675,1.35,0.072,0.6525
6.6,0.0168,1.35,0.072,0.654
6.7,0.0168,1.35,0.072,0.654
6.801,0.0167,1.35,0.072,0.6555
6.901,0.0168,1.35,0.0705,0.657
7,0.0168,1.35,0.0705,0.6585
7.1,0.0168,1.35,0.0705,0.66
7.201,0.0167,1.35,0.0705,0.66
7.301,0.0168,1.35,0.0705,0.6615
7.4,0.0168,1.35,0.0705,0.663
7.5,0.01675,1.35,0.0705,0.6645
7.601,0.01665,1.35,0.0705,0.6645
7.7,0.01675,1.35,0.0705,0.666
7.8,0.0168,1.35,0.0705,0.6675
7.9,0.01675,1.35,0.0705,0.669
8.001,0.01665,1.35,0.0705,0.6705
