Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.0169,1.344,0.0735,0.594
0.1,0.01685,1.344,0.0735,0.594
0.201,0.01675,1.344,0.0735,0.594
0.3,0.0168,1.344,0.0735,0.594
0.4,0.0168,1.344,0.0735,0.594
0.5,0.0168,1.344,0.0735,0.5925
0.601,0.01675,1.344,0.0735,0.5925
0.7,0.0168,1.344,0.0735,0.5925
0.8,0.01685,1.344,0.0735,0.5925
0.901,0.01665,1.344,0.0735,0.5925
1,0.0168,1.344,0.0735,0.5925
1.101,0.0168,1.344,0.0735,0.5925
1.2,0.0168,1.344,0.0735,0.5925
1.301,0.01675,1.344,0.0735,0.5925
1.401,0.0168,1.344,0.0735,0.5925
1.5,0.01685,1.344,0.0735,0.594
1.6,0.0168,1.344,0.0735,0.594
1.7,0.0168,1.344,0.0735,0.594
1.8,0.0168,1.344,0.0735,0.5955
1.9,0.0168,1.344,0.0735,0.5955
2.001,0.0168,1.344,0.0735,0.597
2.1,0.01685,1.344,0.0735,0.597
2.201,0.0168,1.344,0.0735,0.5985
2.301,0.01675,1.344,0.0735,0.6
2.401,0.0168,1.344,0.0735,0.6
2.5,0.01685,1.344,0.0735,0.6015
2.6,0.0168,1.344,0.0735,0.603
2.7,0.0168,1.344,0.0735,0.6045
2.8,0.01685,1.344,0.0735,0.606
2.9,0.0168,1.344,0.0735,0.606
3.001,0.0168,1.344,0.0735,0.6075
3.1,0.01685,1.344,0.0735,0.609
3.201,0.01685,1.3455,0.0735,0.6105
3.3,0.0168,1.3455,0.0735,0.6105
3.401,0.0168,1.3455,0.0735,0.612
3.501,0.01675,1.3455,0.0735,0.6135
3.6,0.01685,1.3455,0.0735,0.615
3.701,0.0168,1.3455,0.0735,0.6165
3.8,0.01685,1.3455,0.0735,0.6165
3.901,0.0168,1.3455,0.0735,0.618
4,0.01685,1.3455,0.0735,0.6195
4.1,0.0168,1.347,0.0735,0.621
4.2,0.01685,1.347,0.0735,0.6225
4.3,0.01685,1.347,0.072,0.624
4.401,0.0168,1.347,0.072,0.624
4.501,0.0168,1.347,0.072,0.6255
4.601,0.01675,1.347,0.072,0.627
4.701,0.0168,1.347,0.072,0.6285
4.8,0.0168,1.347,0.072,0.6285
4.9,0.0168,1.3485,0.072,0.63
5,0.0167,1.3485,0.072,0.6315
5.101,0.0168,1.3485,0.072,0.633
5.2,0.0169,1.3485,0.072,0.6345
5.301,0.01675,1.3485,0.072,0.636
5.401,0.01685,1.3485,0.072,0.636
5.5,0.01685,1.3485,0.072,0.6375
5.601,0.0168,1.35,0.072,0.639
5.7,0.0168,1.35,0.072,0.6405
5.8,0.0168,1.35,0.072,0.642
5.9,0.01685,1.35,0.072,0.6435
6,0.0168,1.35,0.072,0.6435
6.1,0.0168,1.35,0.072,0.645
6.2,0.0168,1.35,0.072,0.6465
6.3,0.01685,1.35,0.072,0.648
6.4,0.0169,1.35,0.072,0.6495
6.5,0.0168,1.35,0.072,0.651
6.601,0.01675,1.35,0.072,0.651
6.701,0.0168,1.35,0.072,0.6525
6.8,0.0168,1.35,0.072,0.654
6.9,0.0168,1.3515,0.0705,0.6555
7,0.0168,1.3515,0.0705,0.6555
7.1,0.0168,1.3515,0.0705,0.6585
7.201,0.01675,1.3515,0.0705,0.6585
7.3,0.0168,1.3515,0.0705,0.66
7.401,0.0168,1.35,0.0705,0.6615
7.5,0.0168,1.3515,0.0705,0.663
7.6,0.0168,1.3515,0.0705,0.6645
7.7,0.0168,1.3515,0.0705,0.666
7.8,0.0169,1.3515,0.0705,0.666
7.9,0.01685,1.3515,0.0705,0.6675
8,0.01685,1.3515,0.0705,0.669
8.1,0.0169,1.3515,0.0705,0.6705
8.2,0.01685,1.3515,0.0705,0.672
8.301,0.0168,1.3515,0.0705,0.672
8.4,0.0168,1.3515,0.0705,0.6735
8.5,0.0168,1.35,0.0705,0.675
8.601,0.0168,1.35,0.0705,0.6765
8.7,0.0168,1.35,0.0705,0.6765
8.801,0.01675,1.35,0.0705,0.678
8.901,0.0168,1.35,0.069,0.6795
9,0.0168,1.35,0.069,0.681
9.1,0.0168,1.35,0.069,0.6825
9.2,0.0168,1.35,0.069,0.684
9.3,0.0168,1.35,0.069,0.684
9.401,0.01675,1.35,0.069,0.6855
9.501,0.0168,1.35,0.069,0.687
9.6,0.0168,1.35,0.069,0.6885
9.7,0.0168,1.3485,0.069,0.69
9.801,0.01675,1.3485,0.069,0.69
9.899,0.01685,1.3485,0.069,0.6915
10,0.0168,1.3485,0.069,0.693
10.1,0.0168,1.3485,0.069,0.6945
10.2,0.0168,1.347,0.069,0.696
10.3,0.0168,1.347,0.069,0.696
10.4,0.0167,1.347,0.0675,0.6975
10.5,0.0168,1.347,0.069,0.699
