Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-105.5,0.00045,0.14,0.002
0.01,-105.5,0.0006,0.145,0.002
0.02,-105.5,0.0003,0.14,0.002
0.03,-106,0.0006,0.14,0.002
0.04,-106,0.00045,0.14,0.002
0.05,-105.5,0.00045,0.14,0.002
0.06,-106,0.00045,0.145,0.002
0.07,-105.5,0.00045,0.14,0.002
0.08,-105.5,0.0003,0.14,0.002
0.09,-106,0.00045,0.14,0.002
0.1,-106,0.0006,0.14,0.002
0.11,-106,0.0006,0.14,0.0025
0.12,-106,0.00045,0.145,0.0025
0.13,-105.5,0.00045,0.145,0.0025
0.14,-105.5,0.00045,0.14,0.0025
0.15,-105.5,0.0006,0.145,0.0025
0.16,-105.5,0.0006,0.14,0.002
0.17,-105.5,0.00045,0.14,0.002
0.18,-105.5,0.00045,0.14,0.002
0.19,-105.5,0.00045,0.14,0.0025
0.2,-106,0.00045,0.14,0.002
0.21,-105.5,0.0006,0.14,0.0025
0.22,-106,0.00045,0.14,0.002
0.23,-105.5,0.0006,0.14,0.0025
0.24,-106,0.0003,0.145,0.002
0.25,-105.5,0.00045,0.14,0.0025
0.26,-105.5,0.00045,0.14,0.002
0.27,-106,0.00045,0.145,0.002
0.28,-105.5,0.00045,0.14,0.002
0.29,-105.5,0.0006,0.14,0.002
0.3,-105.5,0.00045,0.14,0.002
0.31,-106,0.00045,0.14,0.002
0.32,-106,0.0006,0.145,0.002
0.33,-105.5,0.0006,0.14,0.002
0.34,-106,0.0003,0.14,0.0025
0.35,-105.5,0.00045,0.14,0.002
0.36,-106,0.00045,0.14,0.002
0.37,-106,0.0006,0.145,0.002
0.38,-105.5,0.0006,0.165,0.0025
0.39,-106,0.00075,0.18,0.003
0.4,-105.5,0.00075,0.19,0.003
0.41,-105.5,0.0009,0.205,0.003
0.42,-105.5,0.0009,0.215,0.0035
0.43,-105.5,0.00105,0.225,0.0035
0.44,-105.5,0.0012,0.235,0.004
0.45,-105.5,0.00105,0.245,0.004
0.46,-105.5,0.0012,0.25,0.004
0.47,-105.5,0.0012,0.255,0.004
0.48,-106,0.0012,0.265,0.0045
0.49,-106,0.0012,0.275,0.0045
0.5,-106,0.00135,0.28,0.0045
0.51,-106,0.00165,0.29,0.0045
0.52,-106,0.0015,0.3,0.005
0.53,-106,0.00165,0.315,0.005
0.54,-106,0.00165,0.32,0.005
0.55,-105.5,0.00165,0.325,0.0055
0.56,-105.5,0.00165,0.34,0.0055
0.57,-105.5,0.0018,0.355,0.006
0.58,-105.5,0.00195,0.36,0.006
0.59,-105.5,0.00195,0.375,0.006
0.6,-106,0.0021,0.38,0.0065
0.61,-106,0.00225,0.395,0.0065
0.62,-105.5,0.0021,0.405,0.0065
0.63,-105.5,0.00225,0.415,0.007
0.64,-105.5,0.0024,0.43,0.007
0.65,-105.5,0.00255,0.44,0.007
0.66,-105.5,0.00255,0.45,0.0075
0.67,-105.5,0.00255,0.465,0.0075
0.68,-105.5,0.0027,0.475,0.008
0.69,-106,0.0027,0.485,0.008
0.7,-105.5,0.00285,0.495,0.008
0.71,-105.5,0.00285,0.505,0.0085
0.72,-106,0.00315,0.52,0.0085
0.73,-105.5,0.003,0.525,0.0085
0.74,-105.5,0.00315,0.54,0.009
0.75,-106,0.00315,0.545,0.009
0.76,-105.5,0.00315,0.55,0.009
0.77,-105.5,0.00315,0.565,0.0095
0.78,-105.5,0.0033,0.575,0.0095
0.79,-106,0.00345,0.585,0.0095
0.8,-105.5,0.0033,0.6,0.01
0.81,-105.5,0.0036,0.605,0.01
0.82,-106,0.0036,0.625,0.0105
0.83,-105.5,0.00375,0.63,0.0105
0.84,-105.5,0.00375,0.635,0.0105
0.85,-106,0.0039,0.645,0.0105
0.86,-106,0.00375,0.655,0.011
0.87,-105.5,0.0039,0.665,0.011
0.88,-105.5,0.00405,0.68,0.0115
0.89,-105.5,0.0039,0.685,0.011
0.9,-105.5,0.00405,0.7,0.0115
0.91,-105.5,0.00405,0.715,0.012
0.92,-105.5,0.0042,0.725,0.012
0.93,-105.5,0.00435,0.745,0.0125
0.94,-105.5,0.00435,0.75,0.0125
0.95,-105.5,0.00465,0.765,0.0125
0.96,-106,0.00465,0.78,0.013
0.97,-106,0.00465,0.79,0.013
0.98,-106,0.0048,0.8,0.013
0.99,-106,0.0048,0.805,0.0135
1,-106,0.0048,0.82,0.0135
1.01,-105.5,0.00495,0.825,0.014
1.02,-105.5,0.00495,0.84,0.014
1.03,-105.5,0.0051,0.855,0.014
1.04,-105.5,0.00525,0.86,0.0145
1.05,-105.5,0.00525,0.87,0.0145
1.06,-105.5,0.00525,0.88,0.0145
1.07,-105.5,0.00525,0.89,0.015
1.08,-105.5,0.00525,0.9,0.015
1.09,-105.5,0.0054,0.91,0.015
1.1,-106,0.0054,0.915,0.015
1.11,-106,0.00555,0.93,0.0155
1.12,-105.5,0.00555,0.935,0.0155
1.13,-105.5,0.00555,0.945,0.0155
1.14,-105.5,0.0057,0.955,0.016
1.15,-105.5,0.00585,0.965,0.016
1.16,-105.5,0.00585,0.975,0.016
1.17,-105.5,0.00585,0.98,0.016
1.18,-105.5,0.00585,0.995,0.0165
1.19,-106,0.00615,1.005,0.0165
1.2,-105.5,0.006,1.015,0.017
1.21,-105.5,0.006,1.02,0.017
1.22,-106,0.0063,1.025,0.017
1.23,-106,0.0063,1.04,0.017
1.24,-106,0.0063,1.05,0.0175
1.25,-105.5,0.00645,1.065,0.0175
1.26,-105.5,0.00645,1.075,0.0175
1.27,-106,0.0066,1.085,0.018
1.28,-105.5,0.0066,1.1,0.018
1.29,-105.5,0.00675,1.11,0.018
1.3,-105.5,0.00675,1.115,0.0185
1.31,-106,0.0069,1.125,0.0185
1.32,-105.5,0.00675,1.13,0.0185
1.33,-105.5,0.0069,1.145,0.0185
1.34,-105.5,0.00705,1.15,0.019
1.35,-106,0.0072,1.16,0.019
1.36,-105.5,0.0069,1.165,0.019
1.37,-106,0.0072,1.18,0.0195
1.38,-106,0.0072,1.195,0.0195
1.39,-105.5,0.0072,1.2,0.02
1.4,-105.5,0.00735,1.21,0.02
1.41,-106,0.0075,1.22,0.02
1.42,-106,0.0075,1.23,0.0205
1.43,-106,0.0075,1.24,0.0205
1.44,-106,0.00765,1.25,0.021
1.45,-105.5,0.00765,1.265,0.021
1.46,-105.5,0.0078,1.27,0.021
1.47,-105.5,0.00765,1.275,0.021
1.48,-105.5,0.0078,1.285,0.021
1.49,-105.5,0.00795,1.3,0.0215
1.5,-105.5,0.00795,1.31,0.0215
1.51,-105.5,0.00795,1.32,0.0215
1.52,-105.5,0.0081,1.325,0.022
1.53,-105.5,0.00825,1.335,0.022
1.54,-106,0.0081,1.34,0.022
1.55,-106,0.00825,1.35,0.0225
1.56,-106,0.00825,1.36,0.0225
1.57,-105.5,0.00825,1.365,0.0225
1.58,-105.5,0.0084,1.37,0.0225
1.59,-105.5,0.00855,1.38,0.0225
1.6,-105.5,0.0084,1.39,0.0225
1.61,-105.5,0.0087,1.395,0.023
1.62,-106,0.00855,1.41,0.023
1.63,-105.5,0.00885,1.42,0.0235
1.64,-105.5,0.0087,1.43,0.0235
1.65,-105.5,0.009,1.44,0.0235
1.66,-105.5,0.00885,1.45,0.024
1.67,-106,0.009,1.46,0.024
1.68,-105.5,0.009,1.475,0.0245
1.69,-105.5,0.00915,1.485,0.0245
