Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-152.5,-0.00075,0.14,0.0025
0.01,-152.5,-0.00015,0.14,0.002
0.02,-152.5,-0.00075,0.14,0.002
0.03,-152.5,-0.00015,0.14,0.002
0.04,-152.5,-0.0006,0.14,0.0025
0.05,-152.5,-0.00015,0.14,0.002
0.06,-152.5,-0.0006,0.14,0.002
0.07,-152.5,-0.00015,0.145,0.002
0.08,-152.5,-0.00075,0.14,0.002
0.09,-152.5,-0.00015,0.14,0.002
0.1,-152.5,-0.0006,0.14,0.002
0.11,-152,-0.00015,0.14,0.002
0.12,-152.5,-0.0006,0.14,0.002
0.13,-152.5,-0.0003,0.14,0.0025
0.14,-152.5,-0.00075,0.14,0.002
0.15,-152.5,-0.00015,0.14,0.002
0.16,-152,-0.00075,0.145,0.002
0.17,-152.5,-0.00015,0.14,0.002
0.18,-152.5,-0.00075,0.14,0.002
0.19,-152.5,-0.00015,0.14,0.002
0.2,-152.5,-0.0006,0.14,0.002
0.21,-152.5,-0.00015,0.14,0.002
0.22,-152.5,-0.0006,0.14,0.002
0.23,-152.5,-0.00015,0.14,0.0025
0.24,-152.5,-0.0006,0.14,0.002
0.25,-152.5,-0.00015,0.14,0.002
0.26,-152.5,-0.0006,0.14,0.0025
0.27,-152.5,-0.00015,0.145,0.002
0.28,-152.5,-0.0006,0.14,0.002
0.29,-152.5,0,0.14,0.002
0.3,-152.5,-0.00075,0.14,0.002
0.31,-152.5,-0.0003,0.14,0.002
0.32,-152.5,-0.00045,0.14,0.002
0.33,-152.5,-0.00015,0.14,0.0025
0.34,-152.5,-0.0006,0.14,0.0025
0.35,-152.5,-0.00015,0.145,0.002
0.36,-152.5,-0.0006,0.14,0.002
0.37,-152.5,-0.00015,0.14,0.002
0.38,-152.5,-0.00045,0.14,0.002
0.39,-152.5,-0.00015,0.145,0.002
0.4,-152.5,-0.0006,0.14,0.0025
0.41,-152.5,-0.00015,0.14,0.0025
0.42,-152.5,-0.00075,0.14,0.002
0.43,-152.5,-0.00015,0.14,0.002
0.44,-152.5,-0.00075,0.14,0.002
0.45,-152.5,-0.00015,0.14,0.002
0.46,-152.5,-0.0006,0.14,0.002
0.47,-152.5,-0.0003,0.14,0.002
0.48,-152.5,-0.0006,0.14,0.002
0.49,-152.5,-0.00015,0.14,0.002
0.5,-152,-0.0006,0.145,0.002
0.51,-152.5,-0.00015,0.145,0.002
0.52,-152.5,-0.00075,0.14,0.002
0.53,-152.5,-0.00015,0.14,0.002
0.54,-152.5,-0.0006,0.14,0.002
0.55,-152.5,-0.00015,0.14,0.002
0.56,-152.5,-0.00075,0.145,0.0025
0.57,-152.5,-0.00015,0.15,0.0025
0.58,-152.5,-0.0006,0.16,0.0025
0.59,-152.5,-0.00015,0.17,0.0025
0.6,-152,-0.0006,0.18,0.0025
0.61,-152.5,-0.00015,0.185,0.003
0.62,-152.5,-0.0006,0.195,0.003
0.63,-152.5,-0.00015,0.205,0.003
0.64,-152.5,-0.00075,0.205,0.0035
0.65,-152.5,-0.00015,0.215,0.0035
0.66,-152.5,-0.00075,0.225,0.004
0.67,-152.5,0,0.24,0.0035
0.68,-152.5,-0.00075,0.245,0.004
0.69,-152.5,-0.00015,0.255,0.004
0.7,-152.5,-0.00075,0.265,0.0045
0.71,-152.5,0,0.275,0.0045
0.72,-152.5,-0.00075,0.285,0.0045
0.73,-152.5,-0.00015,0.3,0.005
0.74,-152.5,-0.00075,0.31,0.005
0.75,-152.5,-0.00015,0.32,0.005
0.76,-152.5,-0.00075,0.33,0.0055
0.77,-152.5,-0.00015,0.345,0.006
0.78,-152.5,-0.00075,0.36,0.006
0.79,-152.5,-0.00015,0.38,0.006
0.8,-152.5,-0.0009,0.395,0.0065
0.81,-152.5,-0.00015,0.41,0.0065
0.82,-152.5,-0.00075,0.42,0.007
0.83,-152.5,-0.0003,0.435,0.007
0.84,-152.5,-0.00075,0.45,0.0075
0.85,-152.5,-0.0003,0.46,0.0075
0.86,-152.5,-0.0009,0.475,0.008
0.87,-152.5,-0.00015,0.485,0.008
0.88,-152,-0.00075,0.495,0.008
0.89,-152.5,-0.00015,0.505,0.008
0.9,-152,-0.00075,0.515,0.0085
0.91,-152.5,-0.00015,0.525,0.0085
0.92,-152.5,-0.00075,0.535,0.0085
0.93,-152.5,-0.00015,0.54,0.009
0.94,-152,-0.00075,0.55,0.009
0.95,-152.5,-0.00015,0.56,0.0095
0.96,-152.5,-0.0009,0.565,0.009
0.97,-152.5,-0.00015,0.58,0.0095
0.98,-152,-0.00105,0.59,0.01
0.99,-152.5,-0.0003,0.605,0.01
1,-152,-0.0009,0.61,0.01
1.01,-152.5,-0.0003,0.63,0.0105
1.02,-152.5,-0.0009,0.635,0.0105
1.03,-152.5,-0.0003,0.645,0.0105
1.04,-152.5,-0.0009,0.66,0.011
1.05,-152.5,-0.0003,0.67,0.011
1.06,-152.5,-0.0009,0.68,0.011
1.07,-152.5,-0.0003,0.695,0.0115
1.08,-152.5,-0.00105,0.71,0.0085
1.09,-152.5,-0.0003,0.725,0.012
1.1,-152.5,-0.0009,0.74,0.0125
1.11,-152.5,-0.0003,0.75,0.0125
1.12,-152.5,-0.00105,0.765,0.0125
1.13,-152.5,-0.0003,0.775,0.013
1.14,-152,-0.0009,0.785,0.013
1.15,-152.5,-0.0003,0.795,0.013
1.16,-152.5,-0.0012,0.805,0.0135
1.17,-152.5,-0.0003,0.82,0.0135
1.18,-152.5,-0.0009,0.825,0.0135
1.19,-152.5,-0.0003,0.835,0.014
1.2,-152.5,-0.00105,0.845,0.014
1.21,-152.5,-0.0003,0.86,0.0145
1.22,-152.5,-0.0009,0.865,0.0145
1.23,-152.5,-0.0003,0.88,0.0145
1.24,-152.5,-0.00105,0.885,0.0145
1.25,-152.5,-0.00045,0.895,0.015
1.26,-152.5,-0.00105,0.9,0.015
1.27,-152.5,-0.0003,0.915,0.015
1.28,-152.5,-0.00105,0.92,0.0155
1.29,-152.5,-0.0003,0.93,0.0155
1.3,-152.5,-0.00105,0.94,0.0155
1.31,-152.5,-0.00045,0.945,0.016
1.32,-152.5,-0.00075,0.95,0.0155
1.33,-152.5,-0.0003,0.955,0.016
1.34,-152.5,-0.00105,0.96,0.016
1.35,-152.5,-0.00045,0.965,0.016
1.36,-152.5,-0.00105,0.975,0.016
1.37,-152.5,-0.00045,0.98,0.016
1.38,-152.5,-0.0009,0.985,0.0165
1.39,-152.5,-0.00045,0.995,0.0165
1.4,-152.5,-0.00105,1,0.0165
1.41,-152.5,-0.00045,1.01,0.0165
1.42,-152.5,-0.0009,1.02,0.017
1.43,-152.5,-0.00045,1.03,0.017
1.44,-152.5,-0.00105,1.035,0.017
1.45,-152.5,-0.00045,1.045,0.017
1.46,-152.5,-0.00105,1.05,0.017
1.47,-152.5,-0.00045,1.06,0.0175
1.48,-152.5,-0.00105,1.07,0.0175
1.49,-152.5,-0.0003,1.08,0.018
1.5,-152,-0.0009,1.085,0.018
1.51,-152.5,-0.0003,1.095,0.018
1.52,-152,-0.00105,1.095,0.018
1.53,-152.5,-0.00045,1.11,0.018
1.54,-152.5,-0.00105,1.115,0.018
1.55,-152.5,-0.00045,1.125,0.0185
1.56,-152.5,-0.0012,1.13,0.0185
1.57,-152.5,-0.0003,1.145,0.019
1.58,-152.5,-0.00105,1.15,0.019
1.59,-152.5,-0.0003,1.15,0.019
1.6,-152.5,-0.00105,1.16,0.019
1.61,-152.5,-0.00045,1.165,0.019
1.62,-152,-0.00105,1.17,0.0195
1.63,-152.5,-0.00045,1.18,0.0195
1.64,-152.5,-0.0012,1.185,0.0195
1.65,-152.5,-0.00045,1.19,0.0195
1.66,-152.5,-0.00105,1.2,0.02
1.67,-152.5,-0.0003,1.21,0.02
1.68,-152.5,-0.0012,1.215,0.02
1.69,-152.5,-0.0006,1.23,0.02
1.7,-152.5,-0.00105,1.235,0.0205
1.71,-152.5,-0.00045,1.24,0.0205
1.72,-152.5,-0.0009,1.25,0.0205
1.73,-152.5,-0.00045,1.25,0.021
1.74,-152.5,-0.0012,1.26,0.021
1.75,-152.5,-0.00045,1.265,0.021
1.76,-152.5,-0.0012,1.275,0.021
1.77,-152.5,-0.0006,1.285,0.021
1.78,-152.5,-0.0012,1.29,0.0215
1.79,-152.5,-0.0006,1.295,0.021
1.8,-152.5,-0.0012,1.3,0.0215
