Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-6,0.00555,0.2895,0.00483
0.002,-6,0.00585,0.2955,0.00501
0.004,-6,0.00585,0.2955,0.004935
0.006,-6,0.00585,0.297,0.00492
0.008,-6,0.00585,0.3,0.004995
0.01,-6,0.006,0.306,0.0051
0.012,-6,0.00615,0.306,0.005205
0.014,-6,0.006,0.3075,0.005115
0.016,-6,0.006,0.3105,0.00516
0.018,-6,0.00615,0.312,0.00525
0.02,-6,0.00615,0.3135,0.00525
0.022,-6,0.0063,0.315,0.005325
0.024,-6,0.0063,0.3165,0.005265
0.026,-6,0.0063,0.318,0.005265
0.028,-6,0.0063,0.3195,0.00531
0.03,-6,0.0063,0.3225,0.00537
0.032,-6,0.00645,0.3225,0.005475
0.034,-6,0.0063,0.324,0.00537
0.036,-6,0.00645,0.324,0.005385
0.038,-6,0.00645,0.33,0.005475
0.04,-6,0.0066,0.333,0.00552
0.042,-6,0.0066,0.336,0.00567
0.044,-6,0.0066,0.339,0.00567
0.046,-6,0.00675,0.3405,0.00567
0.048,-6,0.00675,0.342,0.0057
0.05,-6,0.00675,0.345,0.00573
0.052,-6,0.00675,0.345,0.00582
0.054,-6,0.0069,0.3465,0.005775
0.056,-6,0.00675,0.3465,0.005745
0.058,-6,0.0069,0.348,0.005805
0.06,-6,0.0069,0.351,0.00585
0.062,-6,0.00705,0.3555,0.006
0.064,-6,0.00705,0.357,0.005925
0.066,-6,0.0069,0.3585,0.005955
0.068,-6,0.0072,0.36,0.006015
0.07,-6,0.0072,0.366,0.006075
0.072,-6,0.0072,0.366,0.006225
0.074,-6,0.00735,0.3675,0.00615
0.076,-6,0.00735,0.372,0.00615
0.078,-6,0.0075,0.375,0.006255
0.08,-6,0.0075,0.3765,0.00624
0.082,-6,0.00765,0.3765,0.006345
0.084,-6,0.0075,0.378,0.006255
0.086,-6,0.0078,0.387,0.00642
0.088,-6,0.00795,0.39,0.00651
0.09,-6,0.0078,0.3915,0.006525
0.092,-6,0.0078,0.393,0.00663
0.094,-6,0.0078,0.396,0.0066
0.096,-6,0.00795,0.396,0.006585
0.098,-6,0.00795,0.399,0.006645
0.1,-6,0.00795,0.4005,0.006675
0.102,-6,0.0081,0.405,0.00684
0.104,-6,0.0081,0.408,0.00681
0.106,-6,0.00825,0.4095,0.00684
0.108,-6,0.00825,0.4125,0.006855
0.11,-6,0.0081,0.4125,0.006855
0.112,-6,0.00825,0.4155,0.007005
0.114,-6,0.0084,0.4185,0.006915
0.116,-6,0.0084,0.42,0.00696
0.118,-6,0.0084,0.4215,0.00702
0.12,-6,0.0084,0.4215,0.007035
0.122,-6,0.00855,0.426,0.007215
0.124,-6,0.00855,0.4275,0.007065
0.126,-6,0.0087,0.4305,0.007155
0.128,-6,0.00855,0.432,0.007185
0.13,-6,0.0087,0.435,0.00726
0.132,-6,0.0087,0.4395,0.007425
0.134,-6,0.009,0.441,0.007365
0.136,-6,0.0087,0.4425,0.007335
0.138,-6,0.00885,0.4455,0.007425
0.14,-6,0.009,0.447,0.00744
0.142,-6,0.009,0.45,0.007605
0.144,-6,0.009,0.453,0.00753
0.146,-6,0.009,0.453,0.00753
0.148,-6,0.00915,0.453,0.00753
0.15,-6,0.00915,0.4545,0.00759
0.152,-6,0.00915,0.456,0.007665
0.154,-6,0.00915,0.459,0.007635
0.156,-6,0.00915,0.4605,0.00771
0.158,-6,0.00915,0.4605,0.007665
0.16,-6,0.0093,0.462,0.007725
0.162,-6,0.0093,0.4635,0.007815
0.164,-6,0.0093,0.465,0.00774
0.166,-6,0.00945,0.468,0.007815
0.168,-6,0.00945,0.4695,0.007845
0.17,-6,0.00945,0.471,0.007875
0.172,-6,0.00945,0.474,0.00795
0.174,-6,0.00945,0.4785,0.007965
0.176,-6,0.0096,0.4785,0.007965
0.178,-6,0.0096,0.4785,0.00798
0.18,-6,0.0096,0.4815,0.00807
0.182,-6,0.0096,0.483,0.00816
0.184,-6,0.00975,0.4845,0.008055
0.186,-6,0.0099,0.4875,0.008115
0.188,-6,0.0099,0.489,0.00813
0.19,-6,0.00975,0.489,0.008145
0.192,-6,0.0099,0.492,0.008325
0.194,-6,0.01005,0.4965,0.008235
0.196,-6,0.01005,0.4965,0.00825
0.198,-6,0.01005,0.498,0.00828
0.2,-6,0.0099,0.498,0.008295
0.202,-6,0.01005,0.4995,0.0084
0.204,-6,0.0102,0.5025,0.00831
0.206,-6,0.01035,0.5055,0.0084
0.208,-6,0.0102,0.507,0.00846
0.21,-6,0.01035,0.5115,0.00852
0.212,-6,0.01035,0.5145,0.008685
0.214,-6,0.01035,0.516,0.008595
0.216,-6,0.01035,0.516,0.00861
0.218,-6,0.01035,0.519,0.008685
0.22,-6,0.0105,0.519,0.008625
0.222,-6,0.0105,0.522,0.00876
0.224,-6,0.0105,0.522,0.008685
0.226,-6,0.0105,0.525,0.008745
0.228,-6,0.0105,0.525,0.00873
0.23,-6,0.01065,0.5295,0.008835
0.232,-6,0.01065,0.531,0.008985
0.234,-6,0.01065,0.5325,0.00882
0.236,-6,0.01065,0.531,0.00882
0.238,-6,0.0108,0.534,0.008925
0.24,-6,0.01065,0.534,0.008925
0.242,-6,0.0108,0.537,0.00903
0.244,-6,0.01095,0.5415,0.009015
0.246,-6,0.01095,0.543,0.00906
0.248,-6,0.01095,0.543,0.009045
0.25,-6,0.01095,0.543,0.00906
0.252,-6,0.01095,0.5445,0.009135
0.254,-6,0.0111,0.5445,0.009075
0.256,-6,0.0111,0.546,0.009105
0.258,-6,0.0111,0.549,0.009135
