Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-106,0.0006,0.14,0.0025
0.01,-105.5,0.00015,0.14,0.002
0.02,-106,0.00075,0.14,0.0025
0.03,-105.5,0.00015,0.14,0.002
0.04,-106,0.00075,0.14,0.002
0.05,-105.5,0.00015,0.14,0.0025
0.06,-106,0.00075,0.145,0.002
0.07,-105.5,0.00015,0.14,0.002
0.08,-106,0.0009,0.14,0.002
0.09,-105.5,0.0003,0.14,0.002
0.1,-105.5,0.0009,0.145,0.0025
0.11,-105.5,0.0003,0.14,0.002
0.12,-106,0.00075,0.14,0.002
0.13,-106,0.00015,0.145,0.002
0.14,-105.5,0.0009,0.145,0.002
0.15,-105.5,0.00015,0.14,0.002
0.16,-106,0.00075,0.145,0.002
0.17,-105.5,0.0003,0.14,0.002
0.18,-105.5,0.0009,0.14,0.002
0.19,-105.5,0.0003,0.14,0.002
0.2,-106,0.00075,0.145,0.0025
0.21,-106,0.0003,0.14,0.002
0.22,-106,0.00075,0.14,0.002
0.23,-106,0.0003,0.14,0.002
0.24,-105.5,0.00075,0.14,0.0025
0.25,-106,0.00015,0.14,0.002
0.26,-106,0.0006,0.14,0.002
0.27,-106,0.0003,0.14,0.002
0.28,-105.5,0.00075,0.14,0.002
0.29,-105.5,0.00015,0.14,0.002
0.3,-105.5,0.00075,0.14,0.002
0.31,-105.5,0.00015,0.14,0.002
0.32,-106,0.00075,0.14,0.002
0.33,-105.5,0.0003,0.14,0.002
0.34,-106,0.0009,0.16,0.0025
0.35,-105.5,0.00045,0.18,0.003
0.36,-106,0.00105,0.2,0.0035
0.37,-105.5,0.0006,0.215,0.0035
0.38,-106,0.00135,0.235,0.0035
0.39,-105.5,0.0009,0.25,0.004
0.4,-105.5,0.0015,0.26,0.004
0.41,-105.5,0.0012,0.275,0.0045
0.42,-105.5,0.00165,0.29,0.0045
0.43,-105.5,0.00135,0.31,0.005
0.44,-106,0.00195,0.32,0.0055
0.45,-105.5,0.0015,0.34,0.0055
0.46,-105.5,0.0021,0.355,0.0055
0.47,-105.5,0.00165,0.37,0.006
0.48,-106,0.00225,0.39,0.006
0.49,-105.5,0.0018,0.41,0.0065
0.5,-105.5,0.00255,0.43,0.007
0.51,-105.5,0.00225,0.445,0.0075
0.52,-105.5,0.0027,0.46,0.0075
0.53,-105.5,0.0024,0.47,0.0075
0.54,-106,0.003,0.485,0.008
0.55,-106,0.00255,0.5,0.008
0.56,-106,0.0033,0.52,0.0085
0.57,-106,0.00285,0.535,0.0085
0.58,-105.5,0.0033,0.55,0.009
0.59,-105.5,0.00285,0.565,0.009
0.6,-106,0.0036,0.585,0.0095
0.61,-105.5,0.0033,0.605,0.01
0.62,-106,0.00375,0.625,0.01
0.63,-105.5,0.00345,0.635,0.0105
0.64,-105.5,0.00405,0.65,0.0105
0.65,-105.5,0.0036,0.66,0.011
0.66,-105.5,0.0042,0.68,0.011
0.67,-105.5,0.00375,0.69,0.0115
0.68,-106,0.00435,0.705,0.0115
0.69,-105.5,0.0039,0.715,0.012
0.7,-106,0.00465,0.73,0.012
0.71,-105.5,0.0042,0.745,0.0125
0.72,-105.5,0.00465,0.76,0.0125
0.73,-105.5,0.00435,0.78,0.013
0.74,-105.5,0.00495,0.795,0.013
0.75,-105.5,0.0045,0.805,0.013
0.76,-105.5,0.00495,0.81,0.0135
0.77,-105.5,0.00465,0.825,0.0135
0.78,-105.5,0.00525,0.835,0.0135
0.79,-105.5,0.0048,0.845,0.014
0.8,-105.5,0.0054,0.86,0.0145
0.81,-105.5,0.00495,0.87,0.0145
0.82,-105.5,0.0054,0.885,0.0145
0.83,-105.5,0.0051,0.9,0.015
0.84,-105.5,0.0057,0.915,0.015
0.85,-106,0.00525,0.93,0.0155
0.86,-105.5,0.00585,0.945,0.0155
0.87,-106,0.0054,0.955,0.0155
0.88,-105.5,0.006,0.965,0.016
0.89,-105.5,0.00555,0.98,0.0165
0.9,-105.5,0.0063,0.995,0.0165
0.91,-105.5,0.00585,1.01,0.0165
0.92,-105.5,0.0063,1.025,0.0165
0.93,-105.5,0.006,1.035,0.017
0.94,-106,0.00645,1.05,0.017
0.95,-105.5,0.00615,1.06,0.0175
0.96,-105.5,0.00675,1.08,0.0175
0.97,-105.5,0.00645,1.09,0.018
0.98,-105.5,0.0069,1.105,0.018
0.99,-105.5,0.0066,1.115,0.0185
1,-105.5,0.0072,1.13,0.0185
1.01,-105.5,0.0066,1.145,0.0185
1.02,-105.5,0.0072,1.155,0.019
1.03,-105.5,0.00675,1.165,0.0195
1.04,-105.5,0.00735,1.18,0.0195
1.05,-105.5,0.00705,1.195,0.0195
1.06,-105.5,0.00735,1.205,0.02
1.07,-105.5,0.0072,1.215,0.02
1.08,-105.5,0.00765,1.23,0.02
1.09,-105.5,0.0072,1.24,0.0205
1.1,-106,0.0078,1.255,0.0205
1.11,-105.5,0.0075,1.275,0.021
1.12,-105.5,0.0081,1.285,0.021
1.13,-105.5,0.0078,1.3,0.0215
1.14,-105.5,0.00825,1.32,0.0215
1.15,-105.5,0.00795,1.33,0.022
1.16,-105.5,0.0084,1.345,0.022
1.17,-105.5,0.0081,1.36,0.022
1.18,-105.5,0.00855,1.365,0.0225
1.19,-105.5,0.0081,1.38,0.023
1.2,-105.5,0.0087,1.39,0.023
1.21,-105.5,0.0084,1.405,0.023
1.22,-105.5,0.00885,1.415,0.023
1.23,-106,0.0087,1.43,0.0235
1.24,-106,0.009,1.445,0.0235
1.25,-105.5,0.0087,1.455,0.024
1.26,-105.5,0.00945,1.465,0.024
1.27,-105.5,0.00885,1.48,0.0245
1.28,-105.5,0.00945,1.49,0.0245
1.29,-105.5,0.00915,1.5,0.025
1.3,-106,0.00945,1.51,0.025
1.31,-105.5,0.00915,1.52,0.025
1.32,-105.5,0.00975,1.53,0.025
1.33,-106,0.0093,1.54,0.0255
1.34,-105.5,0.0099,1.56,0.026
1.35,-105.5,0.00945,1.565,0.0255
1.36,-106,0.01005,1.58,0.026
1.37,-105.5,0.00975,1.59,0.026
1.38,-106,0.01005,1.6,0.0265
1.39,-105.5,0.00975,1.605,0.0265
1.4,-105.5,0.0102,1.62,0.0265
1.41,-106,0.00975,1.625,0.027
1.42,-105.5,0.01035,1.635,0.027
1.43,-105.5,0.01005,1.65,0.027
1.44,-106,0.01035,1.66,0.0275
1.45,-105.5,0.0102,1.675,0.028
1.46,-105.5,0.01065,1.68,0.028
1.47,-105.5,0.0102,1.695,0.028
1.48,-105.5,0.0108,1.71,0.028
1.49,-105.5,0.0105,1.72,0.0285
1.5,-106,0.01095,1.73,0.0285
1.51,-105.5,0.0105,1.745,0.0285
1.52,-105.5,0.01125,1.765,0.029
1.53,-105.5,0.0108,1.77,0.0295
1.54,-105.5,0.0114,1.79,0.0295
1.55,-105.5,0.0108,1.8,0.0295
1.56,-105.5,0.0114,1.81,0.03
1.57,-105.5,0.0111,1.82,0.03
1.58,-105.5,0.01155,1.835,0.0305
1.59,-105.5,0.0114,1.845,0.0305
