Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-231,-0.0021,0.14,0.002
0.01,-231.5,-0.0018,0.14,0.002
0.02,-231,-0.00225,0.145,0.002
0.03,-231,-0.0018,0.14,0.002
0.04,-231,-0.00225,0.14,0.002
0.05,-231.5,-0.0018,0.145,0.002
0.06,-231,-0.00225,0.14,0.002
0.07,-231,-0.0018,0.14,0.0025
0.08,-231,-0.0021,0.14,0.002
0.09,-231,-0.0018,0.145,0.002
0.1,-231,-0.0021,0.14,0.002
0.11,-231,-0.0018,0.145,0.002
0.12,-231,-0.00225,0.14,0.002
0.13,-231,-0.00165,0.145,0.002
0.14,-231,-0.00225,0.14,0.002
0.15,-231,-0.00165,0.14,0.002
0.16,-231,-0.00225,0.14,0.0025
0.17,-231,-0.0018,0.14,0.0025
0.18,-231,-0.0021,0.14,0.002
0.19,-231,-0.0018,0.14,0.002
0.2,-231,-0.0021,0.14,0.002
0.21,-231,-0.00165,0.14,0.002
0.22,-231,-0.00225,0.14,0.002
0.23,-231.5,-0.0018,0.14,0.002
0.24,-231,-0.00225,0.145,0.002
0.25,-231,-0.00165,0.145,0.002
0.26,-231,-0.00225,0.14,0.002
0.27,-231,-0.00165,0.14,0.002
0.28,-231.5,-0.00225,0.14,0.0025
0.29,-231,-0.0018,0.14,0.002
0.3,-231,-0.00225,0.14,0.002
0.31,-231,-0.00165,0.14,0.002
0.32,-231,-0.0021,0.14,0.002
0.33,-231.5,-0.0018,0.14,0.002
0.34,-231,-0.00225,0.14,0.0025
0.35,-231,-0.0018,0.14,0.002
0.36,-231,-0.0021,0.14,0.002
0.37,-231,-0.00165,0.14,0.002
0.38,-231,-0.00225,0.14,0.002
0.39,-231,-0.00165,0.14,0.002
0.4,-231,-0.00225,0.14,0.002
0.41,-231,-0.00165,0.14,0.0025
0.42,-231,-0.0021,0.14,0.002
0.43,-231.5,-0.00165,0.14,0.002
0.44,-231,-0.00225,0.14,0.002
0.45,-231,-0.00165,0.14,0.002
0.46,-231,-0.00225,0.14,0.002
0.47,-231.5,-0.0018,0.14,0.0025
0.48,-231,-0.0021,0.14,0.0025
0.49,-231.5,-0.00165,0.14,0.002
0.5,-231,-0.00225,0.14,0.002
0.51,-231,-0.0018,0.14,0.002
0.52,-231,-0.00225,0.145,0.002
0.53,-231,-0.0018,0.14,0.002
0.54,-231,-0.0021,0.14,0.002
0.55,-231.5,-0.00165,0.14,0.002
0.56,-231,-0.00225,0.145,0.002
0.57,-231,-0.00165,0.14,0.0025
0.58,-231,-0.0024,0.14,0.002
0.59,-231.5,-0.0018,0.14,0.0025
0.6,-231,-0.00225,0.14,0.002
0.61,-231,-0.0018,0.14,0.002
0.62,-231,-0.00225,0.14,0.002
0.63,-231.5,-0.0018,0.145,0.0025
0.64,-231,-0.0021,0.14,0.002
0.65,-231,-0.00165,0.14,0.002
0.66,-231,-0.00225,0.14,0.002
0.67,-231.5,-0.00165,0.14,0.002
0.68,-231,-0.00225,0.14,0.0025
0.69,-231.5,-0.00165,0.14,0.002
0.7,-231,-0.00225,0.14,0.0025
0.71,-231.5,-0.0018,0.14,0.002
0.72,-231,-0.00225,0.14,0.002
0.73,-231.5,-0.00165,0.14,0.002
0.74,-231,-0.00225,0.145,0.002
0.75,-231,-0.00165,0.14,0.002
0.76,-231,-0.0021,0.14,0.0025
0.77,-231.5,-0.00165,0.14,0.002
0.78,-231.5,-0.00225,0.14,0.002
0.79,-231.5,-0.0018,0.14,0.002
0.8,-231,-0.00225,0.14,0.002
0.81,-231,-0.00165,0.14,0.002
0.82,-231.5,-0.00225,0.14,0.0025
0.83,-231.5,-0.0018,0.14,0.002
0.84,-231,-0.00225,0.14,0.002
0.85,-231.5,-0.0018,0.145,0.002
0.86,-231,-0.0021,0.14,0.002
0.87,-231,-0.0018,0.145,0.002
0.88,-231,-0.00225,0.145,0.0025
0.89,-231.5,-0.0018,0.155,0.0025
0.9,-231,-0.0024,0.16,0.0025
0.91,-231,-0.00195,0.165,0.0025
0.92,-231,-0.00255,0.165,0.0025
0.93,-231.5,-0.0021,0.17,0.0025
0.94,-231,-0.00255,0.17,0.0025
0.95,-231.5,-0.00225,0.18,0.003
0.96,-231,-0.0027,0.18,0.003
0.97,-231,-0.00225,0.185,0.003
