Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-197,-0.00135,0.14,0.0025
0.01,-197,-0.0012,0.14,0.0025
0.02,-197,-0.00135,0.14,0.002
0.03,-197,-0.00135,0.14,0.002
0.04,-197.5,-0.00135,0.14,0.0025
0.05,-197.5,-0.00135,0.145,0.0025
0.06,-197,-0.0012,0.145,0.0025
0.07,-197,-0.00135,0.14,0.0025
0.08,-197,-0.00135,0.14,0.002
0.09,-197,-0.0012,0.14,0.0025
0.1,-197,-0.00135,0.14,0.002
0.11,-197,-0.0012,0.14,0.002
0.12,-197,-0.00135,0.145,0.002
0.13,-197,-0.0012,0.14,0.002
0.14,-197,-0.00135,0.14,0.0025
0.15,-197,-0.0012,0.14,0.0025
0.16,-197,-0.0012,0.14,0.002
0.17,-197,-0.0012,0.145,0.0025
0.18,-197,-0.00135,0.14,0.0025
0.19,-197.5,-0.0012,0.14,0.002
0.2,-197,-0.00135,0.14,0.0025
0.21,-197.5,-0.00135,0.145,0.0025
0.22,-197,-0.00135,0.14,0.002
0.23,-197,-0.00135,0.14,0.0025
0.24,-197,-0.00135,0.14,0.002
0.25,-197,-0.00135,0.14,0.0025
0.26,-197,-0.00135,0.14,0.002
0.27,-197,-0.0012,0.14,0.002
0.28,-197,-0.00135,0.14,0.002
0.29,-197,-0.00135,0.14,0.0025
0.3,-197,-0.0012,0.14,0.002
0.31,-197.5,-0.00135,0.145,0.0025
0.32,-197.5,-0.00135,0.14,0.002
0.33,-197,-0.00135,0.145,0.0025
0.34,-197,-0.00135,0.14,0.002
0.35,-197,-0.00135,0.14,0.0025
0.36,-197,-0.0012,0.14,0.0025
0.37,-197.5,-0.0012,0.14,0.002
0.38,-197,-0.0012,0.14,0.002
0.39,-197,-0.00135,0.14,0.0025
0.4,-197,-0.0012,0.14,0.002
0.41,-197,-0.00135,0.14,0.0025
0.42,-197,-0.0012,0.15,0.0025
0.43,-197,-0.0015,0.165,0.003
0.44,-197.5,-0.0015,0.175,0.0025
0.45,-197,-0.0015,0.185,0.003
0.46,-197.5,-0.00165,0.2,0.003
0.47,-197.5,-0.0018,0.205,0.003
0.48,-197,-0.0018,0.21,0.0035
0.49,-197,-0.0018,0.215,0.0035
0.5,-197,-0.00195,0.225,0.0035
0.51,-197,-0.00195,0.235,0.0035
0.52,-197,-0.00195,0.245,0.004
0.53,-197,-0.00195,0.25,0.004
0.54,-197.5,-0.00195,0.26,0.004
